threshold,tRNA_Group,n,positive_n,prevalence_percent,odds_ratio,fisher_p,fisher_p_bh
1,tRNA+,4125,813,19.70909090909091,1.4880528521999101,1.9576089884426654e-24,2.4470112355533316e-24
1,tRNA-,57833,15473,26.75462106409835,1.4880528521999101,1.9576089884426654e-24,2.4470112355533316e-24
2,tRNA+,4125,614,14.884848484848485,1.513085691713028,8.029401700077755e-22,8.029401700077755e-22
2,tRNA-,57833,12101,20.924039908010997,1.513085691713028,8.029401700077755e-22,8.029401700077755e-22
3,tRNA+,4125,286,6.933333333333334,2.9839146798462024,7.660740294645652e-92,1.915185073661413e-91
3,tRNA-,57833,10518,18.186848339183513,2.9839146798462024,7.660740294645652e-92,1.915185073661413e-91
4,tRNA+,4125,188,4.557575757575758,3.9277924357745997,9.738249086570774e-109,4.8691245432853866e-108
4,tRNA-,57833,9134,15.793750972628084,3.9277924357745997,9.738249086570774e-109,4.8691245432853866e-108
5,tRNA+,4125,145,3.515151515151515,4.045576568909419,2.4492850819281054e-91,4.0821418032135094e-91
5,tRNA-,57833,7429,12.8456071792921,4.045576568909419,2.4492850819281054e-91,4.0821418032135094e-91
