COG_category,feature_n,task,run,seed,test_n,test_positive_n,test_positive_prevalence,F1_threshold_from_validation,AUPRC,AUROC,F1,R2,RMSE,Spearman_rho
A,24,classification,1,42,12393,825.0,0.06656983781166788,0.7645468383041533,0.36048026303303204,0.7150905318747642,0.43946188340807174,,,
A,24,regression_tRNA_positive_only,1,42,825,,,,,,,0.35295607819827235,7.074830884158951,0.17655196506813692
A,24,classification,2,43,12393,825.0,0.06656983781166788,0.6957299547088934,0.37320617677476886,0.7272576910180644,0.47117172969621823,,,
A,24,regression_tRNA_positive_only,2,43,825,,,,,,,0.4319322334508222,7.249092431734235,0.26315963274824417
A,24,classification,3,44,12393,825.0,0.06656983781166788,0.7079307588064754,0.3765929193382288,0.7333418730877238,0.45269016697588127,,,
A,24,regression_tRNA_positive_only,3,44,825,,,,,,,0.27092683754977187,7.372361540736701,0.28119274359889224
B,11,classification,1,42,12393,825.0,0.06656983781166788,0.5520668589691833,0.1289483432585481,0.5480244352236054,0.16806722689075632,,,
B,11,regression_tRNA_positive_only,1,42,825,,,,,,,0.055202686619066466,8.549062790834729,0.0794794381867019
B,11,classification,2,43,12393,825.0,0.06656983781166788,0.511548481852561,0.10446570273734757,0.5353996395490173,0.12989493791786055,,,
B,11,regression_tRNA_positive_only,2,43,825,,,,,,,0.1820433378593701,8.698586987255037,0.19295547929598672
B,11,classification,3,44,12393,825.0,0.06656983781166788,0.5603152069959788,0.11515077545715688,0.5427871557902679,0.152153987167736,,,
B,11,regression_tRNA_positive_only,3,44,825,,,,,,,0.09083642718347129,8.232696061843614,0.1536955583386868
C,1664,classification,1,42,12393,825.0,0.06656983781166788,0.7175436410173671,0.7756721761677878,0.9070395867387568,0.761647535449021,,,
C,1664,regression_tRNA_positive_only,1,42,825,,,,,,,0.6986711464512411,4.828025349417772,0.5398577222863696
C,1664,classification,2,43,12393,825.0,0.06656983781166788,0.7820258632916782,0.7790900077494936,0.9063768913198373,0.7593880389429764,,,
C,1664,regression_tRNA_positive_only,2,43,825,,,,,,,0.7410541102965449,4.894271696141237,0.581157269860432
C,1664,classification,3,44,12393,825.0,0.06656983781166788,0.7061951071368021,0.7765216206609624,0.9160989039775348,0.7525150905432596,,,
C,1664,regression_tRNA_positive_only,3,44,825,,,,,,,0.5751341717487218,5.62790775055411,0.5778580245672805
D,468,classification,1,42,12393,825.0,0.06656983781166788,0.6117230689470109,0.795758866502298,0.9368490925856072,0.7615384615384615,,,
D,468,regression_tRNA_positive_only,1,42,825,,,,,,,0.7213648261140695,4.642662907121054,0.6043548780037044
D,468,classification,2,43,12393,825.0,0.06656983781166788,0.6894949909423704,0.7942070785238672,0.9327587074060102,0.7699530516431925,,,
D,468,regression_tRNA_positive_only,2,43,825,,,,,,,0.7272880628591055,5.022681483445901,0.5684609418768157
