COG_category,feature_n,task,run_n,positive_prevalence_mean,AUPRC_mean,AUPRC_SD,AUROC_mean,AUROC_SD,F1_mean,F1_SD,R2_mean,R2_SD,RMSE_mean,RMSE_SD,Spearman_rho_mean,Spearman_rho_SD
A,24,classification,3,0.06656983781166788,0.3700931197153432,0.008495455637797123,0.7252300319935174,0.009293084248936906,0.45444126002672375,0.015927282664001438,,,,,,
A,24,regression_tRNA_positive_only,3,,,,,,,,0.35193838306628883,0.08050752234946582,7.2320949522099625,0.14949183467176516,0.24030144713842447,0.05594010743563488
B,11,classification,3,0.06656983781166788,0.11618827381768419,0.012274250439788784,0.5420704101876302,0.006342843183498272,0.15003871732545096,0.019173854235307656,,,,,,
B,11,regression_tRNA_positive_only,3,,,,,,,,0.10936081722063595,0.06541790635179973,8.493448613311125,0.23787242621077034,0.14204349194045848,0.05762838679826606
C,1664,classification,3,0.06656983781166788,0.7770946015260813,0.001779500908701791,0.9098384606787097,0.00543181866670065,0.7578502216450856,0.004756474431809849,,,,,,
C,1664,regression_tRNA_positive_only,3,,,,,,,,0.671619809498836,0.08620433646350259,5.116734932037706,0.44392610016314,0.5662910055713607,0.022951254950318856
D,468,classification,3,0.06656983781166788,0.7920748132284062,0.0050964872959371275,0.9338229983095129,0.002658818738444021,0.7620296166323121,0.0076896306953893115,,,,,,
D,468,regression_tRNA_positive_only,3,,,,,,,,0.6875303213834348,0.06380152983786141,5.01003173651542,0.361210119163357,0.5984245272582057,0.027482556976528634
E,1626,classification,3,0.06656983781166788,0.7921722277529387,0.01068758231456747,0.9210439631445855,0.002382192118387495,0.7681206254121805,0.011301398460256556,,,,,,
E,1626,regression_tRNA_positive_only,3,,,,,,,,0.6792758376989748,0.02880091440172626,5.1001239144054145,0.32069358054427693,0.5409535322197828,0.005411394524305454
F,722,classification,3,0.06656983781166788,0.7792213579457986,0.01068220692031355,0.9098142385123712,0.0014856718145464568,0.7577065229288541,0.01105191155387494,,,,,,
F,722,regression_tRNA_positive_only,3,,,,,,,,0.7364109999425731,0.04931997316752456,4.603932697264443,0.28331471335406033,0.6151952581150693,0.01472956637035439
G,1439,classification,3,0.06656983781166788,0.7917484059361651,0.004917649327217345,0.9227688188943376,0.0007884951877661293,0.7633293084413478,0.009362198817687633,,,,,,
G,1439,regression_tRNA_positive_only,3,,,,,,,,0.6544872462649806,0.061366184739722204,5.275414778126568,0.3545181300799869,0.5554036961646015,0.023244994957494422
H,1163,classification,3,0.06656983781166788,0.7684437846753401,0.006272946778780776,0.9049581394861478,0.004014816215138563,0.7559859643201863,0.010020730156590238,,,,,,
H,1163,regression_tRNA_positive_only,3,,,,,,,,0.7354447042536701,0.03107896726994837,4.627148671515841,0.27021498146026734,0.5925176854461269,0.029974964204859664
I,750,classification,3,0.06656983781166788,0.7047567260562747,0.009440257568571529,0.8802191171745114,0.008594270950659214,0.6917152475709006,0.0035955045620758627,,,,,,
I,750,regression_tRNA_positive_only,3,,,,,,,,0.6738891072611267,0.04022720298707358,5.132074149841382,0.17298079321440968,0.5020495610919677,0.03891712219245456
J,774,classification,3,0.06656983781166788,0.7703930462766237,0.014418828438580472,0.9130332718610727,0.006708858139719859,0.7459222779164546,0.010921376765793753,,,,,,
J,774,regression_tRNA_positive_only,3,,,,,,,,0.7412938154399971,0.03916679308154364,4.566304973854691,0.1897986961670797,0.5974574774335454,0.03887317344985045
K,1535,classification,3,0.06656983781166788,0.8292780415594052,0.005244498905794329,0.9430521326683152,0.0006219172186668301,0.7946378631808226,0.005788970128851194,,,,,,
K,1535,regression_tRNA_positive_only,3,,,,,,,,0.7262318299137439,0.027318538287023544,4.721556756438854,0.5027307001697083,0.6181763541678896,0.01380282574432695
L,1827,classification,3,0.06656983781166788,0.8296955689178408,0.008333886523253526,0.9512306152814451,0.0025787904045868775,0.7927112530628069,0.009925971800990073,,,,,,
L,1827,regression_tRNA_positive_only,3,,,,,,,,0.7121788190881585,0.04695058523914505,4.815227307179369,0.24546896573163446,0.643153806511004,0.012741037370441764
M,1770,classification,3,0.06656983781166788,0.8180456953717364,0.009331266456920834,0.9334968285901897,0.001561354881726753,0.7877703950981454,0.007312790738739017,,,,,,
M,1770,regression_tRNA_positive_only,3,,,,,,,,0.6935484082256389,0.08547974149205388,4.9555801397184,0.7291726003708021,0.5941405284693786,0.014414706406614991
N,657,classification,3,0.06656983781166788,0.7569796751361954,0.015751739933517656,0.9112917906590106,0.0031298385333363597,0.7332677163530402,0.007483795586380626,,,,,,
N,657,regression_tRNA_positive_only,3,,,,,,,,0.5337087001228256,0.024141196565430414,6.157705302277673,0.4543104118276824,0.5380020377874395,0.029784146620282337
O,831,classification,3,0.06656983781166788,0.8070875233022115,0.00966480306968595,0.9281121554409936,0.003085160498179968,0.7732193249246206,0.006389967031541164,,,,,,
O,831,regression_tRNA_positive_only,3,,,,,,,,0.7026095007663695,0.07116463325657706,4.880239193872291,0.43007010340378937,0.6216935761504496,0.02368306349503484
P,1350,classification,3,0.06656983781166788,0.7807451899037394,0.006045569307764364,0.9127465701272754,0.010351037352903922,0.748078162446772,0.0056698379419174395,,,,,,
P,1350,regression_tRNA_positive_only,3,,,,,,,,0.6870735870211887,0.08144957383943005,4.995922204767554,0.43150281017102227,0.56172650038071,0.032863311663703855
Q,785,classification,3,0.06656983781166788,0.7739850996575295,0.009142240082333806,0.909952568562527,0.0010123656600379953,0.7402452435592511,0.01441922652678747,,,,,,
Q,785,regression_tRNA_positive_only,3,,,,,,,,0.6147667941214255,0.07066728117330658,5.567685300459192,0.35579948555401425,0.5601449139277289,0.010489076758882181
T,1062,classification,3,0.06656983781166788,0.804246749989885,0.014431919649067213,0.9251515675426463,0.008885593737844364,0.7746065241846942,0.010689776862255198,,,,,,
T,1062,regression_tRNA_positive_only,3,,,,,,,,0.6977467451521999,0.052315021232050125,4.936777622228931,0.36393788963066886,0.6199857423183287,0.01838904474635138
U,1055,classification,3,0.06656983781166788,0.7974664503919735,0.004929956068049026,0.9293707650502258,0.003115056478322801,0.7669790957123995,0.01506084098546827,,,,,,
U,1055,regression_tRNA_positive_only,3,,,,,,,,0.6969120807072581,0.057109611666475296,4.946139431672369,0.5047422323690146,0.6257940449297238,0.02032462908766934
V,459,classification,3,0.06656983781166788,0.7767506088671129,0.008386241513831657,0.915660669628512,0.004668541516885398,0.7508191727186602,0.003343753342107138,,,,,,
V,459,regression_tRNA_positive_only,3,,,,,,,,0.6417242656298746,0.041009078143805416,5.378303342693059,0.055820100224355115,0.5442288133898988,0.014457948606752289
W,38,classification,3,0.06656983781166788,0.3715549875532118,0.02550949773714984,0.73403809883063,0.012277430173317923,0.4031510613506762,0.018326177550229698,,,,,,
W,38,regression_tRNA_positive_only,3,,,,,,,,0.21704048967418424,0.03506012449821794,7.982522285587247,0.6345635340411867,0.22307730149653338,0.04424580849701248
Z,43,classification,3,0.06656983781166788,0.3674151031227177,0.010076874230989514,0.7169395371418193,0.010331617769082719,0.421962586697914,0.0197245330001878,,,,,,
Z,43,regression_tRNA_positive_only,3,,,,,,,,0.39804530028940616,0.026792942874784377,6.995450059718888,0.4729365669277015,0.24996155849743373,0.01183474861548464
