task,run,seed,K,rank_source,AUPRC,AUROC,F1,R2,RMSE,Spearman_rho
classification,1,42,5,same-run outer development only,0.5879550901145987,0.8627726958380486,0.3835438937479754,,,
classification,1,42,10,same-run outer development only,0.6677990757706173,0.8889595121337861,0.4585895117540687,,,
classification,1,42,20,same-run outer development only,0.7394500046089088,0.9036681650530198,0.5998080614203455,,,
classification,1,42,50,same-run outer development only,0.8221448185007706,0.9426563875267194,0.7221917808219178,,,
classification,1,42,100,same-run outer development only,0.8545817063873102,0.9619860953937718,0.7696726019529007,,,
classification,1,42,200,same-run outer development only,0.8760885501845037,0.9721227314640178,0.7983243566726511,,,
classification,1,42,500,same-run outer development only,0.8892532965961735,0.974290571692024,0.8278388278388278,,,
classification,1,42,1000,same-run outer development only,0.8944000803076663,0.9754631899911982,0.8354898336414048,,,
regression,1,42,5,same-run outer development only,,,,0.5685264633124937,5.7773178846097935,0.24562494037401708
regression,1,42,10,same-run outer development only,,,,0.672040746339511,5.036851266809595,0.48764356245600476
regression,1,42,20,same-run outer development only,,,,0.6861223650657845,4.927531029989033,0.49542211691061455
regression,1,42,50,same-run outer development only,,,,0.7911288178251854,4.019651894773677,0.6382530578728856
regression,1,42,100,same-run outer development only,,,,0.8233723907344146,3.6963958787322255,0.7099245310542628
regression,1,42,200,same-run outer development only,,,,0.8348553675773305,3.574221092658664,0.7445519581952974
regression,1,42,500,same-run outer development only,,,,0.8366384648283807,3.5548729602747766,0.7413920725923407
regression,1,42,1000,same-run outer development only,,,,0.8437443962245658,3.4766981198989937,0.7519010335862646
classification,2,43,5,same-run outer development only,0.6115451683031341,0.8573838488620644,0.558215451577802,,,
classification,2,43,10,same-run outer development only,0.682962457638444,0.8852009199882642,0.627893175074184,,,
classification,2,43,20,same-run outer development only,0.7703527349574276,0.9132452114506056,0.7055251973284761,,,
classification,2,43,50,same-run outer development only,0.8400135994754502,0.9491089316400521,0.7900912646675359,,,
classification,2,43,100,same-run outer development only,0.8675023856464382,0.9628412758288277,0.8264026402640264,,,
classification,2,43,200,same-run outer development only,0.8833970139474822,0.9716093507691017,0.833116036505867,,,
classification,2,43,500,same-run outer development only,0.9003719002987838,0.9752950668510835,0.8395061728395061,,,
classification,2,43,1000,same-run outer development only,0.9092865021284319,0.9772914309065761,0.8556566970091027,,,
regression,2,43,5,same-run outer development only,,,,0.4600691001915659,7.067285809843933,0.4613070104714249
regression,2,43,10,same-run outer development only,,,,0.7070711124461309,5.205526539248138,0.46847102263950163
regression,2,43,20,same-run outer development only,,,,0.733511562510309,4.965039969981118,0.4353780911019502
regression,2,43,50,same-run outer development only,,,,0.7918212902481863,4.388354667810324,0.6299566344030023
regression,2,43,100,same-run outer development only,,,,0.8143043722382097,4.144616990198932,0.7366820887567609
regression,2,43,200,same-run outer development only,,,,0.8403993223200265,3.8423854524652485,0.7581077282368838
regression,2,43,500,same-run outer development only,,,,0.8249543786192701,4.024011282206204,0.7653952984389258
regression,2,43,1000,same-run outer development only,,,,0.8262628388891697,4.0089433953221025,0.7796179446720783
classification,3,44,5,same-run outer development only,0.5096325227050524,0.8151383649775765,0.3957522123893805,,,
classification,3,44,10,same-run outer development only,0.6464460788582768,0.8558235885829246,0.42266571632216676,,,
classification,3,44,20,same-run outer development only,0.7267249152771961,0.8988326208139485,0.5211618257261411,,,
classification,3,44,50,same-run outer development only,0.8247926702244275,0.9464014627603838,0.7178924259055982,,,
classification,3,44,100,same-run outer development only,0.8447825623404028,0.9570945974265477,0.752146536920435,,,
classification,3,44,200,same-run outer development only,0.8614754014589636,0.9661153024016095,0.7940119760479042,,,
classification,3,44,500,same-run outer development only,0.8718923754393122,0.9708716312502619,0.8125,,,
classification,3,44,1000,same-run outer development only,0.8853571732628365,0.9739944046271847,0.83,,,
regression,3,44,5,same-run outer development only,,,,0.5070046384147977,6.062370651848126,0.324857686049232
regression,3,44,10,same-run outer development only,,,,0.6602670543967857,5.03257089049671,0.49916483134555245
regression,3,44,20,same-run outer development only,,,,0.6439880435215444,5.151733167738778,0.5338268845632204
regression,3,44,50,same-run outer development only,,,,0.7499430224757127,4.317581633864183,0.6523659304602095
regression,3,44,100,same-run outer development only,,,,0.7792330079469539,4.056842423771061,0.7264687149227692
regression,3,44,200,same-run outer development only,,,,0.7667357920433195,4.17008705865773,0.7276692827886754
regression,3,44,500,same-run outer development only,,,,0.775294907696384,4.092866000768577,0.7445488779977604
regression,3,44,1000,same-run outer development only,,,,0.7773793243359233,4.0738385843399,0.7583030641874497
