Product,Product_norm,gene_n,CCI_median
type III effector protein,type iii effector protein,95,3.193548387096774
DUF4116 domain-containing protein,duf4116 domain-containing protein,53,2.6666666666666665
tryptophan-rich sensory protein,tryptophan-rich sensory protein,57,2.4000000000000004
hemagglutinin repeat-containing protein,hemagglutinin repeat-containing protein,63,2.3519384408376083
lipoprotein,lipoprotein,204,2.0
class 1 integron integrase IntI1,class 1 integron integrase inti1,94,2.0
DUF1382 family protein,duf1382 family protein,60,2.0
"phosphonate metabolism protein/1,5-bisphosphokinase (PRPP-forming) PhnN","phosphonate metabolism protein/1,5-bisphosphokinase (prpp-forming) phnn",53,2.0
crAss001_48 related protein,crass001_48 related protein,51,2.0
sensory rhodopsin transducer,sensory rhodopsin transducer,51,2.0
malto-oligosyltrehalose synthase,malto-oligosyltrehalose synthase,81,1.9542763363594704
ShlB/FhaC/HecB family hemolysin secretion/activation protein,shlb/fhac/hecb family hemolysin secretion/activation protein,126,1.884264689767339
cytochrome C oxidase subunit IV family protein,cytochrome c oxidase subunit iv family protein,82,1.875
flagellar basal-body rod protein FlgG,flagellar basal-body rod protein flgg,55,1.867976365067158
"1,2-phenylacetyl-CoA epoxidase subunit PaaD","1,2-phenylacetyl-coa epoxidase subunit paad",68,1.8626373626373622
chaperone NapD,chaperone napd,78,1.8619471577804911
sulfoacetaldehyde acetyltransferase,sulfoacetaldehyde acetyltransferase,65,1.8539422957390896
flagellar motor stator protein MotA,flagellar motor stator protein mota,66,1.8470788821601518
flagellar motor switch protein FliN,flagellar motor switch protein flin,70,1.8452365298519142
heavy metal response regulator transcription factor,heavy metal response regulator transcription factor,75,1.8375
flagellar basal body P-ring formation chaperone FlgA,flagellar basal body p-ring formation chaperone flga,51,1.8355519523931951
flagellar biosynthesis protein FlhA,flagellar biosynthesis protein flha,72,1.8346045300695537
flagellar hook-associated protein FlgK,flagellar hook-associated protein flgk,78,1.8303923388520364
carbohydrate-binding domain-containing protein,carbohydrate-binding domain-containing protein,84,1.8282805480699842
monovalent cation:proton antiporter-2 (CPA2) family protein,monovalent cation:proton antiporter-2 (cpa2) family protein,56,1.820147679184854
flagellar hook protein FlgE,flagellar hook protein flge,60,1.8133752992199037
hydrogenase maturation nickel metallochaperone HypA,hydrogenase maturation nickel metallochaperone hypa,61,1.810826210826211
"1,2-phenylacetyl-CoA epoxidase subunit PaaE","1,2-phenylacetyl-coa epoxidase subunit paae",64,1.808467741935484
K(+)-transporting ATPase subunit F,k(+)-transporting atpase subunit f,63,1.8025974025974028
phosphoenolpyruvate hydrolase family protein,phosphoenolpyruvate hydrolase family protein,53,1.7982024547798594
aldehyde oxidoreductase molybdenum-binding subunit PaoC,aldehyde oxidoreductase molybdenum-binding subunit paoc,51,1.797652810162519
flagellar motor protein MotB,flagellar motor protein motb,66,1.7963220880606794
alkyl hydroperoxide reductase subunit C,alkyl hydroperoxide reductase subunit c,58,1.7962580821955823
3-hydroxybutyrate dehydrogenase,3-hydroxybutyrate dehydrogenase,106,1.7900551331127812
flagellar motor switch protein FliG,flagellar motor switch protein flig,66,1.7890149624932237
multiple monosaccharide ABC transporter permease,multiple monosaccharide abc transporter permease,67,1.7808471597849502
nickel-dependent hydrogenase large subunit,nickel-dependent hydrogenase large subunit,66,1.7711640822191628
transcriptional regulator GcvA,transcriptional regulator gcva,124,1.7710956666347188
flagellar basal-body MS-ring/collar protein FliF,flagellar basal-body ms-ring/collar protein flif,70,1.7687288382115969
flagellar biosynthetic protein FliR,flagellar biosynthetic protein flir,58,1.7672720263293007
RNA polymerase sigma factor RpoH,rna polymerase sigma factor rpoh,56,1.766637744172535
flagellar basal body rod protein FlgC,flagellar basal body rod protein flgc,62,1.7666080043277845
lysylphosphatidylglycerol synthase domain-containing protein,lysylphosphatidylglycerol synthase domain-containing protein,60,1.7652273909288005
2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase,2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase,63,1.7647058823529411
DUF350 domain-containing protein,duf350 domain-containing protein,54,1.7606177172365274
bacteriohemerythrin,bacteriohemerythrin,55,1.7594871794871796
methylmalonyl-CoA mutase,methylmalonyl-coa mutase,79,1.7572657466944188
L-2-amino-thiazoline-4-carboxylic acid hydrolase,l-2-amino-thiazoline-4-carboxylic acid hydrolase,60,1.7563327717126735
AsmA family protein,asma family protein,58,1.7538272681854417
flagellar hook assembly protein FlgD,flagellar hook assembly protein flgd,52,1.7511525371107912
DUF4158 domain-containing protein,duf4158 domain-containing protein,57,1.75
"periplasmic nitrate reductase, NapE protein","periplasmic nitrate reductase, nape protein",57,1.75
cobaltochelatase subunit CobN,cobaltochelatase subunit cobn,52,1.746610782183603
ectoine utilization protein EutA,ectoine utilization protein euta,52,1.744588744588745
flagellar protein export ATPase FliI,flagellar protein export atpase flii,65,1.7442967372319602
GH1 family beta-glucosidase,gh1 family beta-glucosidase,85,1.7385287961104543
putative 2-aminoethylphosphonate ABC transporter permease subunit,putative 2-aminoethylphosphonate abc transporter permease subunit,57,1.736842105263158
alkyl hydroperoxide reductase subunit F,alkyl hydroperoxide reductase subunit f,54,1.7357647524076243
dipeptide/oligopeptide/nickel ABC transporter permease/ATP-binding protein,dipeptide/oligopeptide/nickel abc transporter permease/atp-binding protein,54,1.7309309860015893
2-oxo-tetronate isomerase,2-oxo-tetronate isomerase,88,1.725
TOBE domain-containing protein,tobe domain-containing protein,52,1.7213475027985732
HypC/HybG/HupF family hydrogenase formation chaperone,hypc/hybg/hupf family hydrogenase formation chaperone,56,1.7210942760942762
nitrate reductase cytochrome c-type subunit,nitrate reductase cytochrome c-type subunit,80,1.7142857142857142
DUF4347 domain-containing protein,duf4347 domain-containing protein,75,1.7142857142857142
putative 2-aminoethylphosphonate ABC transporter ATP-binding protein,putative 2-aminoethylphosphonate abc transporter atp-binding protein,57,1.7142857142857142
flagellar basal body L-ring protein FlgH,flagellar basal body l-ring protein flgh,57,1.7106019922762006
exopolysaccharide biosynthesis protein,exopolysaccharide biosynthesis protein,81,1.7083468392931311
flagellin,flagellin,130,1.7017740195778104
filamentous hemagglutinin N-terminal domain-containing protein,filamentous hemagglutinin n-terminal domain-containing protein,70,1.69904293294008
3-hydroxybutyryl-CoA dehydrogenase,3-hydroxybutyryl-coa dehydrogenase,55,1.695757575757576
histone deacetylase family protein,histone deacetylase family protein,66,1.6937939872305197
twin-arginine translocase TatA/TatE family subunit,twin-arginine translocase tata/tate family subunit,61,1.6933954933954931
phosphoenolpyruvate--protein phosphotransferase,phosphoenolpyruvate--protein phosphotransferase,102,1.6876412468734974
DnaJ C-terminal domain-containing protein,dnaj c-terminal domain-containing protein,64,1.6875
sn-glycerol-3-phosphate ABC transporter permease UgpE,sn-glycerol-3-phosphate abc transporter permease ugpe,57,1.6875
flagellar hook-length control protein FliK,flagellar hook-length control protein flik,66,1.6851514589164514
RebB family R body protein,rebb family r body protein,93,1.684853607930531
flagellar type III secretion system pore protein FliP,flagellar type iii secretion system pore protein flip,60,1.6843696952606813
sn-glycerol-3-phosphate ABC transporter substrate-binding protein UgpB,sn-glycerol-3-phosphate abc transporter substrate-binding protein ugpb,56,1.6812257917521076
type VI secretion system Vgr family protein,type vi secretion system vgr family protein,176,1.6806310790167744
phosphoribosyltransferase,phosphoribosyltransferase,107,1.6791202967673555
hybrid sensor histidine kinase/response regulator,hybrid sensor histidine kinase/response regulator,274,1.6763233857324513
DUF2591 domain-containing protein,duf2591 domain-containing protein,105,1.6666666666666667
cupredoxin domain-containing protein,cupredoxin domain-containing protein,65,1.6666666666666667
