analysis,target,condition,module,subcategory,run_n,AUPRC_n,AUPRC_mean,AUPRC_sd,AUROC_n,AUROC_mean,AUROC_sd,R2_n,R2_mean,R2_sd,RMSE_n,RMSE_mean,RMSE_sd,MAE_n,MAE_mean,MAE_sd,positive_rate_test_n,positive_rate_test_mean,positive_rate_test_sd
cde_subcategory,Replication | DNA repair & recombination,all_minus_target_subcategory_adfu,Replication,DNA repair & recombination,3,3,0.9753773703993819,0.0011915452077959812,3,0.9840403671727481,0.0003940400451970138,3,0.8507547906690102,0.019310145897054713,3,0.4573225718272555,0.02958789043638978,3,0.19074558031069944,0.003647966813161638,3,0.3305091583958686,0.0
cde_subcategory,Replication | Machinery / Elongation,all_minus_target_subcategory_adfu,Replication,Machinery / Elongation,3,3,0.9802402101105776,0.0007903752214697262,3,0.9907422917339986,0.0004853181712853233,3,0.8675393835042176,0.008400700135408118,3,0.2758048877200362,0.01331131789326008,3,0.09965838336754616,0.0009914690663419597,3,0.2387638182845154,0.0
cde_subcategory,Replication | Maintenance / Partition,all_minus_target_subcategory_adfu,Replication,Maintenance / Partition,3,3,0.9947801784012417,0.0007949032611083626,3,0.9963630481778284,0.0007187567047761385,3,0.9194143644995622,0.004407329480019507,3,0.3226340621579506,0.011525603192728233,3,0.13650630526940707,0.0019259985092528512,3,0.3877188735576535,0.0
cde_subcategory,Replication | Replication Initiator,all_minus_target_subcategory_adfu,Replication,Replication Initiator,3,3,0.9865494413056165,0.00034986377927167064,3,0.9635153141713607,0.0008095358921388978,3,0.8518263413272226,0.003109976335143566,3,0.5724819124641028,0.006178685283939558,3,0.36169504405577735,0.0031319558241860454,3,0.7354958444283063,0.0
cde_subcategory,Transcription | Core transcription machinery,all_minus_target_subcategory_adfu,Transcription,Core transcription machinery,3,3,0.6328561428099575,0.035048966056230646,3,0.976823020282252,0.015600473897709613,3,0.5883074454294878,0.009671429955166263,3,0.050888088269765236,0.0014282113027163483,3,0.0058872986308734,0.00011071013525761562,3,0.0044379891874445,0.0
cde_subcategory,Transcription | Initiation & promoter recognition,all_minus_target_subcategory_adfu,Transcription,Initiation & promoter recognition,3,3,0.9582958141940114,0.0010886129906203148,3,0.9914585329063033,0.00020361106228247074,3,0.8376032197309197,0.009859267045856827,3,0.2856808019391092,0.0384515575212973,3,0.06418337332516498,0.0017034632976504714,3,0.09876543209876538,1.6996749443881478e-17
cde_subcategory,Transcription | Termination & anti-termination,all_minus_target_subcategory_adfu,Transcription,Termination & anti-termination,3,3,0.9837661979991669,0.002659410833120627,3,0.9967955953365206,0.000640311289221645,3,0.8947758026258598,0.015660985030993873,3,0.10101621900898762,0.004992079631205835,3,0.0174595031496489,0.0003080079070704714,3,0.0680222706366497,0.0
cde_subcategory,Transcription | Transcription regulation,all_minus_target_subcategory_adfu,Transcription,Transcription regulation,3,3,0.9864575467398081,0.0006162983437661262,3,0.981260851910696,0.0008107402020298349,3,0.9735319481970836,0.004775420506300028,3,1.900960592333672,0.2862304828786773,3,0.671970800533178,0.014661536237706978,3,0.5637053175179537,0.0
cde_subcategory,Translation | Regulation & Control,all_minus_target_subcategory_adfu,Translation,Regulation & Control,3,3,0.9164853173610578,0.007456015018436007,3,0.9810537973078902,0.0019744296039741144,3,0.9341115685403474,0.030173261698689634,3,0.21653644048142504,0.01171773704632451,3,0.03895444854439637,0.0020618451842500424,3,0.055273138061809,0.0
cde_subcategory,Translation | Ribosomal RNA,all_minus_target_subcategory_adfu,Translation,Ribosomal RNA,3,3,0.8267569372736453,0.016314085555696065,3,0.9752283411633861,0.0029973756705913425,3,0.8407837777156267,0.033718839220519374,3,0.21887431789882572,0.021845623643516106,3,0.0236979871188296,0.0011960617324335329,3,0.0113773904623577,0.0
cde_subcategory,Translation | Ribosomal proteins,all_minus_target_subcategory_adfu,Translation,Ribosomal proteins,3,3,0.8340616998324953,0.00642598727638072,3,0.9827642309049288,0.002887596232143343,3,0.9684565682020496,0.023726040618377416,3,0.24069523763929979,0.11299022135630563,3,0.022488386540649566,0.003071868636775388,3,0.0131525861373355,0.0
cde_subcategory,Translation | Ribosome assembly & maturation,all_minus_target_subcategory_adfu,Translation,Ribosome assembly & maturation,3,3,0.7330668337386511,0.03223946112427662,3,0.9732471496543676,0.005059477028339815,3,0.8328544504997506,0.08667417126212391,3,0.0703119313169897,0.006780705074305468,3,0.007529421134631467,0.00016048825334984723,3,0.0063745662874203,0.0
cde_subcategory,Translation | aaRS,all_minus_target_subcategory_adfu,Translation,aaRS,3,3,0.8999533057614402,0.006052162789970389,3,0.9830613732378416,0.0030910665145887947,3,0.8952265796067915,0.019501877522776496,3,0.18603149816734785,0.07116293689014173,3,0.026028770481438368,0.00155821342965068,3,0.0334059549745824,0.0
cde_subcategory,Translation | tRNA,all_minus_target_subcategory_adfu,Translation,tRNA,3,3,0.9019021842684918,0.011841530148086766,3,0.977433131452841,0.0015251093039257316,3,0.8689348905252826,0.0349265770108398,3,0.82229886335896,0.08636659855210316,3,0.12445847943166971,0.007334681310083777,3,0.0665698378116678,0.0
