analysis,target,module,subcategory,feature_col,Code,included_in_target,removed_from_predictors,overlap_categories,exclusion_reason
cde_module,Replication,Replication,,1041,ANB,True,True,"[""Replication"",""Replication | DNA repair & recombination""]",target code excluded from predictors
cde_module,Replication,Replication,,1042,ANC,True,True,"[""Replication"",""Replication | DNA repair & recombination""]",target code excluded from predictors
cde_module,Replication,Replication,,1081,AOP,True,True,"[""Replication"",""Replication | DNA repair & recombination""]",target code excluded from predictors
cde_module,Replication,Replication,,1082,AOQ,True,True,"[""Replication"",""Replication | DNA repair & recombination""]",target code excluded from predictors
cde_module,Replication,Replication,,1084,AOS,True,True,"[""Replication"",""Replication | DNA repair & recombination""]",target code excluded from predictors
cde_module,Replication,Replication,,1085,AOT,True,True,"[""Replication"",""Replication | DNA repair & recombination""]",target code excluded from predictors
cde_module,Replication,Replication,,1086,AOU,True,True,"[""Replication"",""Replication | DNA repair & recombination""]",target code excluded from predictors
cde_module,Replication,Replication,,1087,AOV,True,True,"[""Replication"",""Replication | DNA repair & recombination""]",target code excluded from predictors
cde_module,Replication,Replication,,1095,APD,True,True,"[""Replication"",""Replication | DNA repair & recombination""]",target code excluded from predictors
cde_module,Replication,Replication,,1152,ARI,True,True,"[""Replication"",""Replication | Maintenance / Partition""]",target code excluded from predictors
cde_module,Replication,Replication,,1449,BCT,True,True,"[""Replication"",""Replication | DNA repair & recombination""]",target code excluded from predictors
cde_module,Replication,Replication,,2265,CID,True,True,"[""Replication"",""Replication | DNA repair & recombination""]",target code excluded from predictors
cde_module,Replication,Replication,,2276,CIO,True,True,"[""Replication"",""Replication | DNA repair & recombination""]",target code excluded from predictors
cde_module,Replication,Replication,,2286,CIY,True,True,"[""Replication"",""Replication | DNA repair & recombination""]",target code excluded from predictors
cde_module,Replication,Replication,,2287,CIZ,True,True,"[""Replication"",""Replication | DNA repair & recombination""]",target code excluded from predictors
cde_module,Replication,Replication,,2288,CJA,True,True,"[""Replication"",""Replication | DNA repair & recombination""]",target code excluded from predictors
cde_module,Replication,Replication,,2289,CJB,True,True,"[""Replication"",""Replication | DNA repair & recombination""]",target code excluded from predictors
