run,seed,model,candidate_id,params,inner_train_n,validation_n,validation_AUPRC,validation_F1_threshold
1,42,LightGBM,1,"{""colsample_bytree"": 0.8587031202188391, ""learning_rate"": 0.013557053217994218, ""max_depth"": 8, ""min_child_samples"": 5, ""n_estimators"": 1200, ""num_leaves"": 95, ""reg_alpha"": 0.12083983614844367, ""reg_lambda"": 0.0242555907512275, ""subsample"": 0.9257965732155543, ""subsample_freq"": 1}",39654,9914,0.8874107998447527,0.7233651648612023
1,42,LightGBM,2,"{""colsample_bytree"": 0.7152492390733483, ""learning_rate"": 0.05897138256396916, ""max_depth"": 8, ""min_child_samples"": 10, ""n_estimators"": 900, ""num_leaves"": 127, ""reg_alpha"": 0.00017694028778571163, ""reg_lambda"": 0.2748167516254401, ""subsample"": 0.8077726025530703, ""subsample_freq"": 1}",39654,9914,0.912936338412648,0.5405923141533069
1,42,LightGBM,3,"{""colsample_bytree"": 0.942699630223226, ""learning_rate"": 0.05894096195820977, ""max_depth"": 12, ""min_child_samples"": 5, ""n_estimators"": 600, ""num_leaves"": 63, ""reg_alpha"": 0.0005190079403868432, ""reg_lambda"": 0.40495807720110055, ""subsample"": 0.906598561742577, ""subsample_freq"": 1}",39654,9914,0.909332382511205,0.5703193557384816
1,42,LightGBM,4,"{""colsample_bytree"": 0.817784266366901, ""learning_rate"": 0.02691657255969584, ""max_depth"": -1, ""min_child_samples"": 40, ""n_estimators"": 600, ""num_leaves"": 63, ""reg_alpha"": 0.00015582867465117035, ""reg_lambda"": 0.0005016868394283135, ""subsample"": 0.768505529169566, ""subsample_freq"": 1}",39654,9914,0.9118720587328298,0.6259774290941725
1,42,LightGBM,5,"{""colsample_bytree"": 0.737503306842594, ""learning_rate"": 0.011013026930108243, ""max_depth"": -1, ""min_child_samples"": 40, ""n_estimators"": 600, ""num_leaves"": 63, ""reg_alpha"": 0.00016552536852552314, ""reg_lambda"": 0.909247178914323, ""subsample"": 0.9822258863240301, ""subsample_freq"": 1}",39654,9914,0.8903879781683564,0.782474475482888
1,42,LightGBM,6,"{""colsample_bytree"": 0.8797176681533634, ""learning_rate"": 0.0371274744312131, ""max_depth"": 8, ""min_child_samples"": 40, ""n_estimators"": 600, ""num_leaves"": 127, ""reg_alpha"": 0.00847337902968388, ""reg_lambda"": 2.3108455132318637, ""subsample"": 0.7645360812888589, ""subsample_freq"": 1}",39654,9914,0.8823325864910502,0.8050960345209116
1,42,LightGBM,7,"{""colsample_bytree"": 0.7035789961193195, ""learning_rate"": 0.026767218530045798, ""max_depth"": 12, ""min_child_samples"": 10, ""n_estimators"": 600, ""num_leaves"": 63, ""reg_alpha"": 0.02472521677235601, ""reg_lambda"": 0.0012342185818885677, ""subsample"": 0.860862831248194, ""subsample_freq"": 1}",39654,9914,0.9032049776725128,0.6720657776847923
1,42,LightGBM,8,"{""colsample_bytree"": 0.7083701305665604, ""learning_rate"": 0.012753636764107788, ""max_depth"": 8, ""min_child_samples"": 10, ""n_estimators"": 600, ""num_leaves"": 127, ""reg_alpha"": 0.005451936838023535, ""reg_lambda"": 0.0003378763100199848, ""subsample"": 0.7581401060678489, ""subsample_freq"": 1}",39654,9914,0.8669941768189181,0.7315196859958208
1,42,LightGBM,9,"{""colsample_bytree"": 0.8577099457480797, ""learning_rate"": 0.020451809082665074, ""max_depth"": 12, ""min_child_samples"": 5, ""n_estimators"": 300, ""num_leaves"": 127, ""reg_alpha"": 0.0004124111416532448, ""reg_lambda"": 0.5451165755348144, ""subsample"": 0.7411043468517022, ""subsample_freq"": 1}",39654,9914,0.8767951689279639,0.6576571862859574
1,42,LightGBM,10,"{""colsample_bytree"": 0.8822618739101813, ""learning_rate"": 0.06023980362380333, ""max_depth"": 12, ""min_child_samples"": 10, ""n_estimators"": 900, ""num_leaves"": 127, ""reg_alpha"": 0.016998246969049453, ""reg_lambda"": 3.456529441285272, ""subsample"": 0.9385441888296261, ""subsample_freq"": 1}",39654,9914,0.9122228701231896,0.5954269193830397
1,42,LightGBM,11,"{""colsample_bytree"": 0.6114069353808234, ""learning_rate"": 0.013533445386540275, ""max_depth"": 12, ""min_child_samples"": 40, ""n_estimators"": 300, ""num_leaves"": 127, ""reg_alpha"": 0.0022065426871413934, ""reg_lambda"": 0.0012690692563687195, ""subsample"": 0.8486695804457831, ""subsample_freq"": 1}",39654,9914,0.8628740320263346,0.7341156307159352
1,42,LightGBM,12,"{""colsample_bytree"": 0.7992304553048805, ""learning_rate"": 0.01591823939571412, ""max_depth"": 12, ""min_child_samples"": 5, ""n_estimators"": 1200, ""num_leaves"": 63, ""reg_alpha"": 0.0003476151887686126, ""reg_lambda"": 0.006358683930917444, ""subsample"": 0.9489707348295398, ""subsample_freq"": 1}",39654,9914,0.9053262375897682,0.628151964635421
1,42,LightGBM,13,"{""colsample_bytree"": 0.8371472565202405, ""learning_rate"": 0.03286781218639969, ""max_depth"": 12, ""min_child_samples"": 5, ""n_estimators"": 900, ""num_leaves"": 63, ""reg_alpha"": 0.8283112291379608, ""reg_lambda"": 0.031063355637000464, ""subsample"": 0.9365869726570042, ""subsample_freq"": 1}",39654,9914,0.9103435331916812,0.5930619404413059
1,42,LightGBM,14,"{""colsample_bytree"": 0.9460287261525017, ""learning_rate"": 0.025148533637215434, ""max_depth"": 8, ""min_child_samples"": 10, ""n_estimators"": 900, ""num_leaves"": 95, ""reg_alpha"": 0.03400617805430383, ""reg_lambda"": 0.05410505595935573, ""subsample"": 0.8845484391024464, ""subsample_freq"": 1}",39654,9914,0.8953738955265256,0.6660372377188903
1,42,LightGBM,15,"{""colsample_bytree"": 0.9327183581479849, ""learning_rate"": 0.04943800187511826, ""max_depth"": 12, ""min_child_samples"": 40, ""n_estimators"": 1200, ""num_leaves"": 95, ""reg_alpha"": 0.0020873913095414477, ""reg_lambda"": 1.2074921643291434, ""subsample"": 0.9858333777013784, ""subsample_freq"": 1}",39654,9914,0.906831372365304,0.5284908249533018
1,42,LightGBM,16,"{""colsample_bytree"": 0.688514450402168, ""learning_rate"": 0.08774133589816337, ""max_depth"": 12, ""min_child_samples"": 20, ""n_estimators"": 600, ""num_leaves"": 31, ""reg_alpha"": 0.016177678482361103, ""reg_lambda"": 0.0004083465217014216, ""subsample"": 0.7826117529551425, ""subsample_freq"": 1}",39654,9914,0.9131473085678444,0.5318473326113586
1,42,LightGBM,17,"{""colsample_bytree"": 0.8265575731132729, ""learning_rate"": 0.02665737272808211, ""max_depth"": 16, ""min_child_samples"": 40, ""n_estimators"": 600, ""num_leaves"": 31, ""reg_alpha"": 0.21952644950547556, ""reg_lambda"": 0.7310144596665573, ""subsample"": 0.9585686041501768, ""subsample_freq"": 1}",39654,9914,0.8890240228191068,0.7435976256992088
1,42,LightGBM,18,"{""colsample_bytree"": 0.7180453705082909, ""learning_rate"": 0.08861685127236273, ""max_depth"": 16, ""min_child_samples"": 20, ""n_estimators"": 900, ""num_leaves"": 31, ""reg_alpha"": 0.01185929661414399, ""reg_lambda"": 0.14695700010867688, ""subsample"": 0.9442953573119227, ""subsample_freq"": 1}",39654,9914,0.9118919828913395,0.5922824209409328
1,42,LightGBM,19,"{""colsample_bytree"": 0.6449555736682886, ""learning_rate"": 0.05591581298080373, ""max_depth"": 16, ""min_child_samples"": 10, ""n_estimators"": 900, ""num_leaves"": 31, ""reg_alpha"": 0.0005980671066344246, ""reg_lambda"": 4.245007303114836, ""subsample"": 0.7015185372116542, ""subsample_freq"": 1}",39654,9914,0.9090117712680822,0.6665230169683524
1,42,LightGBM,20,"{""colsample_bytree"": 0.7831471931010854, ""learning_rate"": 0.0989520318640336, ""max_depth"": 16, ""min_child_samples"": 80, ""n_estimators"": 300, ""num_leaves"": 95, ""reg_alpha"": 0.07664658027598717, ""reg_lambda"": 0.0002827505935064655, ""subsample"": 0.7797491674206347, ""subsample_freq"": 1}",39654,9914,0.8954592670262481,0.5555616172620484
1,42,LightGBM,21,"{""colsample_bytree"": 0.8142912643545555, ""learning_rate"": 0.07096204447467079, ""max_depth"": 8, ""min_child_samples"": 10, ""n_estimators"": 600, ""num_leaves"": 95, ""reg_alpha"": 0.5152723911086199, ""reg_lambda"": 0.008316162185708898, ""subsample"": 0.7594342684006561, ""subsample_freq"": 1}",39654,9914,0.9060338394156752,0.6365262998031198
