model,task,run,seed,train_n,test_n,F1_threshold_from_validation,AUPRC,AUROC,F1,R2,RMSE,Spearman_rho
1-NN,classification,1,42,49568,12393,1.0,0.6197139814331337,0.8952098264805732,0.7785547785547785,,,
1-NN,regression_tRNA_positive_only,1,42,3300,825,,,,,0.17933968758326047,7.967661913236301,0.8084531929044716
5-NN,classification,1,42,49568,12393,0.6,0.7564244427767478,0.9356308940022633,0.7390776699029126,,,
5-NN,regression_tRNA_positive_only,1,42,3300,825,,,,,0.19792088865394952,7.87694449297788,0.694862005092118
1-NN,classification,2,43,49568,12393,1.0,0.6181648288317231,0.9004924242424241,0.7775229357798165,,,
1-NN,regression_tRNA_positive_only,2,43,3300,825,,,,,0.247467428266553,8.343460513080489,0.7361463757027166
5-NN,classification,2,43,49568,12393,0.6,0.766884555225865,0.9424067961775432,0.7474006116207951,,,
5-NN,regression_tRNA_positive_only,2,43,3300,825,,,,,0.40962325322204085,7.390063763205458,0.7110698425899049
1-NN,classification,3,44,49568,12393,1.0,0.6095455213792631,0.8897120583427638,0.7716627634660421,,,
1-NN,regression_tRNA_positive_only,3,44,3300,825,,,,,0.3631364437686675,6.89039735846749,0.7456641607848284
5-NN,classification,3,44,49568,12393,0.6,0.7527112719476305,0.9335565195523703,0.7293092719352832,,,
5-NN,regression_tRNA_positive_only,3,44,3300,825,,,,,0.36211795636377253,6.895904801424033,0.7204148704905949
