experiment,split_strategy,run,seed,task,train_n,test_n,test_positive_n,test_positive_prevalence,F1_threshold_from_validation,AUPRC,AUROC,F1,R2,RMSE,Spearman_rho
internal_generalization,random_80_20,1,42,classification,49568,12393,825.0,0.06656983781166788,0.3823526228060134,0.8953947367606794,0.9758648204032021,0.8326127239036443,,,
internal_generalization,random_80_20,1,42,regression_tRNA_positive_only,3300,825,,,,,,,0.8763495173643766,2.680285464686771,0.7416708520254198
internal_generalization,Assembly_ID_blocked,1,42,classification,49661,12300,805.0,0.06544715447154471,0.408468137519207,0.8995030249130491,0.9753437492401503,0.8434504792332268,,,
internal_generalization,Assembly_ID_blocked,1,42,regression_tRNA_positive_only,3320,805,,,,,,,0.8654377100295426,3.294714481389336,0.7719720998063674
internal_generalization,species_blocked,1,42,classification,41723,19851,1206.0,0.060752606921565665,0.08930343594243989,0.849305303253561,0.9586545906384765,0.7305565794323627,,,
internal_generalization,species_blocked,1,42,regression_tRNA_positive_only,2890,1206,,,,,,,0.7271487708343252,3.886366930790716,0.6991725207371171
internal_generalization,genus_blocked,1,42,classification,42485,19086,922.0,0.04830766006496909,0.6440916499177832,0.7728467797242939,0.9495231682797515,0.7636152954808807,,,
internal_generalization,genus_blocked,1,42,regression_tRNA_positive_only,3174,922,,,,,,,0.7960314826286236,2.9276892702210504,0.3969394687639737
internal_generalization,phylum_blocked,1,42,classification,58982,2592,107.0,0.04128086419753087,0.4411868470247723,0.34508102495399035,0.735621203858666,0.3463687150837989,,,
internal_generalization,phylum_blocked,1,42,regression_tRNA_positive_only,3989,107,,,,,,,0.3142954658042433,7.926902663545209,0.34606325863134285
within_size,small_lt_100kb,1,42,classification,34142,8536,250.0,0.02928772258669166,0.6663558026534646,0.8009003886508954,0.9503538498672459,0.8043478260869565,,,
within_size,small_lt_100kb,1,42,regression_tRNA_positive_only,999,250,,,,,,,0.5300466722389607,2.463376818390082,0.6114431705488506
within_size,large_ge_100kb,1,42,classification,15426,3857,575.0,0.14907959554057557,0.11778769326113118,0.9348544507628921,0.9773934239461622,0.8626023657870792,,,
within_size,large_ge_100kb,1,42,regression_tRNA_positive_only,2301,575,,,,,,,0.8507740078792503,4.054145399817406,0.7237165431723699
