feature_setting,task,run,seed,train_n,test_n,test_positive_n,test_positive_prevalence,F1_threshold_from_validation,AUPRC,AUROC,F1,R2,RMSE
raw_product_counts,classification,1,42,49568,12393,825.0,0.06656983781166788,0.4139169341139854,0.8988005731120052,0.9768978687287815,0.8408668730650155,,
raw_product_counts,classification,2,43,49568,12393,825.0,0.06656983781166788,0.6950398800475429,0.90922277201076,0.9770108763988431,0.8582625734813847,,
raw_product_counts,classification,3,44,49568,12393,825.0,0.06656983781166788,0.39278421589613305,0.8877711935839973,0.9745680875141456,0.8367729831144465,,
raw_product_counts,regression_tRNA_positive_only,1,42,3300,825,,,,,,,0.8510485442383748,3.3944667433249447
raw_product_counts,regression_tRNA_positive_only,2,43,3300,825,,,,,,,0.8223912437839427,4.053365346916631
raw_product_counts,regression_tRNA_positive_only,3,44,3300,825,,,,,,,0.734839790709601,4.446059244800753
product_abundance_per_100kb,classification,1,42,49568,12393,825.0,0.06656983781166788,0.4218223586132365,0.8935405946778365,0.9763693993880715,0.8380952380952381,,
product_abundance_per_100kb,classification,2,43,49568,12393,825.0,0.06656983781166788,0.31608225314694494,0.9060557174724231,0.9772141539880129,0.8539465506525793,,
product_abundance_per_100kb,classification,3,44,49568,12393,825.0,0.06656983781166788,0.5878071574485835,0.8879944465336397,0.975985896307473,0.8356075373619233,,
product_abundance_per_100kb,regression_tRNA_positive_only,1,42,3300,825,,,,,,,0.8051795623395709,3.882097506787968
product_abundance_per_100kb,regression_tRNA_positive_only,2,43,3300,825,,,,,,,0.7950545340538013,4.354143331340906
product_abundance_per_100kb,regression_tRNA_positive_only,3,44,3300,825,,,,,,,0.7293870451634678,4.491540919485937
