task,run,seed,phylum,test_n,positive_n,AUPRC,AUROC,F1
classification,2,43,Actinomycetota,491,52,0.6059970992928929,0.8533380059575959,0.5842696629213483
classification,2,43,Bacillota,2452,145,0.9307534916286961,0.9863922395109338,0.8768115942028986
classification,2,43,Bacteroidota,107,7,0.7060224089635854,0.9414285714285715,0.6666666666666666
classification,2,43,Campylobacterota,105,1,1.0,0.9999999999999999,1.0
classification,2,43,Chlamydiota,21,1,1.0,1.0,0.0
classification,2,43,Cyanobacteriota,104,4,0.5541666666666667,0.8174999999999999,0.4
classification,2,43,Deinococcota,43,5,0.4922222222222221,0.9105263157894736,0.25
classification,2,43,Fusobacteriota,26,4,0.95,0.9886363636363636,0.8571428571428571
classification,2,43,Methanobacteriota,125,18,0.6194050029834799,0.9034267912772587,0.4827586206896552
classification,2,43,Planctomycetota,7,1,1.0,1.0,0.0
classification,2,43,Pseudomonadota,8443,576,0.9340327205791707,0.9810813101139783,0.8975069252077562
classification,2,43,Spirochaetota,357,2,0.7,0.9957746478873238,0.0
classification,2,43,Thermodesulfobacteriota,4,1,1.0,1.0,0.0
classification,2,43,Unclassified,81,8,0.9226190476190477,0.9777397260273972,0.9333333333333333
