task,phylum,run_n,test_n_mean,positive_n_mean,AUPRC_mean,AUPRC_SD,R2_mean,R2_SD,RMSE_mean,RMSE_SD
classification,Actinomycetota,3,464.6666666666667,57.333333333333336,0.6674883782628797,0.07217077021535641,,,,
classification,Bacillota,3,2439.6666666666665,149.0,0.8850185925648585,0.042475967574080994,,,,
classification,Bacteroidota,3,114.66666666666667,6.333333333333333,0.6153507236227824,0.1958232501007365,,,,
classification,Campylobacterota,1,105.0,1.0,1.0,,,,,
classification,Chlamydiota,1,21.0,1.0,1.0,,,,,
classification,Cyanobacteriota,3,108.33333333333333,6.0,0.4344774202587213,0.1636799617564116,,,,
classification,Deinococcota,3,45.666666666666664,5.0,0.4179070004070004,0.14203977501875298,,,,
classification,Fusobacteriota,2,26.0,4.5,0.975,0.03535533905932741,,,,
classification,Methanobacteriota,3,116.0,16.0,0.6506585233501383,0.03404642603467956,,,,
classification,Mycoplasmatota,2,26.0,2.5,0.5866858237547893,0.230961122973767,,,,
classification,Planctomycetota,2,5.5,1.0,1.0,0.0,,,,
classification,Pseudomonadota,3,8445.0,570.6666666666666,0.9327681584569246,0.004060613543198028,,,,
classification,Rhodothermota,1,3.0,1.0,0.5,,,,,
classification,Spirochaetota,3,381.6666666666667,1.6666666666666667,0.5850427350427351,0.4828116162240744,,,,
classification,Thermodesulfobacteriota,1,4.0,1.0,1.0,,,,,
classification,Unclassified,3,77.66666666666667,5.333333333333333,0.9742063492063492,0.04467591368729249,,,,
regression_tRNA_positive_only,Actinomycetota,3,48.0,48.0,,,0.8013151271322858,0.0568478058773669,3.6297895355016094,0.9720228078141485
regression_tRNA_positive_only,Bacillota,3,152.66666666666666,152.66666666666666,,,0.5303579503643717,0.1800102639762873,5.862596454183316,0.8102104657262696
regression_tRNA_positive_only,Bacteroidota,3,3.6666666666666665,3.6666666666666665,,,0.5922935516725073,0.5148259315131696,2.5923722245534626,1.8509883066000532
regression_tRNA_positive_only,Campylobacterota,3,1.3333333333333333,1.3333333333333333,,,0.0,,4.507385756779064,2.0265952099458056
regression_tRNA_positive_only,Chloroflexota,1,1.0,1.0,,,,,3.6563343897501976,
regression_tRNA_positive_only,Cyanobacteriota,3,4.0,4.0,,,-50.340651140598496,71.31230329073433,8.657969688754479,3.00042141640861
regression_tRNA_positive_only,Deinococcota,3,4.0,4.0,,,-1.4246267888188464,2.231869972542173,3.9969648894988548,0.7599668130629906
regression_tRNA_positive_only,Fusobacteriota,3,3.0,3.0,,,-0.4446215788594004,1.4297592168376265,9.516753327921267,1.6272096519778199
regression_tRNA_positive_only,Gemmatimonadota,1,1.0,1.0,,,,,1.317778442115439,
regression_tRNA_positive_only,Methanobacteriota,3,19.666666666666668,19.666666666666668,,,-0.06267077842923756,0.9994722074474016,3.925991373519779,0.9067462479275333
regression_tRNA_positive_only,Mycoplasmatota,3,1.6666666666666667,1.6666666666666667,,,0.9702514695623821,0.015636022384444868,2.8143538879618135,0.7809248196527294
regression_tRNA_positive_only,Pseudomonadota,3,577.0,577.0,,,0.8840920149270654,0.024112374654479837,2.944196784836688,0.5526011932649267
regression_tRNA_positive_only,Rhodothermota,1,1.0,1.0,,,,,0.015378507801746766,
regression_tRNA_positive_only,Spirochaetota,2,1.0,1.0,,,,,3.469030726813102,2.5325426174259418
regression_tRNA_positive_only,Thermodesulfobacteriota,1,1.0,1.0,,,,,20.533054448780486,
regression_tRNA_positive_only,Unclassified,3,8.0,8.0,,,-3.3423572905635424,4.927493139472933,1.841888805048119,0.1542888597042473
