task,phylum,run_n,test_n_mean,AUPRC_mean,AUPRC_SD,R2_mean,R2_SD
classification,Actinomycetota,3,464.6666666666667,0.6674883782628797,0.07217077021535641,,
classification,Bacillota,3,2439.6666666666665,0.8850185925648585,0.042475967574080994,,
classification,Bacteroidota,3,114.66666666666667,0.6153507236227824,0.1958232501007365,,
classification,Campylobacterota,1,105.0,1.0,,,
classification,Chlamydiota,1,21.0,1.0,,,
classification,Cyanobacteriota,3,108.33333333333333,0.4344774202587213,0.1636799617564116,,
classification,Deinococcota,3,45.666666666666664,0.4179070004070004,0.14203977501875298,,
classification,Fusobacteriota,2,26.0,0.975,0.03535533905932741,,
classification,Methanobacteriota,3,116.0,0.6506585233501383,0.03404642603467956,,
classification,Mycoplasmatota,2,26.0,0.5866858237547893,0.230961122973767,,
classification,Pseudomonadota,3,8445.0,0.9327681584569246,0.004060613543198028,,
classification,Spirochaetota,3,381.6666666666667,0.5850427350427351,0.4828116162240744,,
classification,Unclassified,3,77.66666666666667,0.9742063492063492,0.04467591368729249,,
regression_tRNA_positive_only,Actinomycetota,3,48.0,,,0.8013151271322858,0.0568478058773669
regression_tRNA_positive_only,Bacillota,3,152.66666666666666,,,0.5303579503643717,0.1800102639762873
regression_tRNA_positive_only,Methanobacteriota,3,19.666666666666668,,,-0.06267077842923756,0.9994722074474016
regression_tRNA_positive_only,Pseudomonadota,3,577.0,,,0.8840920149270654,0.024112374654479837
