Sample_ID,Assembly_ID,Replicon_ID,assembly_lineage_without_version
GCF_016839145.2|||NZ_CP069302.1,GCF_016839145.2,NZ_CP069302.1,GCF_016839145
GCF_016839145.2|||NZ_CP069304.1,GCF_016839145.2,NZ_CP069304.1,GCF_016839145
GCF_016839145.2|||NZ_CP069305.1,GCF_016839145.2,NZ_CP069305.1,GCF_016839145
GCF_018729255.2|||NZ_CP076062.1,GCF_018729255.2,NZ_CP076062.1,GCF_018729255
GCF_018729255.2|||NZ_CP076063.1,GCF_018729255.2,NZ_CP076063.1,GCF_018729255
GCF_020542785.2|||NZ_CP080955.2,GCF_020542785.2,NZ_CP080955.2,GCF_020542785
GCF_020542785.2|||NZ_CP080956.2,GCF_020542785.2,NZ_CP080956.2,GCF_020542785
GCF_020542785.2|||NZ_CP080957.2,GCF_020542785.2,NZ_CP080957.2,GCF_020542785
GCF_020731415.3|||NZ_CP088274.1,GCF_020731415.3,NZ_CP088274.1,GCF_020731415
GCF_020731415.3|||NZ_CP088275.1,GCF_020731415.3,NZ_CP088275.1,GCF_020731415
GCF_020731415.3|||NZ_CP088276.1,GCF_020731415.3,NZ_CP088276.1,GCF_020731415
GCF_021498165.2|||NZ_CP054167.1,GCF_021498165.2,NZ_CP054167.1,GCF_021498165
GCF_021498165.2|||NZ_CP054168.1,GCF_021498165.2,NZ_CP054168.1,GCF_021498165
GCF_024381035.2|||NZ_CP101526.1,GCF_024381035.2,NZ_CP101526.1,GCF_024381035
GCF_029201645.2|||NZ_CP104130.1,GCF_029201645.2,NZ_CP104130.1,GCF_029201645
GCF_029201645.2|||NZ_CP104132.1,GCF_029201645.2,NZ_CP104132.1,GCF_029201645
GCF_029201645.2|||NZ_CP104133.1,GCF_029201645.2,NZ_CP104133.1,GCF_029201645
GCF_029201665.2|||NZ_CP104134.1,GCF_029201665.2,NZ_CP104134.1,GCF_029201665
GCF_029201665.2|||NZ_CP104136.1,GCF_029201665.2,NZ_CP104136.1,GCF_029201665
GCF_029201665.2|||NZ_CP104137.1,GCF_029201665.2,NZ_CP104137.1,GCF_029201665
GCF_030439745.2|||NZ_CP124027.1,GCF_030439745.2,NZ_CP124027.1,GCF_030439745
GCF_030439745.2|||NZ_CP124028.1,GCF_030439745.2,NZ_CP124028.1,GCF_030439745
GCF_030439745.2|||NZ_CP124029.1,GCF_030439745.2,NZ_CP124029.1,GCF_030439745
GCF_030439745.2|||NZ_CP179588.1,GCF_030439745.2,NZ_CP179588.1,GCF_030439745
GCF_030439745.2|||NZ_CP179589.1,GCF_030439745.2,NZ_CP179589.1,GCF_030439745
GCF_030439745.2|||NZ_CP179590.1,GCF_030439745.2,NZ_CP179590.1,GCF_030439745
GCF_030439745.2|||NZ_CP179591.1,GCF_030439745.2,NZ_CP179591.1,GCF_030439745
GCF_030439745.2|||NZ_CP179592.1,GCF_030439745.2,NZ_CP179592.1,GCF_030439745
GCF_030439745.2|||NZ_CP179593.1,GCF_030439745.2,NZ_CP179593.1,GCF_030439745
GCF_030439745.2|||NZ_CP179594.1,GCF_030439745.2,NZ_CP179594.1,GCF_030439745
GCF_030439745.2|||NZ_CP179595.1,GCF_030439745.2,NZ_CP179595.1,GCF_030439745
GCF_030439745.2|||NZ_CP179596.1,GCF_030439745.2,NZ_CP179596.1,GCF_030439745
GCF_030439745.2|||NZ_CP179597.1,GCF_030439745.2,NZ_CP179597.1,GCF_030439745
GCF_030439745.2|||NZ_CP179598.1,GCF_030439745.2,NZ_CP179598.1,GCF_030439745
GCF_030439745.2|||NZ_CP179599.1,GCF_030439745.2,NZ_CP179599.1,GCF_030439745
GCF_034643695.2|||NZ_CP141088.1,GCF_034643695.2,NZ_CP141088.1,GCF_034643695
GCF_041273615.2|||NZ_CP141952.2,GCF_041273615.2,NZ_CP141952.2,GCF_041273615
GCF_046097545.2|||NZ_JBVOCY010000002.1,GCF_046097545.2,NZ_JBVOCY010000002.1,GCF_046097545
GCF_965283175.2|||NZ_OZ259500.1,GCF_965283175.2,NZ_OZ259500.1,GCF_965283175
GCF_965283175.2|||NZ_OZ259501.1,GCF_965283175.2,NZ_OZ259501.1,GCF_965283175
GCF_965283175.2|||NZ_OZ259502.2,GCF_965283175.2,NZ_OZ259502.2,GCF_965283175
GCF_965283175.2|||NZ_OZ259503.1,GCF_965283175.2,NZ_OZ259503.1,GCF_965283175
GCF_965283175.2|||NZ_OZ259504.1,GCF_965283175.2,NZ_OZ259504.1,GCF_965283175
