task,run,seed,Code,Product,normalized_gain_pct
classification,1,42,A,(-)-delta-cadinene synthase,0.0
classification,1,42,B,(-)-trans-carveol dehydrogenase LimC,0.0
classification,1,42,C,"(2,3-dihydroxybenzoyl)adenylate synthase",0.0041382650435616945
classification,1,42,D,"(2,3-dihydroxybenzoyl)adenylate synthase BasE",0.0
classification,1,42,E,"(2,3-dihydroxybenzoyl)adenylate synthase EntE",0.0
classification,1,42,F,"(2E,6E)-farnesyl diphosphate synthase",0.0
classification,1,42,G,"(2E,6E)-farnesyl-diphosphate-specific ditrans,polycis-undecaprenyl-diphosphate synthase",0.0
classification,1,42,H,(2Fe-2S) ferredoxin domain-containing protein,0.00132303768479228
classification,1,42,I,(2Fe-2S)-binding protein,0.061659581042761175
classification,1,42,J,(2S)-3-sulfopropanediol dehydratase,0.0
classification,1,42,K,(2S)-3-sulfopropanediol dehydratase activating enzyme,0.0
classification,1,42,L,"(3,5-dihydroxyphenyl)acetyl-CoA 1,2-dioxygenase DpgC",0.0
classification,1,42,M,(3R)-3-[(carboxymethyl)amino]fatty acid oxygenase/decarboxylase,0.0
classification,1,42,N,(3R)-hydroxyacyl-ACP dehydratase subunit HadA,0.0
classification,1,42,O,(3R)-hydroxyacyl-ACP dehydratase subunit HadB,0.0
classification,1,42,P,(3R)-hydroxyacyl-ACP dehydratase subunit HadC,0.0
classification,1,42,Q,(4Fe-4S)-binding protein,0.0
classification,1,42,R,"(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase",0.0
classification,1,42,S,(5-formylfuran-3-yl)methyl phosphate synthase,0.0010161435725195836
classification,1,42,T,(6-4)DNA photolyase,0.0
classification,1,42,U,(Fe-S)-binding protein,0.004895958298963741
classification,1,42,V,(Na+)-NQR maturation NqrM,0.0
classification,1,42,W,(R)-2-hydroxyisocaproyl-CoA dehydratase subunit HadB,0.0
classification,1,42,X,(R)-citramalate synthase,0.0
classification,1,42,Y,(R)-mandelonitrile lyase,0.0
classification,1,42,Z,(R)-phenoxypropionate/alpha-ketoglutarate- dioxygenase,0.0
classification,1,42,AA,(R)-specific enoyl-CoA hydratase RipB/Ich,0.0
classification,1,42,AB,"(R,R)-butanediol dehydrogenase",0.0
classification,1,42,AC,(S)-6-hydroxynicotine oxidase,0.0
classification,1,42,AD,(S)-6-hydroxynicotine oxidase NdpB,0.0
classification,1,42,AE,(S)-acetoin forming diacetyl reductase,0.0
classification,1,42,AF,(S)-benzoin forming benzil reductase,0.0
classification,1,42,AG,(S)-sulfopropanediol 2-dehydrogenase HpsO,0.0
classification,1,42,AH,(S)-ureidoglycine aminohydrolase,0.0
classification,1,42,AI,(S)-ureidoglycine--glyoxylate transaminase,0.0
classification,1,42,AJ,(Z)-2-((N-methylformamido)methylene)-5- hydroxybutyrolactone dehydrogenase,0.0
classification,1,42,AK,(d)CMP kinase,0.0015066267764254043
classification,1,42,AL,(deoxy)nucleoside triphosphate pyrophosphohydrolase,0.00044302993535912913
classification,1,42,AM,(dimethylallyl)adenosine tRNA methylthiotransferase,0.0
classification,1,42,AN,(p)ppGpp synthetase,0.0
classification,1,42,AO,"1,2-dihydroxy-1,2-dihydronaphthalene dehydrogenase NagB",0.0
classification,1,42,AP,"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase",0.0
