task,Code,Product,run_n,normalized_gain_mean_pct,normalized_gain_SD_pct
classification,AHHC,phage tail protein,3,9.107390130158418,0.5673689603876423
classification,NSN,MFS transporter,3,3.9048730806368943,1.8249750770095374
classification,AQGP,5S ribosomal RNA,3,2.8212483817928025,0.8119500211436479
classification,ACQM,helix-turn-helix domain-containing protein,3,2.6095012954424006,0.1468854596188183
classification,AFS,ABC transporter ATP-binding protein,3,2.0243136019737373,2.2833787954900227
classification,AFB,AAA family ATPase,3,1.878654210141736,0.25412661674697296
classification,AQGO,23S ribosomal RNA,3,1.786640726578188,0.8451397072117797
classification,JJR,GNAT family N-acetyltransferase,3,1.5643973796306827,0.015211484067574155
classification,AEXB,metallophosphoesterase,3,1.3196754649728406,0.21306658252798238
classification,YHH,cold-shock protein,3,1.1541951571197961,0.14372320194179639
classification,ANVT,translesion error-prone DNA polymerase V autoproteolytic subunit,3,1.1283342839732171,0.3804654088993918
classification,LWV,IS6-like element IS26 family transposase,3,0.9510018046354376,0.24280890724514
classification,AKEN,recombination-associated protein RdgC,3,0.9294896427204704,0.2142917481701375
classification,AHFE,phage portal protein,3,0.8768038529206773,0.41183692271866273
classification,AQGN,16S ribosomal RNA,3,0.8698055807590448,0.35107910230995354
classification,ANBE,tetratricopeptide repeat protein,3,0.686888911369929,0.15884299087714385
classification,ANHD,thymidine kinase,3,0.6823540259550883,0.22491705687572633
classification,CLR,DNA polymerase III subunit alpha,3,0.6191847350442024,0.14626444776991557
classification,SWI,VasL domain-containing protein,3,0.593324363722114,0.2868026566887669
classification,QMG,RepB family plasmid replication initiator protein,3,0.5784020435201821,0.5279212042169038
classification,IKF,DnaB-like helicase C-terminal domain-containing protein,3,0.5645367094392141,0.22294059079476672
classification,FEO,DUF3927 family protein,3,0.5433135068610867,0.021004649061357142
classification,AKJJ,replicative DNA helicase,3,0.530197512065739,0.18994418203119315
classification,AKHJ,replication initiation protein,3,0.47578675278919214,0.017289299620330423
classification,AJHP,protein-disulfide reductase DsbD N-terminal domain-containing protein,3,0.3955684053445169,0.17270547665065797
classification,ACQN,helix-turn-helix transcriptional regulator,3,0.3937134707827355,0.09248070830522591
classification,VBL,aminoacyltransferase,3,0.38285343599024774,0.095070802064535
classification,JXN,HU family DNA-binding protein,3,0.3815128914153439,0.21334918553557755
classification,AKDY,recombinase family protein,3,0.3758663186577089,0.10052498580875513
classification,ZWB,ead/Ea22-like family protein,3,0.37126033194827707,0.11110958852799606
classification,JZU,Hha/YmoA family nucleoid-associated regulatory protein,3,0.3573691965377784,0.10298346561801254
classification,PUZ,ParB/RepB/Spo0J family plasmid partition protein,3,0.33695084623957433,0.23810807901660005
classification,AOVA,type II toxin-antitoxin system RelE/ParE family toxin,3,0.3311156935079346,0.21837382071084138
classification,NAM,L-seryl-tRNA(Sec) selenium transferase,3,0.32865679316267155,0.034149152486934745
classification,JIR,GH25 family lysozyme,3,0.3283140011142892,0.022218580104374105
classification,APRD,tyrosine-type recombinase/integrase,3,0.3240061010798456,0.08985647136431206
classification,AGE,ABC transporter permease,3,0.32307058384046017,0.024937893051582217
classification,AOB,ATP-binding protein,3,0.2965055718034355,0.19130765635617283
classification,AKKQ,response regulator transcription factor,3,0.2933621741224119,0.4364372230763371
classification,VMO,antirestriction protein ArdA,3,0.28917193356048004,0.0051924161829834305
classification,COO,DNA replication terminus site-binding protein,3,0.283862723089838,0.09367261783084575
classification,QQN,RusA family crossover junction endodeoxyribonuclease,3,0.2823434369133073,0.31253395908180887
classification,QPB,Rop family plasmid primer RNA-binding protein,3,0.26020306405263266,0.023435921628013664
classification,AKJX,response regulator,3,0.25368548364841076,0.026356168726243693
classification,KWJ,IS256 family transposase,3,0.25336245809304053,0.022191408363598716
classification,AORT,type IA DNA topoisomerase,3,0.24115849141050308,0.03303338686222486
classification,JOA,GlsB/YeaQ/YmgE family stress response membrane protein,3,0.2373881963104727,0.05107933029139853
classification,POA,PLP-dependent aminotransferase family protein,3,0.2233407878105399,0.17693668997337866
classification,ALJC,site-specific integrase,3,0.21486013340759932,0.09650371573057392
classification,ANWV,transposase,3,0.21115900108144817,0.04764751187872246
classification,AJFU,protein rep,3,0.20773858301890516,0.013140152723953195
classification,APNB,type VI secretion system baseplate subunit TssE,3,0.20708400360715115,0.09902252504096626
classification,VAS,amino acid permease,3,0.20594609684748844,0.1369457767153166
classification,CGF,DEAD/DEAH box helicase,3,0.20129079825618965,0.05610816600091757
classification,QXA,SEC-C metal-binding domain-containing protein,3,0.19782878135637613,0.04067035376774287
classification,AGEV,nucleoside 2-deoxyribosyltransferase,3,0.19750238245614873,0.30368484825025566
classification,PUS,ParA family protein,3,0.19611920758643364,0.056481586526140694
classification,JUO,HNH endonuclease,3,0.19477137435298755,0.05855488615685051
classification,AGXL,peptidoglycan DD-metalloendopeptidase family protein,3,0.18956138890761684,0.03719191059756219
classification,AMTX,tail fiber assembly protein,3,0.18766504409211185,0.0538421986809308
classification,MR,3'-5' exoribonuclease,3,0.18749796770684868,0.0194188855922997
classification,UBK,abortive infection family protein,3,0.18204427448117702,0.027577712195872843
classification,NZJ,MerR family transcriptional regulator,3,0.17974980022718803,0.05393436961176145
classification,AGJE,omptin family outer membrane protease OmpP,3,0.17883030782944442,0.03489384060058376
