task,run,K,Category,fraction_pct
classification,1,5,Enzymes,9.35723108230191
classification,1,5,Membrane trafficking,11.734284708873146
classification,1,5,Non-coding RNAs,6.665604209337953
classification,1,5,Ribosome,6.665604209337953
classification,1,5,Transporters,23.210787309265147
classification,1,5,Viral proteins,42.366488480883895
classification,1,10,CD molecules,1.8562299231521198
classification,1,10,DNA repair and recombination proteins,1.4279833260945605
classification,1,10,DNA replication proteins,4.101327796596083
classification,1,10,Enzymes,14.493626835740967
classification,1,10,Membrane trafficking,8.925150880063207
classification,1,10,Non-coding RNAs,8.016545315757192
classification,1,10,Peptidases and inhibitors,1.4279833260945605
classification,1,10,Polyketide biosynthesis proteins,1.8562299231521198
classification,1,10,Ribosome,8.016545315757192
classification,1,10,Transporters,17.654231503655197
classification,1,10,Viral proteins,32.224145853936804
classification,1,20,CD molecules,1.433566420981166
classification,1,20,Chromosome and associated proteins,0.8571638026813362
classification,1,20,DNA repair and recombination proteins,4.4349473624895275
classification,1,20,DNA replication proteins,3.7699471022091764
classification,1,20,Enzymes,13.067833307582658
classification,1,20,IS elements/Transposase,2.584357442187096
classification,1,20,Membrane trafficking,6.892894271482212
classification,1,20,Non-coding RNAs,7.36313409278628
classification,1,20,Peptidases and inhibitors,1.1028315622312042
classification,1,20,Polyketide biosynthesis proteins,1.433566420981166
classification,1,20,Protein kinases,1.2719133700610812
classification,1,20,Ribosome,7.36313409278628
classification,1,20,Transcription factors,2.187796188211554
classification,1,20,Transporters,15.71716837012056
classification,1,20,Viral proteins,27.776657151127953
classification,1,20,nan,2.743089042080746
classification,1,50,Amino acid related enzymes,0.20338255014147266
classification,1,50,CD molecules,1.1197100533621334
classification,1,50,Chaperones and folding catalysts,0.3672641428648729
classification,1,50,Chromosome and associated proteins,0.6695015404891501
classification,1,50,Cilium and associated proteins,0.3672641428648729
classification,1,50,DNA repair and recombination proteins,5.830548427316699
classification,1,50,DNA replication proteins,5.106435136510008
classification,1,50,Enzymes,14.770828052177789
classification,1,50,IS elements/Transposase,3.0806360550979197
classification,1,50,Membrane trafficking,7.984304505532778
classification,1,50,Non-coding RNAs,5.751094017885471
classification,1,50,Peptidases and inhibitors,1.1098906026567215
classification,1,50,Polyketide biosynthesis proteins,1.671256659776619
classification,1,50,Protein kinases,0.9934483443664691
classification,1,50,Protein of unknown functions,1.1779894914035751
classification,1,50,Ribosome,5.751094017885471
classification,1,50,Ribosome biogenesis,0.28044279459522603
classification,1,50,Secretion system,0.28730383696660766
