task,K,run_n,AUPRC_mean,AUPRC_SD,AUROC_mean,AUROC_SD,F1_mean,F1_SD,R2_mean,R2_SD,RMSE_mean,RMSE_SD,Spearman_rho_mean,Spearman_rho_SD
classification,5,3,0.5697109270409284,0.05334963868569359,0.8450983032258965,0.026085596462703396,0.44583718590505256,0.09751367446529637,,,,,,
classification,10,3,0.6657358707557793,0.01834541062511551,0.8766613402349916,0.01814361248935865,0.5030494677168065,0.1095996953445089,,,,,,
classification,20,3,0.7455092182811774,0.02243618094189285,0.9052486657725246,0.007335133203168811,0.6088316948249876,0.09251233791776743,,,,,,
classification,50,3,0.8289836960668827,0.009643487781366429,0.9460555939757184,0.003240146647264614,0.7433918237983507,0.04049999316413543,,,,,,
classification,100,3,0.8556222181247172,0.01139559525742855,0.9606406562163824,0.003100602054415978,0.7827405930457875,0.038814578631570354,,,,,,
classification,200,3,0.8736536551969832,0.011161801320771752,0.9699491282115763,0.003330098375476999,0.8084841230754741,0.021440557970700054,,,,,,
classification,500,3,0.8871725241114232,0.014353328695995402,0.9734857565977898,0.002318941812677599,0.8266150002261113,0.013544617321229696,,,,,,
classification,1000,3,0.8963479185663115,0.012082994264702615,0.9755830085083197,0.0016517756898360146,0.8403821768835025,0.01350991458718743,,,,,,
regression,5,3,,,,,,,0.5118667339729525,0.0543919100942288,6.302324782100617,0.6776339723642402,0.3439298789648913,0.10909858040934758
regression,10,3,,,,,,,0.6797929710608092,0.024345999744696197,5.091649565518147,0.09864357183704679,0.4850931388136863,0.015505030434906707
regression,20,3,,,,,,,0.6878739903658793,0.04478745646301958,5.014768055902976,0.12008876525294833,0.48820903085859507,0.049619176648654055
regression,50,3,,,,,,,0.7776310435163615,0.02398102919757016,4.241862732149395,0.1956666751618646,0.6401918742453657,0.01132975702032212
regression,100,3,,,,,,,0.8056365903065261,0.0233113515465301,3.9659517642340725,0.23753184035916944,0.7243584449112643,0.01350302385363077
regression,200,3,,,,,,,0.8139968273135588,0.04102301731538485,3.8622312012605473,0.2984283040663782,0.7434429897402856,0.015249495027755794
regression,500,3,,,,,,,0.8122959170480115,0.032572004657602946,3.8905834144165197,0.2927650505646417,0.750445416343009,0.013042836581943464
regression,1000,3,,,,,,,0.815795519816553,0.03439846316512047,3.853160033186999,0.32763627013315094,0.7632740141485975,0.0145117038169852
