"target","task","run","seed","Code","Product","normalized_gain_pct"
"tRNA-Ala","classification","1","42","AQGP","5S ribosomal RNA","56.772484860139166"
"tRNA-Ala","classification","1","42","ONC","NAD-dependent DNA ligase LigA","9.623320462353535"
"tRNA-Ala","classification","1","42","JUO","HNH endonuclease","3.6373397816128734"
"tRNA-Ala","classification","1","42","APOI","type VII secretion integral membrane protein EccD","3.4160833088645135"
"tRNA-Ala","classification","1","42","QXS","SGNH/GDSL hydrolase family protein","1.4327480829736352"
"tRNA-Ala","classification","1","42","YBX","class II lanthipeptide, LchA2/BrtA2 family","1.3557925073183759"
"tRNA-Ala","classification","1","42","AIOT","preprotein translocase subunit SecE","1.3230750422547388"
"tRNA-Ala","classification","1","42","TIB","YdcF family protein","1.09399210763454"
"tRNA-Ala","classification","1","42","QQJ","RtcB family protein","0.844760851866417"
"tRNA-Ala","classification","1","42","AIAX","pirin-like C-terminal cupin domain-containing protein","0.7099008094272752"
"tRNA-Ala","classification","2","43","AQGN","16S ribosomal RNA","55.341734343798294"
"tRNA-Ala","classification","2","43","AOB","ATP-binding protein","9.60060627069387"
"tRNA-Ala","classification","2","43","JUO","HNH endonuclease","3.001597509529349"
"tRNA-Ala","classification","2","43","ABUV","glutamate--tRNA ligase","2.637433454892945"
"tRNA-Ala","classification","2","43","AFB","AAA family ATPase","2.1539184890743046"
"tRNA-Ala","classification","2","43","GFN","DUF5131 family protein","1.7232612663372293"
"tRNA-Ala","classification","2","43","YBX","class II lanthipeptide, LchA2/BrtA2 family","1.4122604849650324"
"tRNA-Ala","classification","2","43","CYL","DUF1190 domain-containing protein","1.306353962046716"
"tRNA-Ala","classification","2","43","ABST","glucose-6-phosphate isomerase","1.209674798480984"
"tRNA-Ala","classification","2","43","AJI","ADP-ribosylglycohydrolase family protein","0.8665319704806269"
"tRNA-Ala","classification","3","44","AQGP","5S ribosomal RNA","54.77247428636865"
"tRNA-Ala","classification","3","44","AOB","ATP-binding protein","9.194526914489142"
"tRNA-Ala","classification","3","44","AKJJ","replicative DNA helicase","2.441261180900881"
"tRNA-Ala","classification","3","44","JUO","HNH endonuclease","1.9992786212198401"
"tRNA-Ala","classification","3","44","ABUV","glutamate--tRNA ligase","1.9809845992102706"
"tRNA-Ala","classification","3","44","AFB","AAA family ATPase","1.9029964922697902"
"tRNA-Ala","classification","3","44","YBX","class II lanthipeptide, LchA2/BrtA2 family","1.415700042688893"
"tRNA-Ala","classification","3","44","ACQM","helix-turn-helix domain-containing protein","1.1717854480749559"
"tRNA-Ala","classification","3","44","PXL","PhoH family protein","0.9670022568705892"
"tRNA-Ala","classification","3","44","PUW","ParB family protein","0.8270352825519298"
"tRNA-Ala","regression_type_positive_only","1","42","AQGN","16S ribosomal RNA","46.63961823975144"
"tRNA-Ala","regression_type_positive_only","1","42","AQGO","23S ribosomal RNA","5.844468721193653"
"tRNA-Ala","regression_type_positive_only","1","42","AGWG","peptide chain release factor 3","4.098916300664909"
"tRNA-Ala","regression_type_positive_only","1","42","XEO","carbon storage regulator CsrA","3.7048381625268627"
"tRNA-Ala","regression_type_positive_only","1","42","JL","2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase","1.628226869533346"
"tRNA-Ala","regression_type_positive_only","1","42","AKSC","ribosomal protein S18-alanine N-acetyltransferase","1.6124271773702676"
"tRNA-Ala","regression_type_positive_only","1","42","AEGB","lipoyl synthase","1.6108980729292952"
"tRNA-Ala","regression_type_positive_only","1","42","AQGP","5S ribosomal RNA","1.1513014873393776"
"tRNA-Ala","regression_type_positive_only","1","42","ANUJ","transglycosylase domain-containing protein","0.9654784170532461"
"tRNA-Ala","regression_type_positive_only","1","42","AEGC","lipoyl(octanoyl) transferase LipB","0.944850456971204"
"tRNA-Ala","regression_type_positive_only","2","43","AQGN","16S ribosomal RNA","42.58651899638028"
"tRNA-Ala","regression_type_positive_only","2","43","AQGP","5S ribosomal RNA","9.424150354447615"
"tRNA-Ala","regression_type_positive_only","2","43","AQGO","23S ribosomal RNA","6.1030306963776475"
"tRNA-Ala","regression_type_positive_only","2","43","ANF","ATP phosphoribosyltransferase","4.51087879988962"
"tRNA-Ala","regression_type_positive_only","2","43","AGWG","peptide chain release factor 3","3.018665804051926"
"tRNA-Ala","regression_type_positive_only","2","43","AEGC","lipoyl(octanoyl) transferase LipB","1.5873971165843004"
"tRNA-Ala","regression_type_positive_only","2","43","XEO","carbon storage regulator CsrA","1.5230799402453117"
"tRNA-Ala","regression_type_positive_only","2","43","AGYZ","peptidyl-tRNA hydrolase","1.4543372955174592"
"tRNA-Ala","regression_type_positive_only","2","43","JEE","FliH/SctL family protein","0.8802522639755274"
"tRNA-Ala","regression_type_positive_only","2","43","ONC","NAD-dependent DNA ligase LigA","0.6601563220193707"
"tRNA-Ala","regression_type_positive_only","3","44","AQGN","16S ribosomal RNA","49.44799341559901"
"tRNA-Ala","regression_type_positive_only","3","44","AQGO","23S ribosomal RNA","12.533369745422458"
"tRNA-Ala","regression_type_positive_only","3","44","AQGP","5S ribosomal RNA","5.594438973882954"
"tRNA-Ala","regression_type_positive_only","3","44","DOU","DUF2062 domain-containing protein","2.3028230599231536"
"tRNA-Ala","regression_type_positive_only","3","44","AEGC","lipoyl(octanoyl) transferase LipB","1.7363978603168673"
"tRNA-Ala","regression_type_positive_only","3","44","OVN","NUDIX hydrolase","1.4334777897299087"
"tRNA-Ala","regression_type_positive_only","3","44","ANF","ATP phosphoribosyltransferase","1.4099988344272698"
"tRNA-Ala","regression_type_positive_only","3","44","AJGS","protein translocase subunit SecF","1.3490349610362986"
"tRNA-Ala","regression_type_positive_only","3","44","SNJ","TusE/DsrC/DsvC family sulfur relay protein","0.8809505186964955"
"tRNA-Ala","regression_type_positive_only","3","44","AGYZ","peptidyl-tRNA hydrolase","0.8500919158212558"
"tRNA-Arg","classification","1","42","AEXB","metallophosphoesterase","15.233603030036708"
"tRNA-Arg","classification","1","42","AQGP","5S ribosomal RNA","14.640160895715892"
"tRNA-Arg","classification","1","42","BYM","Crp/Fnr family transcriptional regulator","7.907391139660555"
"tRNA-Arg","classification","1","42","ACQM","helix-turn-helix domain-containing protein","4.2990690948624275"
"tRNA-Arg","classification","1","42","LWV","IS6-like element IS26 family transposase","2.979453429561159"
"tRNA-Arg","classification","1","42","AMXT","terminase small subunit","1.996760967544727"
"tRNA-Arg","classification","1","42","ANBE","tetratricopeptide repeat protein","1.6755358766918251"
"tRNA-Arg","classification","1","42","JUP","HNH endonuclease domain-containing protein","1.5817078707661372"
"tRNA-Arg","classification","1","42","HLJ","DUF6682 family protein","1.366141468685475"
"tRNA-Arg","classification","1","42","JJR","GNAT family N-acetyltransferase","1.2419681933458933"
"tRNA-Arg","classification","2","43","AEXB","metallophosphoesterase","15.54746176847256"
"tRNA-Arg","classification","2","43","AQGP","5S ribosomal RNA","14.450071550517091"
"tRNA-Arg","classification","2","43","NSN","MFS transporter","9.670404461854272"
"tRNA-Arg","classification","2","43","AOB","ATP-binding protein","4.106655620151988"
"tRNA-Arg","classification","2","43","PUW","ParB family protein","3.7186665375560626"
"tRNA-Arg","classification","2","43","ZWB","ead/Ea22-like family protein","1.8358786023177494"
"tRNA-Arg","classification","2","43","AJHP","protein-disulfide reductase DsbD N-terminal domain-containing protein","1.5396411217815502"
"tRNA-Arg","classification","2","43","WEI","beta strand repeat-containing protein","1.414607541633544"
"tRNA-Arg","classification","2","43","JUO","HNH endonuclease","1.1294184730602992"
"tRNA-Arg","classification","2","43","AIQH","prohibitin family protein","1.109788974467227"
"tRNA-Arg","classification","3","44","AEXB","metallophosphoesterase","14.862907213202865"
"tRNA-Arg","classification","3","44","AQGN","16S ribosomal RNA","12.984818979247343"
"tRNA-Arg","classification","3","44","JJR","GNAT family N-acetyltransferase","8.280205443151157"
"tRNA-Arg","classification","3","44","PUW","ParB family protein","3.287019501104642"
"tRNA-Arg","classification","3","44","PJP","PAAR domain-containing protein","2.8580902538093067"
"tRNA-Arg","classification","3","44","AOB","ATP-binding protein","2.784123524634169"
"tRNA-Arg","classification","3","44","PUZ","ParB/RepB/Spo0J family plasmid partition protein","1.9867025974756087"
"tRNA-Arg","classification","3","44","AIQH","prohibitin family protein","1.4384900200288835"
"tRNA-Arg","classification","3","44","ZWB","ead/Ea22-like family protein","1.3930391592851277"
"tRNA-Arg","classification","3","44","UJH","acyl-CoA dehydrogenase","1.3439352318457076"
"tRNA-Arg","regression_type_positive_only","1","42","AIOW","preprotein translocase subunit SecY","19.25007601913188"
"tRNA-Arg","regression_type_positive_only","1","42","AGYZ","peptidyl-tRNA hydrolase","4.553082782492465"
"tRNA-Arg","regression_type_positive_only","1","42","AQGP","5S ribosomal RNA","4.151325112822177"
"tRNA-Arg","regression_type_positive_only","1","42","AQHM","transfer-messenger RNA","3.7226359822874007"
"tRNA-Arg","regression_type_positive_only","1","42","BGH","C40 family peptidase","3.5795807155867223"
"tRNA-Arg","regression_type_positive_only","1","42","ZYZ","elongation factor Tu","3.5043393620162586"
"tRNA-Arg","regression_type_positive_only","1","42","APJA","type IV pilus twitching motility protein PilT","2.3643632750383015"
"tRNA-Arg","regression_type_positive_only","1","42","AQGN","16S ribosomal RNA","2.178609557026909"
"tRNA-Arg","regression_type_positive_only","1","42","AQGO","23S ribosomal RNA","2.1754787462584106"
"tRNA-Arg","regression_type_positive_only","1","42","XEO","carbon storage regulator CsrA","2.1413746030301284"
"tRNA-Arg","regression_type_positive_only","2","43","AIOW","preprotein translocase subunit SecY","23.301999817219013"
"tRNA-Arg","regression_type_positive_only","2","43","XEO","carbon storage regulator CsrA","6.0986794715729795"
"tRNA-Arg","regression_type_positive_only","2","43","AIOT","preprotein translocase subunit SecE","5.308118564851594"
"tRNA-Arg","regression_type_positive_only","2","43","BBU","Bax inhibitor-1/YccA family protein","3.75881493916798"
"tRNA-Arg","regression_type_positive_only","2","43","AEXB","metallophosphoesterase","2.469223648071423"
"tRNA-Arg","regression_type_positive_only","2","43","FIH","DUF4031 domain-containing protein","2.4543636312700556"
"tRNA-Arg","regression_type_positive_only","2","43","JTC","HD domain-containing protein","2.0347405654797672"
"tRNA-Arg","regression_type_positive_only","2","43","POQ","PPE domain-containing protein","1.8315844247622326"
"tRNA-Arg","regression_type_positive_only","2","43","RNC","SsrA-binding protein SmpB","1.803689883847277"
"tRNA-Arg","regression_type_positive_only","2","43","APJA","type IV pilus twitching motility protein PilT","1.46082705930737"
"tRNA-Arg","regression_type_positive_only","3","44","AIOW","preprotein translocase subunit SecY","21.50290872153545"
"tRNA-Arg","regression_type_positive_only","3","44","AQHM","transfer-messenger RNA","9.357266037169074"
"tRNA-Arg","regression_type_positive_only","3","44","JUO","HNH endonuclease","3.9047525523546542"
"tRNA-Arg","regression_type_positive_only","3","44","JTC","HD domain-containing protein","3.378624594662481"
"tRNA-Arg","regression_type_positive_only","3","44","APJA","type IV pilus twitching motility protein PilT","3.364200441746197"
"tRNA-Arg","regression_type_positive_only","3","44","FIH","DUF4031 domain-containing protein","3.116839118229513"
"tRNA-Arg","regression_type_positive_only","3","44","ZYZ","elongation factor Tu","3.054866761203077"
"tRNA-Arg","regression_type_positive_only","3","44","AFWV","nicotinate phosphoribosyltransferase","2.578951498999267"
"tRNA-Arg","regression_type_positive_only","3","44","FNR","DUF4222 domain-containing protein","1.4075249395479585"
"tRNA-Arg","regression_type_positive_only","3","44","ATV","Ail/Lom family outer membrane beta-barrel protein","1.3175186818757283"
"tRNA-Asn","classification","1","42","AHHC","phage tail protein","37.085348618234136"
"tRNA-Asn","classification","1","42","AEXB","metallophosphoesterase","6.799795910202168"
"tRNA-Asn","classification","1","42","AQGN","16S ribosomal RNA","5.464636773331574"
"tRNA-Asn","classification","1","42","AFB","AAA family ATPase","4.8213402485241"
"tRNA-Asn","classification","1","42","TM","3D domain-containing protein","3.597977614469817"
"tRNA-Asn","classification","1","42","AQGP","5S ribosomal RNA","2.593198610507318"
"tRNA-Asn","classification","1","42","CLR","DNA polymerase III subunit alpha","2.3642593318502465"
"tRNA-Asn","classification","1","42","JJD","GIY-YIG nuclease family protein","1.9901404910722031"
"tRNA-Asn","classification","1","42","ALIG","single-stranded DNA-binding protein","1.7632941298142624"
"tRNA-Asn","classification","1","42","JUO","HNH endonuclease","1.3667319689168238"
"tRNA-Asn","classification","2","43","AFB","AAA family ATPase","31.276962834110133"
"tRNA-Asn","classification","2","43","SVF","VRR-NUC domain-containing protein","11.783429668608743"
"tRNA-Asn","classification","2","43","IKF","DnaB-like helicase C-terminal domain-containing protein","8.499973690679454"
"tRNA-Asn","classification","2","43","AQGP","5S ribosomal RNA","6.78160000301769"
"tRNA-Asn","classification","2","43","AQGN","16S ribosomal RNA","2.662065564027119"
"tRNA-Asn","classification","2","43","ANHH","thymidylate synthase","2.5033356065095025"
"tRNA-Asn","classification","2","43","AHHC","phage tail protein","2.0535166680665977"
"tRNA-Asn","classification","2","43","JUO","HNH endonuclease","1.9459804888213956"
"tRNA-Asn","classification","2","43","AEXB","metallophosphoesterase","1.2003674798320543"
"tRNA-Asn","classification","2","43","ANF","ATP phosphoribosyltransferase","1.0089973144102147"
"tRNA-Asn","classification","3","44","AHHC","phage tail protein","34.22566428921429"
"tRNA-Asn","classification","3","44","AQGP","5S ribosomal RNA","8.579051628046374"
"tRNA-Asn","classification","3","44","AFB","AAA family ATPase","7.726300392776203"
"tRNA-Asn","classification","3","44","AKJJ","replicative DNA helicase","6.654609482051878"
"tRNA-Asn","classification","3","44","IKF","DnaB-like helicase C-terminal domain-containing protein","6.008136978510079"
"tRNA-Asn","classification","3","44","CLR","DNA polymerase III subunit alpha","2.0991103292278463"
"tRNA-Asn","classification","3","44","QQN","RusA family crossover junction endodeoxyribonuclease","1.6945344550119066"
