COG_category,COG_super_category,product_n,CCI_median,AUPRC_test_mean,AUPRC_test_sd,R2_test_mean,R2_test_sd,size_bin
A,Information storage and processing,24,1.1715841147584913,0.5277153582299745,0.0042324521512725,0.3743008358920566,0.0912152725323251,<100
B,Information storage and processing,12,0.9828231351953374,0.3561206334569178,0.0059378062847837,0.211992041446829,0.0227950759431686,<100
C,Metabolism,1536,1.2061317410122556,0.7901296710928546,0.0084352228482805,0.717107139499895,0.0546390265623989,>1000
D,Cellular processes and signaling,444,1.1077528751441794,0.7960679708188275,0.0083032589936016,0.6200044181434675,0.0736043034206688,100–1000
E,Metabolism,1525,1.18196568667082,0.7938741659044511,0.0029497176193218,0.6808813961052375,0.0538579778428043,>1000
F,Metabolism,675,1.1330588661931944,0.7863191601889832,0.0123318220014099,0.70141371400927,0.055271182824447,100–1000
G,Metabolism,1334,1.1598278390130448,0.7911022374707013,0.0109496320260354,0.6841947049261856,0.0650853698564081,>1000
H,Metabolism,1115,1.1607592643697129,0.7907727391485798,0.0045421977729515,0.6842710737999624,0.0707446463040682,>1000
I,Metabolism,699,1.202482269503546,0.7386801686725891,0.0039495532384821,0.6487833689810248,0.0672949369351412,100–1000
J,Information storage and processing,738,1.1582010079940641,0.7852350459882818,0.0036921860588895,0.7075765791970051,0.0715803399793264,100–1000
K,Information storage and processing,1420,1.0929705873798115,0.8178668426846128,0.0046662444422337,0.7129753648890332,0.0375166018996999,>1000
L,Information storage and processing,1585,1.094992898008333,0.8379400327127624,0.0075915295426293,0.706041317396514,0.0629777333132441,>1000
M,Cellular processes and signaling,1619,1.1145363408521305,0.8219552887084071,0.0056866165237078,0.6688984836217328,0.0726723513098142,>1000
N,Cellular processes and signaling,595,1.1527629233511585,0.7672178037021796,0.0026697270185897,0.5925442159366097,0.0183620275682532,100–1000
O,Cellular processes and signaling,770,1.1423086173086172,0.8078431852658042,0.0082949927657848,0.6877118047166225,0.0648677215092181,100–1000
P,Metabolism,1247,1.1699234560134215,0.7888357059338582,0.0066990997015857,0.6350167157217596,0.0503841480724164,>1000
Q,Metabolism,743,1.2000000000000002,0.7802520607780224,0.0047164713360636,0.6583734772943336,0.0355025728414263,100–1000
T,Cellular processes and signaling,975,1.1381984681984685,0.8038727243385492,0.0088662340203853,0.7087173494646102,0.0443122987204563,100–1000
U,Cellular processes and signaling,953,1.109948830021294,0.8045027139621951,0.003860249090997,0.7097469803841573,0.0523164196030613,100–1000
V,Cellular processes and signaling,424,1.0999914135126554,0.7761412621772453,0.0156413452939681,0.5278912283077751,0.1021339023153334,100–1000
W,Cellular processes and signaling,38,1.0562804094054092,0.5032894354896696,0.0013921992737297,0.2875502773467771,0.0588737385897674,<100
Z,Cellular processes and signaling,41,1.233424848642758,0.5204795228785263,0.0079273414426977,0.4327233893019501,0.0528086255184621,<100
