Product_norm,Product,Code,COG_category,COG_super_category
endonuclease/exonuclease/phosphatase family protein,endonuclease/exonuclease/phosphatase family protein,AAAP,A,Information storage and processing
glycerophosphoryl diester phosphodiesterase membrane domain-containing protein,glycerophosphoryl diester phosphodiesterase membrane domain-containing protein,ABZZ,A,Information storage and processing
helicase-related protein,helicase-related protein,ACQE,A,Information storage and processing
hypothetical protein,hypothetical protein,ADFU,A,Information storage and processing
lipopolysaccharide assembly protein lapb,lipopolysaccharide assembly protein LapB,AEDR,A,Information storage and processing
oligoribonuclease,oligoribonuclease,AGIL,A,Information storage and processing
patatin-like phospholipase family protein,patatin-like phospholipase family protein,AGRS,A,Information storage and processing
ribonuclease yeef family protein,ribonuclease YeeF family protein,AKQJ,A,Information storage and processing
tetratricopeptide repeat protein,tetratricopeptide repeat protein,ANBE,A,Information storage and processing
atp-binding protein,ATP-binding protein,AOB,A,Information storage and processing
cd3337/ef1877 family mobilome membrane protein,CD3337/EF1877 family mobilome membrane protein,BIO,A,Information storage and processing
dead/deah box helicase,DEAD/DEAH box helicase,CGF,A,Information storage and processing
duf349 domain-containing protein,DUF349 domain-containing protein,EVY,A,Information storage and processing
doxx family protein,DoxX family protein,ILZ,A,Information storage and processing
gtp-binding protein,GTP-binding protein,JLM,A,Information storage and processing
mnmc family methyltransferase,MnmC family methyltransferase,OBB,A,Information storage and processing
mov34/mpn/pad-1 family protein,Mov34/MPN/PAD-1 family protein,OCT,A,Information storage and processing
nad(p)/fad-dependent oxidoreductase,NAD(P)/FAD-dependent oxidoreductase,OMC,A,Information storage and processing
pqq-binding-like beta-propeller repeat protein,PQQ-binding-like beta-propeller repeat protein,POY,A,Information storage and processing
rdd family protein,RDD family protein,QDQ,A,Information storage and processing
rna 3'-terminal phosphate cyclase,RNA 3'-terminal phosphate cyclase,QER,A,Information storage and processing
rna polymerase-binding protein dksa,RNA polymerase-binding protein DksA,QHJ,A,Information storage and processing
t7ss effector lxg polymorphic toxin,T7SS effector LXG polymorphic toxin,RRA,A,Information storage and processing
xkdf-like putative serine protease domain-containing protein,XkdF-like putative serine protease domain-containing protein,TBB,A,Information storage and processing
endonuclease,endonuclease,ZZX,A,Information storage and processing
histone deacetylase,histone deacetylase,ACYD,B,Information storage and processing
histone deacetylase family protein,histone deacetylase family protein,ACYE,B,Information storage and processing
hypothetical protein,hypothetical protein,ADFU,B,Information storage and processing
doxx family membrane protein,DoxX family membrane protein,ILX,B,Information storage and processing
s-layer homology domain-containing protein,S-layer homology domain-containing protein,QSF,B,Information storage and processing
sir2 family nad-dependent protein deacylase,SIR2 family NAD-dependent protein deacylase,QYF,B,Information storage and processing
swib/mdm2 domain-containing protein,SWIB/MDM2 domain-containing protein,RER,B,Information storage and processing
sir2 family nad-dependent protein deacetylase,Sir2 family NAD-dependent protein deacetylase,RKN,B,Information storage and processing
acetoin utilization protein acuc,acetoin utilization protein AcuC,UDM,B,Information storage and processing
acetylpolyamine amidohydrolase apha,acetylpolyamine amidohydrolase AphA,UFT,B,Information storage and processing
class ii histone deacetylase,class II histone deacetylase,YBV,B,Information storage and processing
elongator complex protein 3,elongator complex protein 3,ZZA,B,Information storage and processing
enediyne biosynthesis protein,enediyne biosynthesis protein,AABG,C,Metabolism
enediyne biosynthesis protein unbu,enediyne biosynthesis protein UnbU,AABH,C,Metabolism
enoyl-coa hydratase,enoyl-CoA hydratase,AACG,C,Metabolism
epoxyqueuosine reductase queh,epoxyqueuosine reductase QueH,AAEU,C,Metabolism
erythritol/l-threitol dehydrogenase,erythritol/L-threitol dehydrogenase,AAFH,C,Metabolism
ethanolamine utilization ethanol dehydrogenase eutg,ethanolamine utilization ethanol dehydrogenase EutG,AAGH,C,Metabolism
ethanolamine utilization microcompartment protein eutk,ethanolamine utilization microcompartment protein EutK,AAGI,C,Metabolism
ethanolamine utilization microcompartment protein eutm,ethanolamine utilization microcompartment protein EutM,AAGK,C,Metabolism
ethanolamine utilization microcompartment protein eutn,ethanolamine utilization microcompartment protein EutN,AAGL,C,Metabolism
ethylbenzene dehydrogenase-related protein,ethylbenzene dehydrogenase-related protein,AAGW,C,Metabolism
exo-alpha-sialidase,exo-alpha-sialidase,AAHS,C,Metabolism
exosortase a,exosortase A,AAJX,C,Metabolism
exosortase b,exosortase B,AAJY,C,Metabolism
fatty acid desaturase,fatty acid desaturase,AAQT,C,Metabolism
ferredoxin,ferredoxin,AARV,C,Metabolism
ferredoxin fdxa,ferredoxin FdxA,AARW,C,Metabolism
ferredoxin fdxc,ferredoxin FdxC,AARX,C,Metabolism
ferredoxin fer,ferredoxin Fer,AARY,C,Metabolism
"ferredoxin iii, nif-specific","ferredoxin III, nif-specific",AARZ,C,Metabolism
ferredoxin family 2fe-2s iron-sulfur cluster binding protein,ferredoxin family 2Fe-2S iron-sulfur cluster binding protein,AASB,C,Metabolism
ferredoxin family protein,ferredoxin family protein,AASC,C,Metabolism
ferredoxin reductase,ferredoxin reductase,AASD,C,Metabolism
ferredoxin--nad(+) reductase,ferredoxin--NAD(+) reductase,AASF,C,Metabolism
ferredoxin--nadp reductase,ferredoxin--NADP reductase,AASG,C,Metabolism
ferredoxin--nadp(+) reductase,ferredoxin--NADP(+) reductase,AASI,C,Metabolism
ferredoxin-like diferric-tyrosyl radical cofactor maintenance protein yfae,ferredoxin-like diferric-tyrosyl radical cofactor maintenance protein YfaE,AASL,C,Metabolism
ferredoxin-like protein,ferredoxin-like protein,AASM,C,Metabolism
ferredoxin-like protein fixx,ferredoxin-like protein FixX,AASN,C,Metabolism
ferredoxin-thioredoxin reductase catalytic domain-containing protein,ferredoxin-thioredoxin reductase catalytic domain-containing protein,AASO,C,Metabolism
ferredoxin-type protein napf,ferredoxin-type protein NapF,AASP,C,Metabolism
ferredoxin-type protein napg,ferredoxin-type protein NapG,AASQ,C,Metabolism
ferredoxin:protochlorophyllide reductase (atp-dependent) subunit b,ferredoxin:protochlorophyllide reductase (ATP-dependent) subunit B,AASV,C,Metabolism
ferredoxin:protochlorophyllide reductase (atp-dependent) subunit n,ferredoxin:protochlorophyllide reductase (ATP-dependent) subunit N,AASW,C,Metabolism
ferric reductase-like transmembrane domain-containing protein,ferric reductase-like transmembrane domain-containing protein,AATJ,C,Metabolism
ferritin family protein,ferritin family protein,AATQ,C,Metabolism
flavin monoamine oxidase family protein,flavin monoamine oxidase family protein,ABDA,C,Metabolism
flavin reductase,flavin reductase,ABDC,C,Metabolism
flavin reductase family protein,flavin reductase family protein,ABDE,C,Metabolism
flavin-containing monooxygenase,flavin-containing monooxygenase,ABDF,C,Metabolism
flavin-dependent monooxygenase qhpg,flavin-dependent monooxygenase QhpG,ABDH,C,Metabolism
flavin-dependent oxidoreductase,flavin-dependent oxidoreductase,ABDI,C,Metabolism
flavin-dependent trigonelline monooxygenase oxygenase component,flavin-dependent trigonelline monooxygenase oxygenase component,ABDJ,C,Metabolism
flavocytochrome c,flavocytochrome c,ABDM,C,Metabolism
flavodoxin,flavodoxin,ABDN,C,Metabolism
flavodoxin flda,flavodoxin FldA,ABDO,C,Metabolism
flavodoxin fldb,flavodoxin FldB,ABDP,C,Metabolism
flavodoxin domain-containing protein,flavodoxin domain-containing protein,ABDQ,C,Metabolism
flavodoxin family protein,flavodoxin family protein,ABDR,C,Metabolism
flavoprotein,flavoprotein,ABDX,C,Metabolism
"formaldehyde dehydrogenase, glutathione-independent","formaldehyde dehydrogenase, glutathione-independent",ABFF,C,Metabolism
formamidase,formamidase,ABFI,C,Metabolism
