module,subcategory,product
replication,DNA repair & recombination,ATP dependent DNA ligase domain protein
replication,DNA repair & recombination,ATP dependent DNA ligase-like protein
replication,DNA repair & recombination,ATP-dependent DNA helicase
replication,DNA repair & recombination,ATP-dependent DNA helicase DinG
replication,DNA repair & recombination,ATP-dependent DNA helicase RecQ
replication,DNA repair & recombination,ATP-dependent DNA helicase UvrD2
replication,DNA repair & recombination,ATP-dependent DNA ligase
replication,DNA repair & recombination,ATP-dependent DNA ligase LigA
replication,DNA repair & recombination,ATP-dependent RecD-like DNA helicase
replication,DNA repair & recombination,Bipolar DNA helicase
replication,DNA repair & recombination,DNA alkylation repair enzyme-like protein
replication,DNA repair & recombination,DNA damage repair protein
replication,DNA repair & recombination,DNA double-strand break repair ATPase Rad50
replication,DNA repair & recombination,DNA double-strand break repair Rad50 ATPase
replication,DNA repair & recombination,DNA double-strand break repair nuclease NurA
replication,DNA repair & recombination,DNA double-strand break repair protein Mre11
replication,DNA repair & recombination,DNA helicase II
replication,DNA repair & recombination,DNA helicase PcrA
replication,DNA repair & recombination,DNA helicase RecQ
replication,DNA repair & recombination,DNA helicase UvrA
replication,DNA repair & recombination,DNA helicase UvrB
replication,DNA repair & recombination,DNA helicase UvrD
replication,DNA repair & recombination,DNA integration/recombination/inversion protein
replication,DNA repair & recombination,DNA ligase
replication,DNA repair & recombination,DNA ligase D
replication,DNA repair & recombination,DNA ligase LigA-related protein
replication,DNA repair & recombination,DNA mismatch repair endonuclease MutH
replication,DNA repair & recombination,DNA mismatch repair endonuclease MutL
replication,DNA repair & recombination,DNA mismatch repair protein MutS
replication,DNA repair & recombination,DNA mismatch repair protein MutT
replication,DNA repair & recombination,DNA polymerase
replication,DNA repair & recombination,DNA polymerase I
replication,DNA repair & recombination,DNA polymerase IV
replication,DNA repair & recombination,DNA polymerase LigD
replication,DNA repair & recombination,DNA polymerase LigD ligase subunit
replication,DNA repair & recombination,DNA polymerase LigD
replication,DNA repair & recombination,DNA polymerase V
replication,DNA repair & recombination,DNA polymerase V catalytic protein
replication,DNA repair & recombination,DNA polymerase V subunit
replication,DNA repair & recombination,DNA polymerase V subunit UmuC
replication,DNA repair & recombination,DNA polymerase Y family protein
replication,DNA repair & recombination,DNA polymerase beta superfamily protein
replication,DNA repair & recombination,DNA polymerase domain-containing protein
replication,DNA repair & recombination,DNA polymerase ligase N-terminal domain-containing protein
replication,DNA repair & recombination,DNA polymerase/3'-5' exonuclease PolX
replication,DNA repair & recombination,DNA recombination protein RecF
replication,DNA repair & recombination,DNA recombination protein RecN
replication,DNA repair & recombination,DNA recombination protein RmuC
replication,DNA repair & recombination,DNA recombination/repair protein RecA
replication,DNA repair & recombination,DNA repair ATPase
replication,DNA repair & recombination,DNA repair and recombination protein RadA
replication,DNA repair & recombination,DNA repair and recombination protein RadB
replication,DNA repair & recombination,DNA repair exonuclease
replication,DNA repair & recombination,DNA repair exonuclease-like protein
replication,DNA repair & recombination,DNA repair helicase XPB
replication,DNA repair & recombination,DNA repair protein
replication,DNA repair & recombination,DNA repair protein MucB
replication,DNA repair & recombination,DNA repair protein NreA
replication,DNA repair & recombination,DNA repair protein PprA
replication,DNA repair & recombination,DNA repair protein Rad50
replication,DNA repair & recombination,DNA repair protein RadA
replication,DNA repair & recombination,DNA repair protein RadC
replication,DNA repair & recombination,DNA repair protein RecN
replication,DNA repair & recombination,DNA repair protein RecO
replication,DNA repair & recombination,DNA repair protein RecO C-terminal domain-containing protein
replication,DNA repair & recombination,DNA replication and repair protein RecF
replication,DNA repair & recombination,DNA replication/repair protein RecF
replication,DNA repair & recombination,DNA topology modulation kinase FlaR
replication,DNA repair & recombination,DNA topology modulation protein
replication,DNA repair & recombination,DNA topology modulation protein FlaR
replication,DNA repair & recombination,DNA-directed DNA polymerase
replication,DNA repair & recombination,HhH-GPD-type base excision DNA repair protein
replication,DNA repair & recombination,Holliday junction DNA helicase RuvB C-terminal domain-containing protein
replication,DNA repair & recombination,MmcB family DNA repair protein
replication,DNA repair & recombination,MutS / MutL / MutH
replication,DNA repair & recombination,MutS family DNA mismatch repair protein
replication,DNA repair & recombination,NAD-dependent DNA ligase
replication,DNA repair & recombination,NAD-dependent DNA ligase LigA
replication,DNA repair & recombination,NAD-dependent DNA ligase LigB
replication,DNA repair & recombination,RNA-directed DNA polymerase
replication,DNA repair & recombination,Rad3-related DNA helicase-like protein
replication,DNA repair & recombination,Rad52/Rad22 family DNA repair protein
replication,DNA repair & recombination,RadA
replication,DNA repair & recombination,RecA DNA recombination protein
replication,DNA repair & recombination,RecBCD
replication,DNA repair & recombination,RecQ family ATP-dependent DNA helicase
replication,DNA repair & recombination,Ref family recombination enhancement nuclease
replication,DNA repair & recombination,Rpn family recombination-promoting nuclease/putative transposase
replication,DNA repair & recombination,SF1B family DNA helicase RecD2
replication,DNA repair & recombination,SOS mutagenesis and repair protein
replication,DNA repair & recombination,SPBc2 prophage-derived DNA ligase-like protein LigB
replication,DNA repair & recombination,TIGR03915 family putative DNA repair protein
replication,DNA repair & recombination,UMUC domain-containing protein DNA-repair protein
replication,DNA repair & recombination,UMUC-like DNA-repair protein
replication,DNA repair & recombination,UV DNA damage repair endonuclease UvsE
replication,DNA repair & recombination,UV damage repair endonuclease
replication,DNA repair & recombination,UV damage repair endonuclease UvdE
replication,DNA repair & recombination,UV damage repair protein
replication,DNA repair & recombination,UV damage repair protein UvrX
replication,DNA repair & recombination,UvrA / UvrC
replication,DNA repair & recombination,UvrABC
replication,DNA repair & recombination,UvrD-helicase domain-containing protein
replication,DNA repair & recombination,UvrD/REP helicase
replication,DNA repair & recombination,YrrC family ATP-dependent DNA helicase
replication,DNA repair & recombination,adenylate kinase DNA topology modulator
replication,DNA repair & recombination,base excision DNA repair protein
replication,DNA repair & recombination,bifunctional 3'-5' exonuclease/DNA polymerase
replication,DNA repair & recombination,bifunctional transcriptional activator/DNA repair enzyme AdaA
replication,DNA repair & recombination,crosslink repair DNA glycosylase YcaQ
replication,DNA repair & recombination,crosslink repair DNA glycosylase YcaQ family protein
replication,DNA repair & recombination,double-strand break repair helicase AddA
replication,DNA repair & recombination,double-strand break repair protein AddB
replication,DNA repair & recombination,family B DNA polymerase
replication,DNA repair & recombination,ligase-associated DNA damage response DEXH box helicase
replication,DNA repair & recombination,ligase-associated DNA damage response endonuclease PdeM
replication,DNA repair & recombination,ligase-associated DNA damage response exonuclease
replication,DNA repair & recombination,non-homologous end-joining DNA ligase
replication,DNA repair & recombination,nucleotide excision repair endonuclease
replication,DNA repair & recombination,nucleotidyltransferase/DNA polymerase involved in DNA repair
replication,DNA repair & recombination,phage DNA polymerase-associated SH3 family protein
replication,DNA repair & recombination,phage recombination protein Bet
replication,DNA repair & recombination,plasmid recombination enzyme
replication,DNA repair & recombination,plasmid recombination protein
replication,DNA repair & recombination,putative DNA helicase
replication,DNA repair & recombination,putative DNA ligase
replication,DNA repair & recombination,putative UvrD/rep helicase family protein
replication,DNA repair & recombination,recombination directionality factor SprB
replication,DNA repair & recombination,recombination enhancement function domain protein
replication,DNA repair & recombination,recombination factor protein RarA
replication,DNA repair & recombination,recombination mediator RecR
replication,DNA repair & recombination,recombination protein NinB
replication,DNA repair & recombination,recombination protein NinG
replication,DNA repair & recombination,recombination protein RecO
replication,DNA repair & recombination,recombination protein RecR
replication,DNA repair & recombination,recombination protein RecT
replication,DNA repair & recombination,recombination regulator RecX
replication,DNA repair & recombination,recombination system host exonuclease inhibitor
replication,DNA repair & recombination,recombination-associated protein RdgC
replication,DNA repair & recombination,recombination-promoting nuclease RpnA
replication,DNA repair & recombination,recombination-promoting nuclease RpnB
replication,DNA repair & recombination,recombination-promoting nuclease RpnC
replication,DNA repair & recombination,replication-associated recombination protein A
replication,DNA repair & recombination,replication-associated recombination protein RarA
replication,DNA repair & recombination,repressor LexA
replication,DNA repair & recombination,retron St85 family RNA-directed DNA polymerase
replication,DNA repair & recombination,sOS mutagenesis and repair protein UmuD
replication,DNA repair & recombination,topology modulation protein
replication,DNA repair & recombination,transcription-repair coupling factor
replication,DNA repair & recombination,transcriptional repressor LexA
replication,DNA repair & recombination,translesion error-prone DNA polymerase V autoproteolytic subunit
replication,DNA repair & recombination,translesion error-prone DNA polymerase V subunit MucB
replication,DNA repair & recombination,translesion error-prone DNA polymerase V subunit UmuC
replication,DNA repair & recombination,trifunctional transcriptional activator/DNA repair protein Ada/methylated-DNA--[protein]-cysteine S-methyltransferase
replication,DNA repair & recombination,type B DNA-directed DNA polymerase
replication,DNA repair & recombination,very short patch repair endonuclease
replication,Machinery / Elongation,DNA gyrase/topoisomerase IV subunit A
replication,Machinery / Elongation,DNA gyrase/topoisomerase IV subunit B
replication,Machinery / Elongation,DNA helicase
replication,Machinery / Elongation,DNA helicase Rep
replication,Machinery / Elongation,DNA polymerase III
replication,Machinery / Elongation,DNA polymerase III DnaE
replication,Machinery / Elongation,DNA polymerase III subunit
replication,Machinery / Elongation,DNA polymerase III subunit alpha
replication,Machinery / Elongation,DNA polymerase III subunit beta
replication,Machinery / Elongation,DNA polymerase III subunit chi
replication,Machinery / Elongation,DNA polymerase III subunit delta
replication,Machinery / Elongation,DNA polymerase III subunit epsilon
replication,Machinery / Elongation,DNA polymerase III subunit gamma/tau
replication,Machinery / Elongation,DNA polymerase III subunit theta
replication,Machinery / Elongation,DNA polymerase sliding clamp
replication,Machinery / Elongation,DNA primase
replication,Machinery / Elongation,DNA primase DnaG
replication,Machinery / Elongation,"DNA primase catalytic core, N-terminal domain protein"
replication,Machinery / Elongation,DNA primase catalytic subunit PriS
replication,Machinery / Elongation,DNA primase family protein
replication,Machinery / Elongation,DNA primase small subunit domain-containing protein
replication,Machinery / Elongation,DNA primase-like protein
replication,Machinery / Elongation,DNA replication protein DnaC
replication,Machinery / Elongation,DNA topoisomerase
replication,Machinery / Elongation,DNA topoisomerase (ATP-hydrolyzing)
replication,Machinery / Elongation,DNA topoisomerase (ATP-hydrolyzing) subunit A
replication,Machinery / Elongation,DNA topoisomerase (ATP-hydrolyzing) subunit B
replication,Machinery / Elongation,DNA topoisomerase 3
replication,Machinery / Elongation,DNA topoisomerase I
replication,Machinery / Elongation,DNA topoisomerase IB
replication,Machinery / Elongation,DNA topoisomerase III
replication,Machinery / Elongation,DNA topoisomerase IV
replication,Machinery / Elongation,DNA topoisomerase IV subunit A
replication,Machinery / Elongation,DNA topoisomerase IV subunit B
replication,Machinery / Elongation,DNA topoisomerase VI subunit B
replication,Machinery / Elongation,DNA topoisomerase family protein
replication,Machinery / Elongation,DNA topoisomerase subunit B
replication,Machinery / Elongation,DnaB family ATPase
replication,Machinery / Elongation,DnaB-like helicase C-terminal domain-containing protein
replication,Machinery / Elongation,DnaB-like helicase N-terminal domain-containing protein
replication,Machinery / Elongation,MCM family protein
replication,Machinery / Elongation,PolC-type DNA polymerase III
replication,Machinery / Elongation,Replicative DNA helicase
replication,Machinery / Elongation,SPI-7-type island replicative DNA helicase
replication,Machinery / Elongation,bacteriophage replication protein A
replication,Machinery / Elongation,bifunctional DNA primase/helicase
replication,Machinery / Elongation,cassette chromosome replicative helicase
replication,Machinery / Elongation,helicase DnaB(1)
replication,Machinery / Elongation,plasmid replication protein B
replication,Machinery / Elongation,primosomal protein N' (replication factor Y) - superfamily II helicase
replication,Machinery / Elongation,primosomal replication protein
replication,Machinery / Elongation,primosomal replication protein N
replication,Machinery / Elongation,primosomal replication protein N''
replication,Machinery / Elongation,primosomal replication protein PriB/PriC domain protein
replication,Machinery / Elongation,primosome assembly protein PriA
replication,Machinery / Elongation,putative DNA polymerase III alpha subunit
replication,Machinery / Elongation,replication factor A
replication,Machinery / Elongation,replication factor C large subunit
replication,Machinery / Elongation,replication factor C small subunit
replication,Machinery / Elongation,replication protein A
replication,Machinery / Elongation,replication protein A2
replication,Machinery / Elongation,replication protein B
replication,Machinery / Elongation,replication restart DNA helicase PriA
replication,Machinery / Elongation,replication restart helicase PriA
replication,Machinery / Elongation,replicative DNA helicase domain-containing protein
replication,Machinery / Elongation,replicative protein
replication,Machinery / Elongation,single-stranded DNA-binding protein SSB1
replication,Machinery / Elongation,single-stranded DNA-binding protein SSB2
replication,Machinery / Elongation,single-stranded DNA-binding protein SsbA
replication,Machinery / Elongation,topoisomerase
replication,Machinery / Elongation,topoisomerase C-terminal repeat-containing protein
replication,Machinery / Elongation,topoisomerase DNA-binding C4 zinc finger domain-containing protein
replication,Machinery / Elongation,topoisomerase II
replication,Machinery / Elongation,topoisomerase IV
replication,Machinery / Elongation,type I DNA topoisomerase
replication,Machinery / Elongation,type IA DNA topoisomerase
replication,Machinery / Elongation,type IIA DNA topoisomerase subunit B
replication,Maintenance / Partition,ATPase involved in chromosome partitioning
replication,Maintenance / Partition,ParA family partition ATPase
replication,Maintenance / Partition,ParA family plasmid-partitioning AAA ATPase
replication,Maintenance / Partition,ParB/RepB/Spo0J family partition protein
replication,Maintenance / Partition,ParB/RepB/Spo0J family plasmid partition protein
replication,Maintenance / Partition,ParC family partition-associated protein
replication,Maintenance / Partition,chromosome partition protein
replication,Maintenance / Partition,chromosome partition protein MukB
replication,Maintenance / Partition,chromosome partition protein MukE
replication,Maintenance / Partition,chromosome partition protein MukF
replication,Maintenance / Partition,chromosome partitioning ATPase-like
replication,Maintenance / Partition,chromosome partitioning protein
replication,Maintenance / Partition,chromosome partitioning protein ParA
replication,Maintenance / Partition,chromosome partitioning protein ParB
replication,Maintenance / Partition,chromosome replication/partitioning protein
replication,Maintenance / Partition,dna-binding plasmid partition protein
replication,Maintenance / Partition,partition protein
replication,Maintenance / Partition,partition protein C
replication,Maintenance / Partition,partitioning protein
replication,Maintenance / Partition,partitioning protein parA
replication,Maintenance / Partition,plasmid partition family protein
replication,Maintenance / Partition,plasmid partition protein
replication,Maintenance / Partition,plasmid partition protein A
replication,Maintenance / Partition,plasmid partition protein B
replication,Maintenance / Partition,plasmid partition protein ParG
replication,Maintenance / Partition,plasmid partitioning protein
replication,Maintenance / Partition,plasmid partitioning protein B
replication,Maintenance / Partition,plasmid partitioning protein RepA
replication,Maintenance / Partition,plasmid partitioning protein RepB
replication,Maintenance / Partition,plasmid partitioning protein RepB C-terminal domain-containing protein
replication,Maintenance / Partition,plasmid partitioning-family protein
replication,Maintenance / Partition,plasmid partitioning/stability family protein
replication,Maintenance / Partition,plasmid replication/partition related protein
replication,Maintenance / Partition,plasmid stability/partitioning protein
replication,Maintenance / Partition,plasmid-partitioning protein
replication,Maintenance / Partition,plasmid-partitioning protein SopA
replication,Maintenance / Partition,stability/ partitioning determinant
replication,Maintenance / Partition,stability/partitioning determinant
replication,Replication Initiator,DNA replication
replication,Replication Initiator,DNA replication protein
replication,Replication Initiator,DNA replication protein DnaD
replication,Replication Initiator,DNA replication protein Orc1
replication,Replication Initiator,DNA replication protein Orc4
replication,Replication Initiator,DNA-primase RepB domain-containing protein
replication,Replication Initiator,IncFII RepA protein family
replication,Replication Initiator,IncHI-type plasmid replication initiator protein RepHI2
replication,Replication Initiator,IncL/M type plasmid replication protein RepC
replication,Replication Initiator,IncL/M-type plasmid replication leader peptide RepB
replication,Replication Initiator,MobC family replication-relaxation protein
replication,Replication Initiator,ORC1-type DNA replication protein
replication,Replication Initiator,Rep family protein
replication,Replication Initiator,Rep protein
replication,Replication Initiator,RepA
replication,Replication Initiator,RepA family protein
replication,Replication Initiator,RepA family replication protein
replication,Replication Initiator,RepA leader peptide Tap
replication,Replication Initiator,RepA plasmid replication protein
replication,Replication Initiator,RepA protein
replication,Replication Initiator,RepA replication protein
replication,Replication Initiator,RepB family DNA primase
replication,Replication Initiator,RepB family plasmid replication initiator protein
replication,Replication Initiator,RepB family protein
replication,Replication Initiator,RepB protein
replication,Replication Initiator,RepB-like protein
replication,Replication Initiator,RepFIB
replication,Replication Initiator,RepS protein
replication,Replication Initiator,Replicase RepFR55
replication,Replication Initiator,Replication protein
replication,Replication Initiator,Replication protein O
replication,Replication Initiator,Replication protein Rep
replication,Replication Initiator,Replication protein RepB
replication,Replication Initiator,Replication protein repL
replication,Replication Initiator,Replication-associated protein RepC
replication,Replication Initiator,STY4534 family ICE replication protein
replication,Replication Initiator,TrfA
replication,Replication Initiator,chromosomal replication initiator protein DnaA
replication,Replication Initiator,firmicute plasmid replication protein RepL
replication,Replication Initiator,helicase RepA family protein
replication,Replication Initiator,incFII family plasmid replication initiator RepA
replication,Replication Initiator,initiator RepB protein
replication,Replication Initiator,leader peptide RepL
replication,Replication Initiator,lytic replication protein
replication,Replication Initiator,orc1/cdc6 family replication initiation protein
replication,Replication Initiator,origin of replication binding family protein
replication,Replication Initiator,phage replication initiation protein
replication,Replication Initiator,"phage replication initiation protein, NGO0469 family"
replication,Replication Initiator,phage replisome organizer N-terminal domain-containing protein
replication,Replication Initiator,phage/plasmid replication domain-containing protein
replication,Replication Initiator,phage/plasmid replication protein
replication,Replication Initiator,"phage/plasmid replication protein, II/X family"
replication,Replication Initiator,phasyl DNA replicon protein arp
replication,Replication Initiator,plasmid replication DNA-binding protein
replication,Replication Initiator,plasmid replication initiation protein
replication,Replication Initiator,plasmid replication initiator RepA
replication,Replication Initiator,plasmid replication initiator TrfA
replication,Replication Initiator,plasmid replication initiator protein A
replication,Replication Initiator,plasmid replication initiator-like protein
replication,Replication Initiator,plasmid replication protein
replication,Replication Initiator,plasmid replication protein (RepB family)
replication,Replication Initiator,plasmid replication protein RepB
replication,Replication Initiator,plasmid replication protein RepC
replication,Replication Initiator,plasmid replication protein RepCa2
replication,Replication Initiator,plasmid replication protein RepH
replication,Replication Initiator,plasmid replication protein RepX
