GCF_ID,organism_name,taxid,species_taxid,assembly_level,refseq_category,kingdom,phylum,class,order,family,genus,species
GCF_050389775.1,Marinibacterium sp. SX1,3388424,3388424.0,Complete Genome,na,,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Marinibacterium,Marinibacterium sp. SX1
GCF_041463965.1,Xanthomonas axonopodis pv. ricini,473415,53413.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Xanthomonas,Xanthomonas axonopodis
GCF_041004245.1,Escherichia coli,562,562.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
GCF_937425535.1,Rhodovastum atsumiense,504468,504468.0,Complete Genome,reference genome,,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Rhodovastum,Rhodovastum atsumiense
GCF_001888205.1,Providencia stuartii,588,588.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Providencia,Providencia stuartii
GCF_023735895.1,Enterobacter hormaechei,158836,158836.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter hormaechei
GCF_001932735.1,Piscirickettsia salmonis,1238,1238.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Piscirickettsia,Piscirickettsia salmonis
GCF_037765365.1,Aeromonas hydrophila,644,644.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas hydrophila
GCF_031676375.1,Klebsiella pneumoniae,573,573.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae
GCF_049904655.1,Pseudoduganella sp. R-34,3404062,3404062.0,Complete Genome,na,,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Pseudoduganella,Pseudoduganella sp. R-34
GCF_001655575.1,Chlamydia trachomatis,813,813.0,Complete Genome,na,,Chlamydiota,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia trachomatis
GCF_045278635.1,Acinetobacter baumannii,470,470.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
GCF_040269895.1,Methyloraptor flagellatus,3162530,3162530.0,Complete Genome,reference genome,,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Ancalomicrobiaceae,Methyloraptor,Methyloraptor flagellatus
GCF_022811565.1,Paenibacillus polymyxa ATCC 842,1036171,1406.0,Complete Genome,reference genome,,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus polymyxa
GCF_027945175.1,Escherichia coli,562,562.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
GCF_000834235.1,Yersinia pestis,632,632.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pestis
GCF_003991175.1,Bacillus thuringiensis,1428,1428.0,Complete Genome,na,,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus thuringiensis
GCF_003609835.1,Sphingopyxis sp. FD7,1914525,1914525.0,Complete Genome,na,,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingopyxidaceae,Sphingopyxis,Sphingopyxis sp. FD7
GCF_030506325.1,Tunicatimonas pelagia,931531,931531.0,Complete Genome,reference genome,,Bacteroidota,Cytophagia,Cytophagales,Catalimonadaceae,Tunicatimonas,Tunicatimonas pelagia
GCF_003019855.1,Plesiomonas shigelloides,703,703.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Plesiomonas,Plesiomonas shigelloides
GCF_034132705.1,Klebsiella aerogenes,548,548.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella aerogenes
GCF_009176785.1,Staphylococcus aureus,1280,1280.0,Complete Genome,na,,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
GCF_007035805.1,Enterobacter asburiae,61645,61645.0,Complete Genome,reference genome,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter asburiae
GCF_037888875.1,Salmonella enterica subsp. enterica serovar Typhimurium,90371,28901.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
GCF_005518015.1,Mycobacterium avium subsp. hominissuis,439334,1764.0,Complete Genome,na,,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium avium
GCF_041221755.1,Klebsiella pneumoniae subsp. pneumoniae,72407,573.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae
GCF_026559795.1,Bacillus anthracis,1392,1392.0,Complete Genome,na,,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus anthracis
GCF_047772305.1,Acinetobacter baumannii,470,470.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
GCF_045865155.1,Yersinia pseudotuberculosis,633,633.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pseudotuberculosis
GCF_040931705.1,Staphylococcus aureus,1280,1280.0,Complete Genome,na,,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
GCF_015767915.1,Streptomyces clavuligerus,1901,1901.0,Complete Genome,na,,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces clavuligerus
GCF_000021305.1,Bacillus cereus G9842,405531,1396.0,Complete Genome,na,,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus
