analysis,target,module,subcategory,feature_col,Code,included_in_target,removed_from_predictors,overlap_categories,exclusion_reason
cog_lkj,L,Replication,,37,AL,True,True,"[""L""]",target code excluded from predictors
cog_lkj,L,Replication,,47,AV,True,True,"[""L""]",target code excluded from predictors
cog_lkj,L,Replication,,109,DF,True,True,"[""J"",""L""]",target code excluded from predictors
cog_lkj,L,Replication,,111,DH,True,True,"[""J"",""L""]",target code excluded from predictors
cog_lkj,L,Replication,,112,DI,True,True,"[""J"",""L""]",target code excluded from predictors
cog_lkj,L,Replication,,342,ME,True,True,"[""L""]",target code excluded from predictors
cog_lkj,L,Replication,,352,MO,True,True,"[""L""]",target code excluded from predictors
cog_lkj,L,Replication,,353,MP,True,True,"[""L""]",target code excluded from predictors
cog_lkj,L,Replication,,354,MQ,True,True,"[""L""]",target code excluded from predictors
cog_lkj,L,Replication,,355,MR,True,True,"[""K"",""L""]",target code excluded from predictors
cog_lkj,L,Replication,,357,MT,True,True,"[""L""]",target code excluded from predictors
cog_lkj,L,Replication,,358,MU,True,True,"[""L""]",target code excluded from predictors
cog_lkj,L,Replication,,359,MV,True,True,"[""L""]",target code excluded from predictors
cog_lkj,L,Replication,,455,QN,True,True,"[""L""]",target code excluded from predictors
cog_lkj,L,Replication,,630,XG,True,True,"[""L""]",target code excluded from predictors
cog_lkj,L,Replication,,632,XI,True,True,"[""L""]",target code excluded from predictors
cog_lkj,L,Replication,,685,ZJ,True,True,"[""L""]",target code excluded from predictors
cog_lkj,L,Replication,,767,ACN,True,True,"[""L""]",target code excluded from predictors
cog_lkj,L,Replication,,810,AEE,True,True,"[""K"",""L""]",target code excluded from predictors
cog_lkj,L,Replication,,819,AEN,True,True,"[""L""]",target code excluded from predictors
cog_lkj,L,Replication,,820,AEO,True,True,"[""L""]",target code excluded from predictors
cog_lkj,L,Replication,,824,AES,True,True,"[""L""]",target code excluded from predictors
cog_lkj,L,Replication,,832,AFA,True,True,"[""K"",""L""]",target code excluded from predictors
cog_lkj,L,Replication,,833,AFB,True,True,"[""K"",""L""]",target code excluded from predictors
cog_lkj,L,Replication,,835,AFD,True,True,"[""K"",""L""]",target code excluded from predictors
cog_lkj,L,Replication,,878,AGU,True,True,"[""K"",""L""]",target code excluded from predictors
cog_lkj,L,Replication,,887,AHD,True,True,"[""J"",""L""]",target code excluded from predictors
cog_lkj,L,Replication,,905,AHV,True,True,"[""L""]",target code excluded from predictors
cog_lkj,L,Replication,,924,AIO,True,True,"[""L""]",target code excluded from predictors
cog_lkj,L,Replication,,932,AIW,True,True,"[""L""]",target code excluded from predictors
cog_lkj,L,Replication,,948,AJM,True,True,"[""K"",""L""]",target code excluded from predictors
cog_lkj,L,Replication,,959,AJX,True,True,"[""L""]",target code excluded from predictors
cog_lkj,L,Replication,,966,AKE,True,True,"[""L""]",target code excluded from predictors
cog_lkj,L,Replication,,971,AKJ,True,True,"[""L""]",target code excluded from predictors
cog_lkj,L,Replication,,1031,AMR,True,True,"[""K"",""L""]",target code excluded from predictors
cog_lkj,L,Replication,,1065,ANZ,True,True,"[""L""]",target code excluded from predictors
cog_lkj,L,Replication,,1066,AOA,True,True,"[""L""]",target code excluded from predictors
cog_lkj,L,Replication,,1067,AOB,True,True,"[""J"",""K"",""L""]",target code excluded from predictors
cog_lkj,L,Replication,,1081,AOP,True,True,"[""K"",""L""]",target code excluded from predictors
cog_lkj,L,Replication,,1082,AOQ,True,True,"[""K"",""L""]",target code excluded from predictors
cog_lkj,L,Replication,,1083,AOR,True,True,"[""L""]",target code excluded from predictors
cog_lkj,L,Replication,,1084,AOS,True,True,"[""L""]",target code excluded from predictors
cog_lkj,L,Replication,,1085,AOT,True,True,"[""L""]",target code excluded from predictors
cog_lkj,L,Replication,,1086,AOU,True,True,"[""L""]",target code excluded from predictors
cog_lkj,L,Replication,,1087,AOV,True,True,"[""L""]",target code excluded from predictors
cog_lkj,L,Replication,,1089,AOX,True,True,"[""J"",""K"",""L""]",target code excluded from predictors
cog_lkj,L,Replication,,1090,AOY,True,True,"[""J"",""K"",""L""]",target code excluded from predictors
cog_lkj,L,Replication,,1091,AOZ,True,True,"[""L""]",target code excluded from predictors
cog_lkj,L,Replication,,1092,APA,True,True,"[""J"",""K"",""L""]",target code excluded from predictors
