COG_category,Code,Product_from_GBFF_major,assignment_status,n_CDS_instances,COG_coverage,dominant_COG_fraction
L,AL,(deoxy)nucleoside triphosphate pyrophosphohydrolase,high_confidence,55.0,1.0,0.9090909090909092
L,AV,"1,2-phenylacetyl-CoA epoxidase subunit PaaD",high_confidence,179.0,1.0,0.5307262569832403
J,CR,16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))- dimethyltransferase RsmA,high_confidence,52.0,1.0,1.0
J,CS,16S rRNA (cytidine(1402)-2'-O)-methyltransferase,high_confidence,48.0,1.0,0.9791666666666666
J,CU,16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH,high_confidence,34.0,1.0,0.9411764705882352
J,CV,16S rRNA (cytosine(1407)-C(5))-methyltransferase RsmF,high_confidence,12.0,1.0,1.0
J,CW,16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB,high_confidence,19.0,1.0,1.0
J,CX,16S rRNA (guanine(1207)-N(2))-methyltransferase RsmC,high_confidence,9.0,1.0,1.0
J,DF,16S rRNA (guanine(1516)-N(2))-methyltransferase RsmJ,high_confidence,7.0,1.0,0.8571428571428571
L,DF,16S rRNA (guanine(1516)-N(2))-methyltransferase RsmJ,high_confidence,7.0,1.0,0.8571428571428571
J,DG,16S rRNA (guanine(527)-N(7))-methyltransferase RsmG,high_confidence,37.0,1.0,0.945945945945946
J,DH,16S rRNA (guanine(966)-N(2))-methyltransferase,high_confidence,5.0,1.0,0.6
L,DH,16S rRNA (guanine(966)-N(2))-methyltransferase,high_confidence,5.0,1.0,0.6
J,DI,16S rRNA (guanine(966)-N(2))-methyltransferase RsmD,high_confidence,27.0,1.0,0.8148148148148148
L,DI,16S rRNA (guanine(966)-N(2))-methyltransferase RsmD,high_confidence,27.0,1.0,0.8148148148148148
J,DJ,16S rRNA (uracil(1498)-N(3))-methyltransferase,high_confidence,56.0,1.0,0.9285714285714286
J,DL,16S rRNA pseudouridine(516) synthase,low_count,4.0,1.0,1.0
J,DM,16S rRNA pseudouridine(516) synthase RsuA,high_confidence,16.0,1.0,1.0
J,DN,16S ribosomal RNA methyltransferase A,low_count,1.0,1.0,1.0
J,DP,2'-5' RNA ligase family protein,high_confidence,100.0,0.81,0.9753086419753086
J,HS,2-iminobutanoate/2-iminopropanoate deaminase,high_confidence,10.0,1.0,1.0
J,KI,23S rRNA (adenine(1618)-N(6))-methyltransferase RlmF,high_confidence,24.0,1.0,0.75
J,KJ,23S rRNA (adenine(2030)-N(6))-methyltransferase,low_count,1.0,1.0,1.0
J,KK,23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ,ambiguous,36.0,1.0,0.4444444444444444
J,KL,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(42),low_count,1.0,1.0,1.0
J,KM,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(46),low_count,2.0,1.0,1.0
J,KP,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A),low_count,1.0,1.0,1.0
J,KQ,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),high_confidence,6.0,1.0,1.0
J,KX,23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN,high_confidence,26.0,1.0,0.9615384615384616
J,LC,23S rRNA (cytidine(2498)-2'-O)-methyltransferase RlmM,high_confidence,11.0,1.0,1.0
J,LD,23S rRNA (cytosine(1962)-C(5))-methyltransferase RlmI,high_confidence,10.0,1.0,1.0
J,LE,23S rRNA (guanine(1835)-N(2))-methyltransferase RlmG,high_confidence,8.0,1.0,1.0
J,LF,23S rRNA (guanine(745)-N(1))-methyltransferase,high_confidence,10.0,1.0,0.5
J,LG,23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB,high_confidence,52.0,1.0,0.9615384615384616
J,LH,23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH,high_confidence,38.0,1.0,0.9736842105263158
J,LI,23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD,high_confidence,29.0,1.0,1.0
J,LK,23S rRNA (uracil(747)-C(5))-methyltransferase RlmC,high_confidence,11.0,1.0,0.8181818181818182
J,LM,23S rRNA (uridine(2552)-2'-O)-methyltransferase,low_count,1.0,1.0,1.0
J,LN,23S rRNA (uridine(2552)-2'-O)-methyltransferase RlmE,high_confidence,19.0,1.0,1.0
J,LT,23S rRNA pseudouridine(1911/1915/1917) synthase RluD,high_confidence,25.0,1.0,1.0
J,LU,23S rRNA pseudouridine(2457) synthase RluE,high_confidence,21.0,1.0,1.0
J,LV,23S rRNA pseudouridine(2604) synthase RluF,high_confidence,19.0,1.0,1.0
J,LW,23S rRNA pseudouridine(2605) synthase RluB,high_confidence,18.0,1.0,1.0
J,LX,23S rRNA pseudouridine(955/2504/2580) synthase RluC,high_confidence,14.0,1.0,1.0
J,LY,23S ribosomal RNA methyltransferase Erm,low_count,2.0,1.0,1.0
L,ME,2OG-Fe(II) oxygenase,high_confidence,228.0,0.543859649122807,0.5806451612903226
K,MG,2TM domain-containing protein,high_confidence,8.0,1.0,0.5
L,MO,3'-5' exonuclease,high_confidence,1178.0,0.9762308998302208,0.997391304347826
L,MP,3'-5' exonuclease KapD,low_count,1.0,1.0,1.0
L,MQ,3'-5' exonuclease family protein,high_confidence,6.0,1.0,1.0
K,MR,3'-5' exoribonuclease,high_confidence,53.0,0.9433962264150944,0.9
L,MR,3'-5' exoribonuclease,high_confidence,53.0,0.9433962264150944,0.9
L,MT,3'-5' exoribonuclease YhaM family protein,high_confidence,9.0,1.0,0.8888888888888888
L,MU,3'-5' exoribonuclease domain-containing protein,low_count,9.0,0.2222222222222222,1.0
L,MV,3'-5' ssDNA/RNA exonuclease TatD,high_confidence,14.0,1.0,1.0
J,NS,3-aminoacrylate deaminase,low_count,4.0,1.0,1.0
K,QA,3-keto-5-aminohexanoate cleavage protein,high_confidence,356.0,0.9971910112359552,0.9746478873239436
L,QN,3-methyladenine DNA glycosylase,low_count,3.0,1.0,0.6666666666666666
J,RY,30S ribosomal protein S1,high_confidence,57.0,1.0,1.0
J,RZ,30S ribosomal protein S10,high_confidence,48.0,0.9583333333333334,1.0
J,SA,30S ribosomal protein S11,high_confidence,47.0,1.0,1.0
J,SB,30S ribosomal protein S12,high_confidence,51.0,1.0,1.0
J,SC,30S ribosomal protein S12 methylthiotransferase RimO,high_confidence,43.0,1.0,0.9767441860465116
J,SE,30S ribosomal protein S13,high_confidence,47.0,1.0,1.0
J,SF,30S ribosomal protein S14,high_confidence,50.0,1.0,1.0
J,SG,30S ribosomal protein S15,high_confidence,39.0,1.0,1.0
J,SH,30S ribosomal protein S16,high_confidence,45.0,1.0,1.0
J,SI,30S ribosomal protein S17,high_confidence,47.0,1.0,1.0
J,SJ,30S ribosomal protein S17e,low_count,4.0,0.75,1.0
J,SK,30S ribosomal protein S18,high_confidence,52.0,1.0,1.0
J,SL,30S ribosomal protein S19,high_confidence,46.0,1.0,1.0
J,SM,30S ribosomal protein S19e,low_count,1.0,1.0,1.0
J,SN,30S ribosomal protein S2,high_confidence,47.0,1.0,1.0
J,SO,30S ribosomal protein S20,high_confidence,45.0,1.0,1.0
J,SP,30S ribosomal protein S21,high_confidence,75.0,1.0,1.0
J,SQ,30S ribosomal protein S24e,low_count,1.0,1.0,1.0
J,SR,30S ribosomal protein S27ae,low_count,1.0,1.0,1.0
J,SS,30S ribosomal protein S27e,low_count,1.0,1.0,1.0
J,ST,30S ribosomal protein S28e,low_count,1.0,1.0,1.0
J,SU,30S ribosomal protein S3,high_confidence,43.0,1.0,1.0
J,SV,30S ribosomal protein S3ae,low_count,1.0,1.0,1.0
J,SW,30S ribosomal protein S4,high_confidence,49.0,1.0,1.0
J,SX,30S ribosomal protein S4e,low_count,2.0,1.0,1.0
J,SY,30S ribosomal protein S5,high_confidence,49.0,1.0,1.0
J,TA,30S ribosomal protein S6,high_confidence,45.0,1.0,1.0
J,TB,30S ribosomal protein S6--L-glutamate ligase,high_confidence,28.0,1.0,0.7142857142857143
J,TC,30S ribosomal protein S6e,low_count,1.0,1.0,1.0
J,TD,30S ribosomal protein S7,high_confidence,50.0,1.0,1.0
J,TE,30S ribosomal protein S8,high_confidence,49.0,1.0,1.0
J,TF,30S ribosomal protein S8e,low_count,1.0,1.0,1.0
J,TG,30S ribosomal protein S9,high_confidence,59.0,1.0,1.0
J,TJ,30S ribosome-binding factor RbfA,high_confidence,38.0,1.0,1.0
K,VS,4-hydroxyphenylacetate catabolism regulatory protein HpaA,high_confidence,11.0,1.0,0.9090909090909092
K,WQ,4Fe-4S binding protein,high_confidence,143.0,1.0,1.0
K,XE,"5' nucleotidase, NT5C type",high_confidence,38.0,0.5,0.9473684210526316
L,XG,5'-3' exonuclease,high_confidence,27.0,1.0,1.0
L,XI,5'-3' exonuclease H3TH domain-containing protein,high_confidence,805.0,0.9987577639751553,0.9975124378109452
L,ZJ,5-oxoprolinase subunit B family protein,high_confidence,17.0,1.0,0.7058823529411765
J,ZR,50S ribosomal protein L1,high_confidence,51.0,1.0,1.0
J,ZS,50S ribosomal protein L10,high_confidence,49.0,1.0,1.0
J,ZT,50S ribosomal protein L11,high_confidence,51.0,1.0,1.0
J,ZU,50S ribosomal protein L11 methyltransferase,high_confidence,39.0,0.9743589743589745,0.8157894736842105
J,ZW,50S ribosomal protein L13,high_confidence,61.0,0.9672131147540984,1.0
J,ZX,50S ribosomal protein L14,high_confidence,49.0,1.0,1.0
J,ZY,50S ribosomal protein L15,high_confidence,47.0,1.0,1.0
J,ZZ,50S ribosomal protein L15e,low_count,1.0,1.0,1.0
J,AAA,50S ribosomal protein L16,high_confidence,46.0,1.0,1.0
J,AAB,50S ribosomal protein L17,high_confidence,46.0,1.0,1.0
J,AAC,50S ribosomal protein L18,high_confidence,49.0,1.0,1.0
J,AAE,50S ribosomal protein L18e,low_count,1.0,1.0,1.0
J,AAF,50S ribosomal protein L19,high_confidence,47.0,1.0,1.0
J,AAG,50S ribosomal protein L19e,low_count,2.0,1.0,1.0
J,AAH,50S ribosomal protein L2,high_confidence,47.0,1.0,1.0
J,AAI,50S ribosomal protein L20,high_confidence,47.0,1.0,1.0
J,AAJ,50S ribosomal protein L21,high_confidence,45.0,1.0,1.0
J,AAK,50S ribosomal protein L21e,low_count,1.0,1.0,1.0
J,AAL,50S ribosomal protein L22,high_confidence,48.0,0.9791666666666666,1.0
J,AAM,50S ribosomal protein L23,high_confidence,47.0,1.0,1.0
J,AAN,50S ribosomal protein L24,high_confidence,47.0,1.0,1.0
J,AAO,50S ribosomal protein L24e,low_count,1.0,1.0,1.0
J,AAP,50S ribosomal protein L25,high_confidence,21.0,1.0,1.0
J,AAQ,50S ribosomal protein L25/general stress protein Ctc,high_confidence,39.0,1.0,1.0
J,AAR,50S ribosomal protein L27,high_confidence,46.0,1.0,1.0
J,AAS,50S ribosomal protein L28,high_confidence,58.0,1.0,1.0
J,AAT,50S ribosomal protein L29,high_confidence,48.0,0.9791666666666666,1.0
J,AAU,50S ribosomal protein L3,high_confidence,47.0,1.0,1.0
J,AAV,50S ribosomal protein L3 N(5)-glutamine methyltransferase,high_confidence,25.0,1.0,1.0
J,AAW,50S ribosomal protein L30,high_confidence,45.0,1.0,1.0
J,AAY,50S ribosomal protein L31,high_confidence,43.0,1.0,1.0
J,AAZ,50S ribosomal protein L31e,low_count,1.0,1.0,1.0
J,ABA,50S ribosomal protein L32,high_confidence,53.0,0.981132075471698,1.0
J,ABB,50S ribosomal protein L32e,low_count,2.0,1.0,1.0
J,ABC,50S ribosomal protein L33,high_confidence,86.0,0.9767441860465116,1.0
J,ABD,50S ribosomal protein L34,high_confidence,37.0,1.0,1.0
J,ABE,50S ribosomal protein L35,high_confidence,46.0,1.0,1.0
J,ABF,50S ribosomal protein L36,high_confidence,42.0,1.0,1.0
J,ABH,50S ribosomal protein L37ae,low_count,1.0,1.0,1.0
J,ABI,50S ribosomal protein L37e,low_count,1.0,1.0,1.0
J,ABJ,50S ribosomal protein L39e,low_count,1.0,1.0,1.0
J,ABK,50S ribosomal protein L4,high_confidence,47.0,1.0,1.0
J,ABL,50S ribosomal protein L40e,low_count,1.0,1.0,1.0
J,ABM,50S ribosomal protein L44e,low_count,1.0,1.0,1.0
J,ABN,50S ribosomal protein L5,high_confidence,49.0,1.0,1.0
J,ABO,50S ribosomal protein L6,high_confidence,49.0,1.0,1.0
J,ABP,50S ribosomal protein L7/L12,high_confidence,53.0,0.9622641509433962,1.0
J,ABQ,50S ribosomal protein L7/L12-serine acetyltransferase,high_confidence,10.0,1.0,1.0
J,ABR,50S ribosomal protein L7ae,low_count,7.0,0.1428571428571428,1.0
J,ABS,50S ribosomal protein L7ae,low_count,7.0,0.1428571428571428,1.0
J,ABT,50S ribosomal protein L7ae-like protein,low_count,2.0,1.0,1.0
J,ABU,50S ribosomal protein L9,high_confidence,42.0,1.0,1.0
J,ABV,50S ribosomal protein P1,low_count,2.0,1.0,1.0
L,ACN,6-hydroxynicotinate reductase,high_confidence,6.0,1.0,1.0
J,ADQ,60S ribosomal export protein NMD3,low_count,1.0,1.0,1.0
K,AEE,7TM diverse intracellular signaling domain-containing protein,ambiguous,5.0,1.0,0.4
L,AEE,7TM diverse intracellular signaling domain-containing protein,ambiguous,5.0,1.0,0.4
L,AEN,8-oxo-dGTP diphosphatase,high_confidence,17.0,1.0,0.8823529411764706
L,AEO,8-oxo-dGTP diphosphatase MutT,high_confidence,17.0,1.0,0.9411764705882352
L,AES,A/G-specific adenine glycosylase,high_confidence,54.0,1.0,1.0
K,AEU,A1S_2505 family phage non-structural protein,low_count,3.0,0.6666666666666666,1.0
K,AFA,AAA domain-containing protein,high_confidence,109.0,0.9724770642201837,0.9716981132075472
L,AFA,AAA domain-containing protein,high_confidence,109.0,0.9724770642201837,0.9716981132075472
K,AFB,AAA family ATPase,ambiguous,6709.0,0.9212997466090328,0.3581944669147387
L,AFB,AAA family ATPase,ambiguous,6709.0,0.9212997466090328,0.3581944669147387
K,AFD,AAA-like domain-containing protein,ambiguous,11.0,1.0,0.4545454545454545
L,AFD,AAA-like domain-containing protein,ambiguous,11.0,1.0,0.4545454545454545
K,AFH,AAC(3)-I family aminoglycoside N-acetyltransferase,low_count,4.0,1.0,1.0
J,AFK,AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase,high_confidence,14.0,1.0,1.0
K,AGU,ABC transporter substrate-binding protein,high_confidence,10905.0,0.9947730398899588,0.5511615044247787
L,AGU,ABC transporter substrate-binding protein,high_confidence,10905.0,0.9947730398899588,0.5511615044247787
J,AHD,ABC-F family ATP-binding cassette domain-containing protein,high_confidence,216.0,1.0,0.9907407407407408
L,AHD,ABC-F family ATP-binding cassette domain-containing protein,high_confidence,216.0,1.0,0.9907407407407408
L,AHV,ABC-three component system middle component 2,low_count,25.0,0.12,1.0
K,AIB,ABC-three component system protein,ambiguous,68.0,0.2941176470588235,0.45
L,AIO,ADP compounds hydrolase NudE,high_confidence,7.0,1.0,1.0
L,AIW,ADP-ribose diphosphatase,high_confidence,9.0,1.0,1.0
K,AJM,ADP-ribosyltransferase domain-containing protein,low_count,3.0,1.0,0.6666666666666666
L,AJM,ADP-ribosyltransferase domain-containing protein,low_count,3.0,1.0,0.6666666666666666
L,AJX,AHH domain-containing protein,high_confidence,20.0,0.85,0.8235294117647058
K,AJZ,AI-2E family transporter,high_confidence,700.0,1.0,0.9357142857142856
L,AKE,AIPR family protein,high_confidence,31.0,0.9032258064516128,0.8571428571428571
L,AKJ,ALF repeat-containing protein,high_confidence,15.0,0.5333333333333333,0.5
J,AKP,AMP-binding enzyme,high_confidence,16.0,1.0,0.8125
K,ALU,ANTAR domain-containing protein,high_confidence,46.0,0.8043478260869565,0.6216216216216216
K,ALV,ANTAR domain-containing response regulator,high_confidence,189.0,1.0,0.7619047619047619
J,AMC,APH(3'') family aminoglycoside O-phosphotransferase,low_count,2.0,1.0,0.5
J,AMD,APH(3') family aminoglycoside O-phosphotransferase,low_count,1.0,1.0,1.0
J,AMG,APH(3')-II family aminoglycoside O-phosphotransferase,low_count,3.0,1.0,0.6666666666666666
