GCF_ID,Plasmid_ID,Length,Total_tRNA,sample_id,num_contigs,size,gc,md5,rep_type(s),rep_type_accession(s),relaxase_type(s),relaxase_type_accession(s),mpf_type,mpf_type_accession(s),orit_type(s),orit_accession(s),predicted_mobility,mash_nearest_neighbor,mash_neighbor_distance,mash_neighbor_identification,primary_cluster_id,secondary_cluster_id,predicted_host_range_overall_rank,predicted_host_range_overall_name,observed_host_range_ncbi_rank,observed_host_range_ncbi_name,reported_host_range_lit_rank,reported_host_range_lit_name,associated_pmid(s),has_tRNA,mobility_status,size_group
GCF_000011085.1,NC_006394.1,155300,1,"NC_006394.1 Haloarcula marismortui ATCC 43049 plasmid pNG600, complete sequence",1.0,155300.0,0.5833290405666453,d055700bd58d495a523dc3ac6e7505b8,-,-,-,-,-,-,-,-,non-mobilizable,CP023440,0.295981,Thauera sp. K11,AG105,AQ123,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_000025625.1,NC_013923.1,378348,1,"NC_013923.1 Natrialba magadii ATCC 43099 plasmid pNMAG01, complete sequence",1.0,378348.0,0.6009176736760866,19d8f60366ab1cea88a878c5b1d13158,-,-,-,-,-,-,-,-,non-mobilizable,CP040761,0.295981,Paracoccus sp. 2251,AB554,AK390,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_000196895.1,NC_014298.1,406285,1,"NC_014298.1 Halalkalicoccus jeotgali B3 plasmid 1, complete sequence",1.0,406285.0,0.5526563865266992,611a36a07f631c04b528117b6330d0c9,-,-,-,-,-,-,-,-,non-mobilizable,CP031654,1.0,Escherichia coli,AA379,AI397,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_000306765.2,NC_017943.1,321908,1,"NC_017943.1 Haloferax mediterranei ATCC 33500 plasmid pHM300, complete sequence",1.0,321908.0,0.5789853001478683,b07566aa3ec671487eaf4574644091e8,-,-,-,-,-,-,-,-,non-mobilizable,LR134455,0.295981,Tsukamurella tyrosinosolvens,AE457,AO240,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_000328665.1,NC_019972.1,285109,1,"NC_019972.1 Methanomethylovorans hollandica DSM 15978 plasmid pMETHO01, complete sequence",1.0,285109.0,0.3541733161703068,5929bfcb1d8f17913d35ed2e876960a9,rep_cluster_57,001968__NC_019972_00156,-,-,-,-,-,-,non-mobilizable,NC_011875,0.295981,Borreliella garinii Far04,AD256,AM735,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_001190965.1,NZ_CP011949.1,335881,1,"NZ_CP011949.1 Haloferax gibbonsii strain ARA6 plasmid pHG2, complete sequence",1.0,335881.0,0.6685373688895769,634739147eca9a659f31777086055410,-,-,-,-,-,-,-,-,non-mobilizable,CP031654,1.0,Escherichia coli,AA379,AI397,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_001488575.1,NZ_LN831305.1,112459,1,"NZ_LN831305.1 Halobacterium hubeiense strain JI20-1 plasmid pSTJ003, complete sequence",1.0,112459.0,0.5650592660436248,dca5a889f8d424e503752139c6b0a5a1,-,-,-,-,-,-,-,-,non-mobilizable,NC_023068,0.295981,Streptomyces sp. F11,AG351,AQ382,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_002906575.1,NZ_CP026311.1,198037,1,"NZ_CP026311.1 Salinigranum rubrum strain GX10 plasmid unnamed2, complete sequence",1.0,198037.0,0.5918338492301943,c4d8d6a1c12ecfc59d21f655812c0b37,-,-,-,-,-,-,-,-,non-mobilizable,CP031654,1.0,Escherichia coli,AA379,AI397,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_003342675.1,NZ_CP031149.1,147062,1,"NZ_CP031149.1 Haloplanus rubicundus strain CBA1112 plasmid pCBA1112-02, complete sequence",1.0,147062.0,0.5668493560539092,a3b5fc7ed167894d40f2ddf193ef0280,-,-,-,-,-,-,-,-,non-mobilizable,CP031654,1.0,Escherichia coli,AA379,AI397,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_004799645.1,NZ_CP031306.1,827667,10,"NZ_CP031306.1 Natronorubrum bangense strain JCM 10635 plasmid unnamed1, complete sequence",1.0,827667.0,0.5936880412049773,c0b670bfc9d96adfcf74b1ef99095212,-,-,-,-,-,-,-,-,non-mobilizable,LR134450,0.295981,Tsukamurella tyrosinosolvens,AE452,AO235,-,-,-,-,-,-,-,True,available,≥100 kb
