GCF_ID,Replicon_Acc,Group,Total_tRNA,Size_bp_from_GBFF,log10_Size_bp,GC_Content,tRNA_Group,Coding_Density
GCF_000006805.1,NC_001869.1,Non_tRNA_Plasmid,0,191346,5.281819387929293,57.90870987634965,tRNA-,80.62776331880468
GCF_000006805.1,NC_002608.1,Non_tRNA_Plasmid,0,365425,5.5627982556345925,59.22419101046727,tRNA-,81.18410070465896
GCF_000009185.1,NC_008213.1,Non_tRNA_Plasmid,0,46867,4.670867154818605,47.67320289329378,tRNA-,67.23494143000406
GCF_000011085.1,NC_006389.1,Non_tRNA_Plasmid,0,33303,4.5224833573730105,54.253370567216166,tRNA-,72.39588025102843
GCF_000011085.1,NC_006390.1,Non_tRNA_Plasmid,0,33452,4.524422088112752,55.62597154131292,tRNA-,76.09111562836303
GCF_000011085.1,NC_006391.1,Non_tRNA_Plasmid,0,39521,4.596827925009401,60.018724222565226,tRNA-,78.65438627565092
GCF_000011085.1,NC_006392.1,Non_tRNA_Plasmid,0,50060,4.699490845272204,57.34918098282061,tRNA-,71.31242508989213
GCF_000011085.1,NC_006393.1,Non_tRNA_Plasmid,0,132678,5.12279891630305,54.48228040820633,tRNA-,77.29616062949397
GCF_000011085.1,NC_006394.1,tRNA_Plasmid,1,155300,5.191171455728559,58.332904056664525,tRNA+,86.79459111397296
GCF_000011085.1,NC_006395.1,Non_tRNA_Plasmid,0,410554,5.613370287788336,59.11914145276869,tRNA-,84.42665276674931
GCF_000015225.1,NC_008696.1,Non_tRNA_Plasmid,0,31504,4.498365698794043,56.54202640934485,tRNA-,84.90033011681057
GCF_000016125.1,NC_009136.1,Non_tRNA_Plasmid,0,8285,3.918292512755356,27.24200362100181,tRNA-,76.8135184067592
GCF_000022205.1,NC_012030.1,Non_tRNA_Plasmid,0,431338,5.634817720291424,54.86092113377444,tRNA-,77.35951852143795
GCF_000022485.1,NC_012624.1,Non_tRNA_Plasmid,0,42245,4.625775314447625,36.10841519706474,tRNA-,86.78186767664812
GCF_000023965.1,NC_013201.1,Non_tRNA_Plasmid,0,221862,5.346082923667135,64.15158972694738,tRNA-,83.84085602762077
GCF_000023985.1,NC_013157.1,Non_tRNA_Plasmid,0,22190,4.346157302232008,32.78503830554303,tRNA-,88.25146462370436
GCF_000024625.1,NC_013408.1,Non_tRNA_Plasmid,0,10704,4.029546100423748,46.31913303437968,tRNA-,70.75859491778775
