seq_id	plasflow_class	source_file
NC_013793.1|NC_013793|3	unclassified	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_003037.1|NC_003037|2	plasmid	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_003078.1|NC_003078|3	plasmid	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_003296.1|NC_003296|2	plasmid	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_007507.1|NC_007507|2	plasmid	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_007505.1|NC_007505|3	plasmid	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_005241.1|NC_005241|3	plasmid	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_003273.1|NC_003273|4	plasmid	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_013855.1|NC_013855|2	plasmid	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_013856.1|NC_013856|3	plasmid	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_013857.1|NC_013857|4	plasmid	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_013858.1|NC_013858|5	plasmid	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_013859.1|NC_013859|6	plasmid	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_013370.1|NC_013370|3	plasmid	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_006394.1|NC_006394|8	unclassified	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_006569.1|NC_006569|2	unclassified	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_007901.1|NC_007901|2	plasmid	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_008043.1|NC_008043|2	unclassified	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_008042.1|NC_008042|3	plasmid	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_008505.1|NC_008505|4	unclassified	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_008269.1|NC_008269|2	plasmid	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_008712.1|NC_008712|2	plasmid	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_008758.1|NC_008758|3	unclassified	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_008759.1|NC_008759|4	chromosome	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_008760.1|NC_008760|5	chromosome	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_008826.1|NC_008826|2	unclassified	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_009035.1|NC_009035|2	chromosome	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_009620.1|NC_009620|2	plasmid	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_009621.1|NC_009621|3	plasmid	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_009929.1|NC_009929|5	plasmid	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_000914.2|NC_000914|2	plasmid	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_010474.1|NC_010474|7	unclassified	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_010510.1|NC_010510|2	unclassified	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_010514.1|NC_010514|4	plasmid	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_010517.1|NC_010517|5	plasmid	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_010502.1|NC_010502|7	plasmid	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_010625.1|NC_010625|3	plasmid	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_011774.1|NC_011774|2	plasmid	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_011961.1|NC_011961|2	unclassified	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_011879.1|NC_011879|2	plasmid	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_011892.1|NC_011892|2	plasmid	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_012720.2|NC_012720|5	plasmid	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_012725.2|NC_012725|6	plasmid	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_012811.1|NC_012811|2	plasmid	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_010813.1|NC_010813|2	unclassified	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_013734.1|NC_013734|5	plasmid	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_013736.1|NC_013736|7	plasmid	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_013737.1|NC_013737|8	unclassified	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_014107.1|NC_014107|2	plasmid	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_013923.1|NC_013923|2	chromosome	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_004604.2|NC_004604|5	unclassified	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_014023.1|NC_014023|8	unclassified	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_014157.1|NC_014157|5	unclassified	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_014149.1|NC_014149|2	unclassified	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_014390.1|NC_014390|3	chromosome	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NZ_CP031226.1|NZ_CP031226|2	unclassified	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_017324.1|NC_017324|2	plasmid	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_017323.1|NC_017323|3	plasmid	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_015952.1|NC_015952|3	unclassified	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_018421.1|NC_018421|2	plasmid	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_018291.1|NC_018291|2	plasmid	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_022111.1|NC_022111|2	unclassified	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_014621.1|NC_014621|2	unclassified	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_014628.2|NC_014628|2	unclassified	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_014633.1|NC_014633|2	unclassified	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_017962.1|NC_017962|3	plasmid	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_014839.1|NC_014839|3	plasmid	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_014824.1|NC_014824|2	unclassified	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_014753.1|NC_014753|2	unclassified	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_020524.1|NC_020524|3	unclassified	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_015377.1|NC_015377|4	plasmid	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_003385.1|NC_003385|3	plasmid	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_007974.2|NC_007974|2	unclassified	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_014298.1|NC_014298|2	unclassified	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_015417.1|NC_015417|2	plasmid	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_017177.1|NC_017177|2	unclassified	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_015598.1|NC_015598|2	chromosome	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_017575.1|NC_017575|2	plasmid	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_017327.1|NC_017327|2	plasmid	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_017326.1|NC_017326|3	plasmid	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_015727.1|NC_015727|3	plasmid	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NC_015724.1|NC_015724|4	plasmid	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
NZ_CP137017.1|NZ_CP137017|4	plasmid	trna_plasmid_records_filtered_1000bp_singleline.part_001_plasflow.tsv
