phylum,Genome_ID,Replicon_ID,all_CDS_n,nonhypothetical_CDS_n,nonhypothetical_coding_nt_n,informative_family_n,plasmid_CCI_big_gene
Actinomycetota,GCF_000022025.1,NC_011879.1,542,164,163425,18,1.47088757413504
Actinomycetota,GCF_000147815.2,NC_015952.1,238,54,49008,1,1.1303441084462982
Actinomycetota,GCF_000444875.1,NC_022001.1,76,33,31683,1,1.2710951526032317
Actinomycetota,GCF_000612545.2,NZ_CP097801.1,96,60,54081,1,1.7338129496402876
Actinomycetota,GCF_001182745.1,NZ_LN868939.1,2496,1984,2082591,15,1.3553297340702468
Actinomycetota,GCF_001281315.1,NZ_CP012477.1,633,543,564828,7,1.0015921739034332
Actinomycetota,GCF_001454985.1,NZ_CP013298.1,103,68,66750,1,1.177327935222672
Actinomycetota,GCF_001482365.1,NZ_CP013255.1,108,68,67992,1,1.732590529247911
Actinomycetota,GCF_001482365.1,NZ_CP013256.1,6,4,6540,1,1.7567567567567568
Actinomycetota,GCF_001652465.1,NZ_CP015811.1,15,7,5499,1,0.9924812030075189
Actinomycetota,GCF_001652465.1,NZ_CP015812.1,11,5,7581,1,1.4347826086956523
Actinomycetota,GCF_001685605.1,NZ_CP009112.1,702,544,555774,1,0.8266577807397534
Actinomycetota,GCF_001750065.2,NZ_CP012886.2,462,229,205425,18,1.1500088953319234
Actinomycetota,GCF_001865635.4,NZ_CP009406.2,21,7,6312,1,1.125
Actinomycetota,GCF_002156805.1,NZ_CP021253.1,26,20,19614,1,1.1294117647058823
Actinomycetota,GCF_002157835.1,NZ_CP020813.1,66,30,25278,1,1.7412935323383083
Actinomycetota,GCF_002189675.2,NZ_CP023976.1,269,124,117777,1,0.0757946210268948
Actinomycetota,GCF_002216795.1,NZ_CP022318.1,52,18,18297,1,2.9367088607594938
Actinomycetota,GCF_002716905.3,NZ_CP059000.1,129,85,100314,1,0.7037643207855974
Actinomycetota,GCF_002716925.3,NZ_CP076859.1,151,105,135234,17,1.1251835011274345
Actinomycetota,GCF_002716925.3,NZ_CP076860.1,368,147,151413,17,1.1269737439265397
Actinomycetota,GCF_002716965.3,NZ_CP076857.1,315,242,280842,1,0.6501580611169653
Actinomycetota,GCF_003013675.1,NZ_CP027794.1,150,34,26883,6,1.84760568181355
Actinomycetota,GCF_003147545.1,NZ_CP029362.1,94,77,86640,1,1.8333333333333333
Actinomycetota,GCF_003234335.2,NZ_CP126264.1,121,63,59913,4,0.3409503915708223
Actinomycetota,GCF_004345205.2,NZ_CP036222.2,21,7,6312,1,1.125
Actinomycetota,GCF_009002535.1,NZ_AP020327.1,200,84,86835,2,1.229023812912141
Actinomycetota,GCF_009859915.1,NZ_CP046573.1,878,597,606561,1,0.8676036786395974
Actinomycetota,GCF_011611865.1,NZ_CP050126.1,29,22,17988,1,1.309090909090909
Actinomycetota,GCF_014673495.1,NZ_CP051007.1,145,116,154362,1,1.6563803169307756
Actinomycetota,GCF_014705925.2,NZ_CP062962.1,37,30,25230,1,1.4193548387096775
Actinomycetota,GCF_014705945.2,NZ_CP062957.1,56,38,43812,1,1.422680412371134
Actinomycetota,GCF_014854695.1,NZ_CP027560.1,132,33,30306,1,1.831831831831832
Actinomycetota,GCF_015040095.1,NZ_CP053545.1,536,172,190713,18,1.4747303526017213
Actinomycetota,GCF_017656075.1,NZ_CP058639.1,802,611,602082,1,0.7835192351468245
Actinomycetota,GCF_018141545.1,NZ_CP064357.1,794,344,365481,17,1.6156201635427874
Actinomycetota,GCF_018326145.1,NZ_AP023334.1,294,94,95643,18,1.1481572826272843
Actinomycetota,GCF_018326145.1,NZ_AP023335.1,30,11,10206,18,1.0909157272726318
Actinomycetota,GCF_018326285.1,NZ_AP023363.1,298,96,98265,18,1.1466978077476149
Actinomycetota,GCF_018326285.1,NZ_AP023364.1,22,6,6375,18,1.1251457744814928
Actinomycetota,GCF_019317345.1,NZ_CP079226.1,234,155,158241,1,0.2577798420808175
Actinomycetota,GCF_019739075.1,NZ_CP081674.1,143,87,91734,1,0.6357884079979752
Actinomycetota,GCF_020150655.1,NZ_CP083743.1,86,75,78804,1,1.5342105263157897
Actinomycetota,GCF_020412425.1,NZ_CP084587.1,406,121,118710,17,1.0226679325160044
Actinomycetota,GCF_021049325.1,NZ_CP088077.1,113,64,59040,1,2.222984562607204
Actinomycetota,GCF_021789315.1,NZ_CP084562.1,116,75,74337,1,1.8
Actinomycetota,GCF_023278385.1,NZ_CP075341.1,222,152,148596,1,0.2596810933940774
Actinomycetota,GCF_024666385.1,NZ_CP102515.1,278,158,209217,2,0.9795651491639495
Actinomycetota,GCF_024666385.1,NZ_CP102516.1,205,130,128181,2,1.0867016020116325
Actinomycetota,GCF_024760325.1,NZ_CP103309.1,218,147,146103,1,0.259927797833935
Actinomycetota,GCF_028421465.1,NZ_CP116356.1,260,148,133230,1,1.7276933245208197
Actinomycetota,GCF_028622875.1,NZ_CP117710.1,380,147,150696,3,0.2589092713462286
Actinomycetota,GCF_028736035.1,NZ_CP117867.1,104,45,55689,1,0.2653061224489796
Actinomycetota,GCF_030719215.1,NZ_CP120984.1,247,116,120762,1,0.5247921157991993
Actinomycetota,GCF_030916465.1,NZ_CP126460.1,318,222,220995,1,0.2482686980609418
Actinomycetota,GCF_031844685.1,NZ_CP134606.1,302,146,156090,3,1.0520190324690908
Actinomycetota,GCF_031844685.1,NZ_CP134608.1,138,35,32313,3,1.0408300004112765
Actinomycetota,GCF_035917275.1,NZ_CP108509.1,1311,1033,1155843,1,1.6536757092565748
Actinomycetota,GCF_035917315.1,NZ_CP108854.1,1248,942,954822,1,1.741221478344036
Actinomycetota,GCF_035918195.1,NZ_CP109366.1,569,487,522225,1,1.6620825147347742
Actinomycetota,GCF_035920465.1,NZ_CP109164.1,588,437,411834,1,1.5922693266832917
Actinomycetota,GCF_035975855.1,NZ_CP109056.1,261,100,94161,2,0.3195981132185433
Actinomycetota,GCF_036010365.1,NZ_CP108555.1,282,128,140772,1,0.7384459116302692
Actinomycetota,GCF_036010385.1,NZ_CP108560.1,40,28,25644,1,1.6212471131639723
Actinomycetota,GCF_036010645.1,NZ_CP108263.1,351,202,207327,1,0.0339366515837104
Actinomycetota,GCF_036194065.1,NZ_CP108096.1,336,123,124632,4,0.8703174828591639
Actinomycetota,GCF_036208025.1,NZ_CP109315.1,331,137,130500,3,0.6356711282084416
Actinomycetota,GCF_036227425.1,NZ_CP109456.1,384,187,184479,1,0.0736015701668302
Actinomycetota,GCF_036227445.1,NZ_CP109476.1,416,271,309192,1,0.4103325415676959
Actinomycetota,GCF_036227505.1,NZ_CP109481.1,1942,1391,1483995,1,0.2711343375345835
Actinomycetota,GCF_036227565.1,NZ_CP109462.1,387,189,193884,1,0.0714966634890371
Actinomycetota,GCF_036228565.1,NZ_CP109493.1,795,619,687540,1,2.294952194921353
Actinomycetota,GCF_036231985.1,NZ_CP109501.1,744,538,599661,1,1.9586837294332724
Actinomycetota,GCF_036231985.1,NZ_CP109502.1,758,385,387846,1,1.891608391608392
Actinomycetota,GCF_036248255.1,NZ_CP109179.1,498,285,443403,1,0.4936633269192489
Actinomycetota,GCF_041154555.1,NZ_AP028614.1,242,83,77442,18,1.0438404626952054
Actinomycetota,GCF_041154565.1,NZ_AP028618.1,241,82,77082,18,1.0430085646918257
Actinomycetota,GCF_041154575.1,NZ_AP028622.1,243,83,77796,18,1.043577856270344
Actinomycetota,GCF_041154585.1,NZ_AP028626.1,242,82,77463,18,1.0446473525474491
Actinomycetota,GCF_041154595.1,NZ_AP028630.1,242,82,77343,18,1.04513015733649
Actinomycetota,GCF_041283565.1,NZ_CP166300.1,286,136,111288,2,0.8832761183095054
Actinomycetota,GCF_041435235.1,NZ_CP108409.1,1168,879,991230,2,1.8470427826144284
Actinomycetota,GCF_041435355.1,NZ_CP108443.1,543,345,296337,2,0.8976851533070559
Actinomycetota,GCF_041435355.1,NZ_CP108444.1,281,250,393411,2,0.75709021078522
Actinomycetota,GCF_041519305.1,NZ_CP167928.1,568,340,312288,1,0.0347826086956521
Actinomycetota,GCF_041519305.1,NZ_CP167929.1,205,78,69267,1,0.0074349442379182
Actinomycetota,GCF_042465715.1,NZ_CP118706.1,429,251,262611,1,0.0298441472311263
Actinomycetota,GCF_042465715.1,NZ_CP118708.1,795,617,652422,1,0.0065189048239895
Actinomycetota,GCF_044054585.1,NZ_CP171972.1,171,126,124659,1,2.568659127625202
Actinomycetota,GCF_045039725.1,NZ_CP108628.1,254,126,130440,1,3.050434782608696
Actinomycetota,GCF_045039755.1,NZ_CP108618.1,209,76,87930,1,2.922767497988737
Actinomycetota,GCF_045039765.1,NZ_CP108614.1,330,172,165810,1,1.672203765227021
Actinomycetota,GCF_045040235.1,NZ_CP109519.1,312,135,133305,1,0.0294380017841213
Actinomycetota,GCF_045040355.1,NZ_CP109414.1,204,103,107046,1,0.020066889632107
Actinomycetota,GCF_045040395.1,NZ_CP109401.1,404,154,170724,1,0.0110183639398998
Actinomycetota,GCF_045160785.1,NZ_CP108274.1,208,115,129513,1,1.8432483474976395
Actinomycetota,GCF_045160795.1,NZ_CP108231.1,291,154,163770,1,1.8166278166278167
Actinomycetota,GCF_045161545.1,NZ_CP109047.1,530,232,238137,3,0.5995079629736965
Actinomycetota,GCF_045161795.1,NZ_CP108868.1,396,206,216897,1,0.0088141025641025
Actinomycetota,GCF_045162735.1,NZ_CP108693.1,263,149,139569,1,0.0207654723127035
Actinomycetota,GCF_045162865.1,NZ_CP108665.1,860,488,442647,2,0.4420942072944994
Actinomycetota,GCF_045206215.1,NZ_CP108189.1,210,116,130329,1,1.8380414312617703
Actinomycetota,GCF_045207295.1,NZ_CP108875.1,425,340,394722,1,0.3085374639769452
Actinomycetota,GCF_045207345.1,NZ_CP108842.1,500,364,385776,1,0.5123339658444023
Actinomycetota,GCF_045207395.1,NZ_CP108821.1,662,450,514854,1,0.465259907359753
Actinomycetota,GCF_045207655.1,NZ_CP108785.1,4842,3735,3838410,2,0.9792508004633864
Actinomycetota,GCF_045207785.1,NZ_CP108777.1,2683,2030,2070006,1,0.4751801096992726
Actinomycetota,GCF_045208885.1,NZ_CP109310.1,153,84,94062,1,0.0099370652533951
Actinomycetota,GCF_048593185.1,NZ_CP184256.1,322,228,197970,1,0.3652091852783894
Actinomycetota,GCF_048593185.1,NZ_CP184258.1,242,130,132438,1,0.2490518331226295
Actinomycetota,GCF_049315185.1,NZ_CP186053.1,622,193,200433,18,1.4508723424802377
Actinomycetota,GCF_049606955.1,NZ_CP187114.1,1766,1310,1420557,2,1.2579815682653612
Actinomycetota,GCF_049606955.1,NZ_CP187115.1,268,230,288153,2,1.286704803021535
Actinomycetota,GCF_050500215.1,NZ_CP191374.1,371,328,392397,1,1.6393683437385236
Actinomycetota,GCF_900116695.1,NZ_LT703506.1,414,124,120924,17,1.0229934898563398
Actinomycetota,GCF_900637875.1,NZ_LR134445.1,72,59,53934,18,1.529779086795089
Actinomycetota,GCF_900637875.1,NZ_LR134447.1,245,187,187755,18,1.5017806135577525
Actinomycetota,GCF_900637875.1,NZ_LR134449.1,65,55,56337,18,1.5322142296418744
Actinomycetota,GCF_900637875.1,NZ_LR134450.1,415,141,145596,18,1.5027052906494351
Actinomycetota,GCF_900637875.1,NZ_LR134451.1,397,361,360444,18,1.5349569980616866
Actinomycetota,GCF_900637875.1,NZ_LR134452.1,323,282,324843,18,1.5147946924789475
Actinomycetota,GCF_900637875.1,NZ_LR134456.1,376,295,309453,18,1.5070253453036857
Actinomycetota,GCF_900637875.1,NZ_LR134458.1,40,35,31830,18,1.512755273613918
Actinomycetota,GCF_900637875.1,NZ_LR134459.1,232,204,208224,18,1.5288724756466467
Actinomycetota,GCF_900637875.1,NZ_LR134460.1,343,303,314007,18,1.5372194351728945
