Plasmid_ID,Size_bp,size_group,tRNA_Group,Total_ARG_Count,log10_1p_ARG_count
NC_014732.1,194834,≥100 kb,tRNA-,1.0,0.3010299956639812
NC_017944.1,504705,≥100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP039140.1,504704,≥100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP106969.1,137009,≥100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP050015.1,535368,≥100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP064790.1,137790,≥100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP147875.1,221544,≥100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP145901.1,618965,≥100 kb,tRNA-,1.0,0.3010299956639812
NC_009926.1,374161,≥100 kb,tRNA-,1.0,0.3010299956639812
NC_009932.1,155110,≥100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP008851.1,74749,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP010399.1,47274,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_AP014650.1,189354,≥100 kb,tRNA-,15.0,1.2041199826559248
NZ_CP008707.1,83610,<100 kb,tRNA-,12.0,1.1139433523068367
NZ_CP012007.1,169023,≥100 kb,tRNA-,16.0,1.2304489213782739
NZ_CP012008.1,87569,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP012956.1,47457,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP012954.1,6078,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP015365.1,13478,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP035047.1,74091,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP035052.1,74091,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP035044.1,12952,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP018144.1,77513,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_AP023079.1,41087,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_AP023080.1,13096,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP018679.1,6078,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP016297.1,74090,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP020596.1,195838,≥100 kb,tRNA-,17.0,1.255272505103306
NZ_CP020594.1,98301,<100 kb,tRNA-,3.0,0.6020599913279624
NZ_CP021787.1,86334,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP024419.1,33036,<100 kb,tRNA-,3.0,0.6020599913279624
NZ_CP024578.1,79335,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP026127.1,39359,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP026705.1,113706,≥100 kb,tRNA-,3.0,0.6020599913279624
NZ_CP026749.2,42455,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP027245.2,70509,<100 kb,tRNA-,5.0,0.7781512503836436
NZ_CP029571.1,71234,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP027122.1,113706,≥100 kb,tRNA-,3.0,0.6020599913279624
NZ_CP030109.1,84678,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP022285.1,170420,≥100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP027179.1,39535,<100 kb,tRNA-,6.0,0.8450980400142568
NZ_CP027181.1,6078,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP023032.1,13478,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP023021.1,9024,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP023025.1,113420,≥100 kb,tRNA+,2.0,0.47712125471966244
NZ_CP023027.1,10062,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP023028.1,110728,≥100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP023030.1,95206,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP023035.1,9935,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP027184.1,60699,<100 kb,tRNA-,6.0,0.8450980400142568
NZ_CP027187.1,6078,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP033770.1,6078,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP033872.1,35502,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP039519.1,127784,≥100 kb,tRNA+,2.0,0.47712125471966244
NZ_CP039931.1,84785,<100 kb,tRNA+,2.0,0.47712125471966244
NZ_CP034097.1,8493,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP031445.1,112216,≥100 kb,tRNA-,3.0,0.6020599913279624
NZ_CP031446.1,10879,<100 kb,tRNA-,4.0,0.6989700043360189
NZ_CP038265.1,43093,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP038261.1,18786,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP038501.1,78125,<100 kb,tRNA-,6.0,0.8450980400142568
NZ_CP038502.1,47417,<100 kb,tRNA-,7.0,0.9030899869919435
NZ_CP038646.1,57333,<100 kb,tRNA-,5.0,0.7781512503836436
