Replicon_Acc,Length,Total_tRNA,log10_size,has_tRNA,plot_eligible,size_bin
NC_001869.1,191346,0,5.281819387929293,False,True,"(5.207, 5.345]"
NC_002608.1,365425,0,5.5627982556345925,False,True,"(5.483, 5.621]"
NC_008213.1,46867,0,4.670867154818605,False,True,"(4.655, 4.793]"
NC_006389.1,33303,0,4.5224833573730105,False,True,"(4.517, 4.655]"
NC_006390.1,33452,0,4.524422088112752,False,True,"(4.517, 4.655]"
NC_006391.1,39521,0,4.596827925009401,False,True,"(4.517, 4.655]"
NC_006392.1,50060,0,4.699490845272204,False,True,"(4.655, 4.793]"
NC_006393.1,132678,0,5.12279891630305,False,True,"(5.069, 5.207]"
NC_006394.1,155300,1,5.191171455728559,True,True,"(5.069, 5.207]"
NC_006395.1,410554,0,5.613370287788336,False,True,"(5.483, 5.621]"
NC_008696.1,31504,0,4.498365698794043,False,True,"(4.379, 4.517]"
NC_009136.1,8285,0,3.9182925127553556,False,True,"(3.828, 3.966]"
NC_012030.1,431338,0,5.634817720291424,False,True,"(5.621, 5.759]"
NC_012624.1,42245,0,4.625775314447625,False,True,"(4.517, 4.655]"
NC_013201.1,221862,0,5.346082923667135,False,True,"(5.345, 5.483]"
NC_013157.1,22190,0,4.346157302232008,False,True,"(4.241, 4.379]"
NC_013408.1,10704,0,4.029546100423748,False,True,"(3.966, 4.103]"
NC_013409.1,4704,0,3.6724673130680823,False,True,"(3.552, 3.69]"
NC_013742.1,2801,0,3.4473131088235682,False,True,"(3.414, 3.552]"
NC_013744.1,698495,0,5.8441633016739924,False,True,"(5.759, 5.897]"
NC_013745.1,413648,0,5.616630928842135,False,True,"(5.483, 5.621]"
NC_013746.1,180781,0,5.257152784387351,False,True,"(5.207, 5.345]"
NC_013747.1,171943,0,5.2353844998832155,False,True,"(5.207, 5.345]"
NC_013748.1,71062,0,4.851637426299112,False,True,"(4.793, 4.931]"
NC_013749.1,15815,0,4.199069196251742,False,True,"(4.103, 4.241]"
NC_013923.1,378348,1,5.5778914425687915,True,True,"(5.483, 5.621]"
NC_013924.1,254950,0,5.406455016303492,False,True,"(5.345, 5.483]"
NC_013925.1,58487,0,4.767059345472403,False,True,"(4.655, 4.793]"
NC_013968.1,85092,0,4.929888731422162,False,True,"(4.793, 4.931]"
NC_013965.1,6359,0,3.8033888249836134,False,True,"(3.69, 3.828]"
NC_013964.1,437906,0,5.641380895749421,False,True,"(5.621, 5.759]"
NC_013966.1,635786,0,5.803310960524825,False,True,"(5.759, 5.897]"
NC_007428.1,23486,0,4.370809056545495,False,True,"(4.241, 4.379]"
NC_007427.1,130989,0,5.117234826649022,False,True,"(5.069, 5.207]"
NC_010366.1,147625,0,5.1691599106215715,False,True,"(5.069, 5.207]"
NC_010369.1,194963,0,5.289952198949655,False,True,"(5.207, 5.345]"
NC_010368.1,284332,0,5.453825739892174,False,True,"(5.345, 5.483]"
NC_010367.1,40894,0,4.611659592651788,False,True,"(4.517, 4.655]"
NC_001732.1,58407,0,4.766464899838297,False,True,"(4.655, 4.793]"
NC_001733.1,16550,0,4.218797998111738,False,True,"(4.103, 4.241]"
NC_014409.1,4440,0,3.6473829701146196,False,True,"(3.552, 3.69]"
NC_015471.1,54159,0,4.733670636871857,False,True,"(4.655, 4.793]"
NC_014735.1,362194,0,5.558941251642108,False,True,"(5.483, 5.621]"
NC_014731.1,339010,0,5.530212509060796,False,True,"(5.483, 5.621]"
NC_014736.1,210350,0,5.322942516353015,False,True,"(5.207, 5.345]"
NC_014732.1,194834,0,5.289664746813231,False,True,"(5.207, 5.345]"
NC_014737.1,17535,0,4.243905770217522,False,True,"(4.241, 4.379]"
NC_015632.1,14930,0,4.174059807725025,False,True,"(4.103, 4.241]"
NC_001773.1,3444,0,3.537063142781617,False,True,"(3.414, 3.552]"
NC_014254.1,163915,0,5.214618698043651,False,True,"(5.207, 5.345]"
NC_014298.1,406285,1,5.60883078851523,True,True,"(5.483, 5.621]"
NC_014299.1,363534,0,5.560545035062615,False,True,"(5.483, 5.621]"
NC_014300.1,44576,0,4.64910109474387,False,True,"(4.517, 4.655]"
NC_014301.1,44459,0,4.647959690046146,False,True,"(4.517, 4.655]"
NC_014302.1,23727,0,4.37524283026077,False,True,"(4.241, 4.379]"
NC_014303.1,6951,0,3.842047288509638,False,True,"(3.828, 3.966]"
NC_015430.1,18019,0,4.2557306852816295,False,True,"(4.241, 4.379]"
NC_015658.1,436718,0,5.640201092401237,False,True,"(5.621, 5.759]"
NC_015667.1,181778,0,5.259541320818005,False,True,"(5.207, 5.345]"
NC_015659.1,68763,0,4.837354815877495,False,True,"(4.793, 4.931]"
NC_015944.1,405816,0,5.608329165848451,False,True,"(5.483, 5.621]"
NZ_CP019286.1,216196,0,5.334847654492417,False,True,"(5.207, 5.345]"
NZ_CP019287.1,3760,0,3.575187844927661,False,True,"(3.552, 3.69]"
NC_019967.1,287800,0,5.4590907896005865,False,True,"(5.345, 5.483]"
NC_019963.1,275821,0,5.4406273286887155,False,True,"(5.345, 5.483]"
NC_016637.1,11991,0,4.078855402979768,False,True,"(3.966, 4.103]"
NC_017460.1,6129,0,3.78738962135211,False,True,"(3.69, 3.828]"
NC_017458.1,6056,0,3.7821858664920165,False,True,"(3.69, 3.828]"
NC_017457.1,100258,0,5.001119036825735,False,True,"(4.931, 5.069]"
NC_018225.1,95989,0,4.982221467278966,False,True,"(4.931, 5.069]"
NC_017942.1,129210,0,5.111296126482262,False,True,"(5.069, 5.207]"
NC_017943.1,321908,1,5.507731769828462,True,True,"(5.483, 5.621]"
NC_017944.1,504705,0,5.70303760721368,False,True,"(5.621, 5.759]"
NC_019972.1,285109,1,5.455010926845218,True,True,"(5.345, 5.483]"
NC_019975.1,12939,0,4.111900712865614,False,True,"(4.103, 4.241]"
NC_019976.1,287963,0,5.459336689397696,False,True,"(5.345, 5.483]"
NC_021913.1,330369,0,5.518999288767679,False,True,"(5.483, 5.621]"
NC_023011.1,125764,0,5.099556341913377,False,True,"(5.069, 5.207]"
NC_023012.1,405815,0,5.608328095671284,False,True,"(5.483, 5.621]"
NZ_CP007056.1,573680,0,5.758669709493661,False,True,"(5.759, 5.897]"
NZ_CP007057.1,464581,0,5.667061444457142,False,True,"(5.621, 5.759]"
NZ_CP007058.1,172663,0,5.237199282457954,False,True,"(5.207, 5.345]"
NZ_CP007059.1,130926,0,5.117025899685025,False,True,"(5.069, 5.207]"
NZ_CP008888.1,3629,0,3.5597869682005565,False,True,"(3.552, 3.69]"
NZ_AP011527.1,12084,0,4.082210716601243,False,True,"(3.966, 4.103]"
NZ_AP011953.1,11015,0,4.041984501486787,False,True,"(3.966, 4.103]"
NZ_CP009519.1,58133,0,4.764422735649093,False,True,"(4.655, 4.793]"
NZ_CP009525.1,32371,0,4.510156115768769,False,True,"(4.379, 4.517]"
NZ_CP009527.1,41698,0,4.62011522500268,False,True,"(4.517, 4.655]"
NZ_CP009529.1,39586,0,4.59754162032528,False,True,"(4.517, 4.655]"
NZ_CP008875.1,124256,0,5.094317368865954,False,True,"(5.069, 5.207]"
NZ_CP011948.1,488062,0,5.6884749952558735,False,True,"(5.621, 5.759]"
NZ_CP011949.1,335881,1,5.526185437516751,True,True,"(5.483, 5.621]"
NZ_CP011950.1,113655,0,5.05558854630511,False,True,"(4.931, 5.069]"
NZ_CP011951.1,35465,0,4.54979996418455,False,True,"(4.517, 4.655]"
