Genome_ID,Replicon_ID,Product,Product_norm,CCI_gene
GCF_000025625.1,NC_013923.1,sensory rhodopsin transducer,sensory rhodopsin transducer,0.2666666666666666
GCF_000017145.1,NC_009620.1,sensory rhodopsin transducer,sensory rhodopsin transducer,1.75
GCF_000017145.1,NC_009620.1,sensory rhodopsin transducer,sensory rhodopsin transducer,2.8909090909090907
GCF_000017145.1,NC_009620.1,"phosphonate metabolism protein/1,5-bisphosphokinase (PRPP-forming) PhnN","phosphonate metabolism protein/1,5-bisphosphokinase (prpp-forming) phnn",2.253968253968254
GCF_000020045.1,NC_010625.1,hemagglutinin repeat-containing protein,hemagglutinin repeat-containing protein,1.8
GCF_000146005.2,NZ_CP031226.1,lipoprotein,lipoprotein,1.270972005733007
GCF_000154745.2,NC_018421.1,tryptophan-rich sensory protein,tryptophan-rich sensory protein,2.4000000000000004
GCF_000154765.2,NC_018291.1,tryptophan-rich sensory protein,tryptophan-rich sensory protein,2.6666666666666665
GCF_000194745.1,NC_015377.1,hemagglutinin repeat-containing protein,hemagglutinin repeat-containing protein,1.908872901678657
GCF_000196015.1,NC_007974.2,hemagglutinin repeat-containing protein,hemagglutinin repeat-containing protein,1.6487434800244447
GCF_000211235.1,NC_017177.1,DUF4116 domain-containing protein,duf4116 domain-containing protein,4.0
GCF_000211235.1,NC_017177.1,DUF4116 domain-containing protein,duf4116 domain-containing protein,3.0
GCF_000211235.1,NC_017177.1,DUF4116 domain-containing protein,duf4116 domain-containing protein,3.0
GCF_000211235.1,NC_017177.1,DUF4116 domain-containing protein,duf4116 domain-containing protein,2.6666666666666665
GCF_000211235.1,NC_017177.1,DUF4116 domain-containing protein,duf4116 domain-containing protein,4.0
GCF_000211235.1,NC_017177.1,DUF4116 domain-containing protein,duf4116 domain-containing protein,4.0
GCF_000211235.1,NC_017177.1,DUF4116 domain-containing protein,duf4116 domain-containing protein,2.6666666666666665
GCF_000211235.1,NC_017177.1,DUF4116 domain-containing protein,duf4116 domain-containing protein,4.0
GCF_000211235.1,NC_017177.1,DUF4116 domain-containing protein,duf4116 domain-containing protein,4.0
GCF_000211235.1,NC_017177.1,DUF4116 domain-containing protein,duf4116 domain-containing protein,4.0
GCF_000211235.1,NC_017177.1,DUF4116 domain-containing protein,duf4116 domain-containing protein,3.0
GCF_000211235.1,NC_017177.1,DUF4116 domain-containing protein,duf4116 domain-containing protein,4.0
GCF_000211235.1,NC_017177.1,DUF4116 domain-containing protein,duf4116 domain-containing protein,4.0
GCF_000211235.1,NC_017177.1,DUF4116 domain-containing protein,duf4116 domain-containing protein,4.0
GCF_000211235.1,NC_017177.1,DUF4116 domain-containing protein,duf4116 domain-containing protein,3.2
GCF_000211235.1,NC_017177.1,DUF4116 domain-containing protein,duf4116 domain-containing protein,4.0
GCF_000211235.1,NC_017177.1,DUF4116 domain-containing protein,duf4116 domain-containing protein,3.0
GCF_000211235.1,NC_017177.1,DUF4116 domain-containing protein,duf4116 domain-containing protein,4.0
GCF_000211235.1,NC_017177.1,DUF4116 domain-containing protein,duf4116 domain-containing protein,4.0
GCF_000211235.1,NC_017177.1,DUF4116 domain-containing protein,duf4116 domain-containing protein,2.0
GCF_000211235.1,NC_017177.1,DUF4116 domain-containing protein,duf4116 domain-containing protein,4.0
GCF_000211235.1,NC_017177.1,DUF4116 domain-containing protein,duf4116 domain-containing protein,2.2857142857142856
GCF_000211235.1,NC_017177.1,DUF4116 domain-containing protein,duf4116 domain-containing protein,3.333333333333333
GCF_000211235.1,NC_017177.1,DUF4116 domain-containing protein,duf4116 domain-containing protein,4.0
GCF_000211235.1,NC_017177.1,DUF4116 domain-containing protein,duf4116 domain-containing protein,1.0
GCF_000211235.1,NC_017177.1,DUF4116 domain-containing protein,duf4116 domain-containing protein,4.0
GCF_000211235.1,NC_017177.1,DUF4116 domain-containing protein,duf4116 domain-containing protein,2.0
GCF_000211235.1,NC_017177.1,DUF4116 domain-containing protein,duf4116 domain-containing protein,2.6666666666666665
GCF_000211235.1,NC_017177.1,DUF4116 domain-containing protein,duf4116 domain-containing protein,2.0
GCF_000211235.1,NC_017177.1,DUF4116 domain-containing protein,duf4116 domain-containing protein,2.0
GCF_000211235.1,NC_017177.1,DUF4116 domain-containing protein,duf4116 domain-containing protein,0.0
GCF_000211235.1,NC_017177.1,DUF4116 domain-containing protein,duf4116 domain-containing protein,0.0
GCF_000211235.1,NC_017177.1,DUF4116 domain-containing protein,duf4116 domain-containing protein,1.3333333333333333
GCF_000211235.1,NC_017177.1,DUF4116 domain-containing protein,duf4116 domain-containing protein,2.0
GCF_000211235.1,NC_017177.1,DUF4116 domain-containing protein,duf4116 domain-containing protein,3.2
GCF_000211235.1,NC_017177.1,DUF4116 domain-containing protein,duf4116 domain-containing protein,1.3333333333333333
GCF_000211235.1,NC_017177.1,DUF4116 domain-containing protein,duf4116 domain-containing protein,4.0
GCF_000211235.1,NC_017177.1,DUF4116 domain-containing protein,duf4116 domain-containing protein,0.0
GCF_000211235.1,NC_017177.1,DUF4116 domain-containing protein,duf4116 domain-containing protein,0.0
GCF_000211235.1,NC_017177.1,DUF4116 domain-containing protein,duf4116 domain-containing protein,0.0
GCF_000211235.1,NC_017177.1,DUF4116 domain-containing protein,duf4116 domain-containing protein,3.0
GCF_000240905.2,NZ_CP019188.1,DUF1382 family protein,duf1382 family protein,2.0
